id,pali_1,meaning_1,meaning_lit
48622,rathikāya rathikaṃ,from street to street,
48516,rasapathavī,essense of the earth,
48520,rasappaṭisaṃvedī,experiencing taste; conscious of the flavour,
48521,rasarāga,greed for the taste; desire for the flavour,
48523,rasarāgappaṭisaṃvedī,experiencing greed for the taste; experiencing desire for the flavour,
48712,ravi 2.1,the Sun,
48170,rājā,king; sovereign; lord,
48180,rājābhinīta,because of the government; driven (to it) by kings,lead by king
48372,rājūhi,by kings; with kings,
48066,rādha,personal name of an arahant monk,
48913,rukkhamūlikaṅga,practice of living at the foot of tree,
48932,rumhaniya,refreshing; furthering growth; causing prosperity,can be grown
49027,rūpappaṭisaṃvedī,experiencing sight; conscious of the material form,
48996,rūpamaya,made from sights; consists of material forms,
49032,rūparāgappaṭisaṃvedī,experiencing greed for the sight; experiencing desire for the material form,
48942,rūpā,(objects of the eye) material forms; shapes; sights,
30969,labbhetha,could be obtained (among); would be acquired (from); should be received (from),could be got (in)
31006,lābhasakkārasilokapaṭisaṃyutta,concerning with gain honour and fame; about possessions renown and popularity,
31015,lābhena lābhaṃ nijigiṃsanatā,seeking a gift by offering a gift,desiring gain with gain
31170,lālappa,inarticulate or empty talk; wailing; murmuring,
31171,lālappanā,inarticulate or empty talk; wailing; murmuring,
31172,lālappitatta,inarticulate or empty talk; wailing; murmuring,murmuring state
31676,luddha 2,greedy; covetous,
31327,lesakappa,pretext; subterfuge,resembling with tricks
31542,lokapāla,guardian of the world; world-protector,
31628,lomaṃ pāteti,submits; complies; to let one's hair drop (as a sign of subduedness or modesty),
55266,saūmi,with waves; containing waves,
50331,sakkatvā,having honoured; having treated with respect; having received hospitably,having made properly
49866,sagāha 2,full of ferocious animals; with sharks,with seizers
49910,saggasaṃvattanika,leading to heaven,
53540,saṅkaḍḍhati,collects,pulls together
53545,saṅkama,passage; bridge,
53562,saṅkampi,trampled; shook,
53787,saṅkiliṭṭha,tarnished; defiled; tainted; corrupted; impure; dirty,
53783,saṅkilesika,defiling; dirtying; tainting; corrupting,
53359,saṅghakaraṇīya,business matter of the community,
49530,saccapāramī,highest state of honesty; perfection of truthfulness,
53490,sañjagghati,laughs out loud together (with),
53505,sañjaneti,arouses; generates; produces,causes production of
54009,saññita,so-called; named; so-to-speak; known; perceived,
54216,saṇṭhita 1,established (in); settled (in); fixed (in),
55111,sattatiṃsati,thirty-seven (37),
55063,sattannaṃ 1,to seven; for seven,
54989,sattabojjhaṅgā,seven elements of awakening; seven factors of enlightenment,
55133,sattavīsati,twenty-seven (27),
55151,satthaka 1,sharp like a knife,
49594,sad,heart; faith; trust,
49653,saddappaṭisaṃvedī,experiencing sound; conscious of the sound,
49655,saddarāga,greed for the sound; desire for the sound,
49656,saddarāgappaṭisaṃvedī,experiencing greed for the sound; experiencing desire for the sound,
49695,saddhājāta,who's faith has arisen (for); who are confident (in),
49690,saddhādeyya,offered with faith,
49733,saddhāvimutta,liberated through faith; through confident,
53474,sanidassana,visible,
54088,santappati 2.1,grieves; sorrows,is heated
54110,santaruttaraparamaṃ,an under robe and upper robe at most; not more than an inner and outer robe,
54062,santaṃ,existing; being; there is,
54246,santīraṇa,inspection; recognition; scrutinizing,
54148,santetthekacca,here there are some; in this case they are some,
54146,santesu,when there are,when existing
53962,sannipata,assembly; congregation; gathering,falling down together
53968,sannipātabahula,gathering together a lot; having many meetings,
54334,sapattavatā,hostility; enmity; rivalry,
54294,sapadānacārika,ascetic who goes on alms-begging not leaving a single house in his course,
54296,sapadānacārikaṅga,practice of going for alms not leaving a single house in his course,
54309,saparidaṇḍā,imprisoned woman; who is undergoing punishment; (comm) who is protected by threat of punishment,
49295,sabbapāpa,all evil deed; all crimes; all wrongdoing,
49261,sabbampidaṃ,every single thing,just all this
49400,sabbe,all; every; everything; everyone,
51118,samanupassamāna,seeing; regarding; considering,
50632,samācare,could behave; would act; could conduct oneself,
50776,samādiyi,took upon; undertook,
52579,samuddati,submerges; is drowned; is covered with water,
52568,samuddana,submerging; drowning; covering with water,
51559,sametta,friendly; benevolent; kind; with goodwill,
52028,samosaṭa,converged; met at; gathered,flowed down together
52024,samosaranta,converging; meeting at; gathering,flowing down together
52118,sampakampi,trembled,
52124,sampalimaṭṭha,blotted out; destroyed; lacerated,completely cleaned
52262,sampavedhi,trembled,
52263,sampavedhī,shaking; trembling,
52068,sampādi,happened to be; turned out to be; became,
52063,sampādetuṃ,to press on; to cause to rich; to strive to achieve,
51431,sambhañjana,breaking up; damaging; destroying,
51945,sammoditvā,having rejoiced; having delighted,
51714,saṃkī,anxious; suspecting; doubtful,
51721,saṃkīḷati,plays together (with); enjoys together (with),
51699,saṃkeḷāyati,amuses himself with,cause to play with
52455,saṃsīda,sinking (down),
53487,sāṇipasibbaka,hemp-sack; sack of coarse hempen cloth,
49605,sādaraṃ,affectionately; showing regard and consideration,
53466,sāni,one's owns,
54326,sāpateyya,one's own property; wealth,one's own what could be controlled
54340,sāpekkha,expecting; looking for; longing for,
50902,sāmaṇaka,worthy of a monk; monk-like,
51625,sāmīcipaṭipanna,going the right way; following the proper course,gone along the correct way
54678,sārīradhātu,body relic,
55345,sāvaṭṭa,with maelstroms; containing whirlpools,
55390,sāvudha,having weapon; equipped with a weapon,
55939,sikkhassu,you must train yourself; let you study by yourself,
56186,siṅghāṭakena siṅghāṭakaṃ,from square to square,
55795,siddhi 2,accomplishment; success; prosperity,
56204,siniddha 3,smooth; pliable; soft,wet; moist
56237,sirasā,with head,
56017,sīlapāramī,highest state of morality; perfection of conduct,
56008,sīlamaya,made by morality; produced by behaviour,
56289,sīsacchejja,resulting in decapitation; chopping off the head,
56938,sucira,after a very long time; eventually,
57132,sujā 1.1,sacrificial ladle,
57570,suññaka,empty; uninhabited,
56975,sudaṭṭha,strongly bitten; deeply pricked; hardly stung,
56961,sudāruṇa,very brutal; savage; vicious; cruel,
57633,supaṭipanna,going the right way; practising well,
57634,supaṭippassaddha,totally subsided; well internally calmed; completely settled,
57639,supatiṭṭhita 1,well placed; well established,
57592,supabhāta,beautiful sunrise; good dawn,
57739,supūjita,well worshipped; highly honoured; deeply venerated,
56815,subhaddaka,truly fine; of very good quality; just excellent; highly valuable,
57411,sulabhati,easily gets; well receives; obtains easily,
57947,susuddha,very clean; thoroughly pure,
57946,susu 2,boy; youngster; lad,
57129,suhuju,very straight; very upright,
55490,seka,sprinkling; pouring out,
56505,sokakāla,time of sorrow; occasion of grief,
56521,sokasalla,the dart of sorrow,
56582,soṇa 3,dog,
56741,sotta,lying down; sleeping,
56664,sosānikaṅga,practice of living in a cemetery,
56767,sovaggika,leading to heaven; connected with heaven,
64220,vacanīyamevāyasmā,venerable just one who can be spoken to,
64589,vajjavant,sinful; with faults; with mistakes,
64591,vajjetabba,should be avoided; should be abstained from,
64876,vañcanika,fraudulent; deceptive; cheating,
65606,vaṭṭupaccheda,breaking off cycle of existence; complete stopping round of rebirth,
65517,vatteti 2,sets in motion; makes go on,causes to continue
65576,vatthuttaya,"triple gem; the Buddha, the Dhamma and the Saṅgha",three things
65556,vatthu 8,object; real thing; thing; substance,
64352,vadaññutā,generosity; liberality,
64437,vadeyya,should say; could speak,
64448,vadhati,destroys; strikes; kills; slaughters,
64898,vandayata,respected; reverenced; worthy,
65111,varataraṃ,better; even better,
65198,vasana 2.1,dwelling; living,
65621,vavatthāpenta,analysing; defining; determining,
64192,vācana,recitation; reading,
66526,vigatamiddha,without drowsiness,
66326,vicikicchita,doubt; uncertainty,
67634,viññāpanī,expressive (of); instructive (of); informative; enlightening,causing to know
68591,vitakkavaḍḍhana,increase of thought; proliferation of reflection,
66399,videssanā,aversion; repugnance; disgust; loathing,dislike state
66425,vidhāvita,wandered around; running; strayed; scattered,
66434,vidhinā,in due method; by means of,
66431,vidhi 1,act; action; performance; method,
67519,vinimocayanta,freeing (oneself) from; geting rid of; releasing,
67554,vinivijjhana,piercing; perforating; penetration,
67469,vineyya 3,fit to be trained; tamable,
67761,vipariṇamanta,completely changing; totally altering,
67725,vipākī,resulting; have consequence; ripening,
67863,vippalapa,talkative; chattering; who are mumbling,
67864,vippalāpa,confused talk; wailing,
66204,vibhāvayitvā,having understood clearly,having intensively cultivated
68941,viyākaṃsu,they answered; they explained; they declared,
68078,viriyapāramī,highest state of effort; perfection of energy,
68091,viriyavant,heroic; brave; vigorous; energetic,
68145,virūparūpena,in different ways; in various ways; differently,
67168,vilokana,looking; reflection; investigation; survey,
67174,viloketvā,having inspected; having surveyed,having looked around
68266,visaññoga,detachment; separation; unconstraint,
68537,visūka 2,twisting; wriggling; turmoil,
68544,visūkāyita 2,restlessness; impatience; turmoil,twisting
68343,visesādhigama,specific attainment,
68488,vissāsamāpādi,placed trust (in); got confidence (in); experienced trust (for),
68810,vivajjati,avoids,
68783,vivādajātesu,when quarrels have arisen; when arguments occur,
66602,vihanti,strikes; wards off; banish,
68644,vītasoka,free from grief; sorrow-free,
69168,vuttaṃ hoti,that is to say,it is said
69139,vūpasammati 2,(vinaya) settles; resolves; subsides completely,
66014,verika 1,unfriendly; inimical; hostile,
66016,verinesu,among enemies; among unfriendly,
68973,vocarita,penetrated; investigated; apperceived,
69079,voṭṭhabbana,?? (Abhidhamma) establishing; synthesis; determination,
68995,vodiṭṭha,defined; fully understood; recognized,
69046,voropetukāma,wishing to deprive (of life); wanting to take down (from life),
24375,hīnohamasmī,I am worse,
