id,pali_1,example_1
73785,avatthukata,tass'eva kho pana pubbe aviddasuno abhijjhā hoti chando sārāgo. sv'āssa pahīno hoti ucchinnamūlo tāla-<b>avatthukato</b> anabhāvaṃkato āyatiṃ anuppādadhammo.
12101,avamaṅgala 1,"sabbe te rogā, sabbe te bhayā, sabbe te antarāyā, sabbe te upaddavā, sabbe te dunnimittā, sabbe te <b>avamaṅgalā</b> vinassantu"
12587,avikkhitta,pharitvāna mettaṃ samettā bhadantā <b>avikkhitta</b>cittā parittaṃ bhaṇantu
12454,avigata,puna caparaṃ idh'ekacco kāye  avītarāgo hoti <b>avigata</b>cchando <b>avigata</b>pemo <b>avigata</b>pipāso <b>avigata</b>pariḷāho <b>avigata</b>taṇho.
12439,avicikicchā,so avicikiccho samāno bhabbo rāgaṃ pahātuṃ dosaṃ pahātuṃ mohaṃ pahātuṃ.
12505,avijjādhātu,"cakkhu'ndriyassa sot'indriyassa ghān'indriyassa jivh'indriyassa kāy'indriyassa. atthi, bhikkhave, mano, atthi dhammā, atthi avijjādhātu."
12438,avīci 2,"asītivassasahass'āyukesu, bhikkhave, manussesu ayaṃ jambudīpo <b>avīci</b> maññe phuṭo bhavissati manussehi, seyyathā'pi naḷavanaṃ vā saravanaṃ vā."
12730,avītikkama,"yo tattha saṃyamo saṃvaro <b>avītikkamo</b>, idaṃ sīlaṃ. yaṃ samādānaṃ taṃ vataṃ. saṃvar'aṭṭhena sīlaṃ, samādān'aṭṭhena vataṃ"
12373,avekkhassu,"suññato lokaṃ avekkhassu, mogharāja sadā sato,<br/>att'ānudiṭṭhiṃ ūhacca, evaṃ maccutaro siyā,<br/>evaṃ lokaṃ avekkhantaṃ, maccurājā na passatī'ti."
3119,ahirīka,"saṅgha-lābhassa bhaṇḍanti, saṅghato paribāhirā.<br/>para-lābho-pajīvantā, ahirīkā na lajjare."
3149,ahorattamatandita,"evaṃ vihārim'ātāpiṃ, <br/><b>ahorattam'atanditaṃ</b>. <br/>taṃ ve bhadd'ekaratto'ti, <br/>santo ācikkhate muni."
2542,āgā,"diṭṭhiñ'ca nissāya anupucchamāno,<br/>samuggahītesu pamoham'<b>āgā</b>,<br/>ito ca n'āddakkhi aṇum'pi saññaṃ,<br/>tasmā tuvaṃ momuhato dahāsi."
1352,ācāragocara,"etha tumhe, āvuso, sīlavā hotha, pātimokkhasaṃvarasaṃvutā viharatha <b>ācāragocara</b>sampannā aṇumattesu vajjesu bhayadassāvino, samādāya sikkhatha sikkhāpadesū'ti"
3333,ājīvikāpakata,"tañ'ca kho etaṃ, bhikkhave, kulaputtā upenti atthavasikā, atthavasaṃ paṭicca; n'eva rāj'ābhinītā, na cor'ābhinītā, na iṇ'aṭṭā, na bhayaṭṭā, na ājīvikāpakatā"
10828,ātāpeti 2,"yassa hi so, bhikkhave, atthāya usukāro tejanaṃ dvīsu alātesu <b>ātāpeyya</b> paritāpeyya ujuṃ kareyya kammaniyaṃ sv'āssa attho abhinipphanno hoti."
1729,ādara,"buddho susuddho karuṇāmah'aṇṇavo, yo'ccantasuddhabbarañāṇalocano, lokassa pāp'ūpakilesaghātako, vandāmi buddhaṃ aham<b>'ādarena</b> taṃ"
8156,āpajjita,tathārūpāsu na cārittaṃ <b>āpajjitā</b> hoti
8649,āpattibahula,"idha, bhaddāli, ekacco bhikkhu abhiṇh'āpattiko hoti āpattibahulo."
8650,āpattibhaya,"imāni kho, bhikkhave, cattāri āpattibhayānī'ti."
4537,āmakadhañña,<b>āmakadhañña</b>paṭiggahaṇā paṭivirato hoti āmakamaṃsapaṭiggahaṇā paṭivirato hoti
4544,āmakamatta,"na vo ahaṃ, ānanda, tathā parakkamissāmi yathā kumbhakāro āmake āmakamatte. niggayha niggayh'āhaṃ, ānanda, vakkhāmi."
4696,āmavasesa,"khuddaṃ paṭihanati, pipāsaṃ paṭivineti, vātaṃ anulometi, vatthiṃ sodheti, <b>ām'āvasesaṃ</b> pāceti. ime kho, bhikkhave, pañca ānisaṃsā yāguyā'ti."
13015,āyuda,"<b>āyudo</b> balado dhīro, vaṇṇado paṭibhāṇado. <br/>sukhassa dātā medhāvī, sukhaṃ so adhigacchati."
9512,āraññikaṅga,sambahulā bhikkhū santhatāni ujjhitvā āraññik'aṅgaṃ piṇḍapātik'aṅgaṃ paṃsukūlik'aṅgaṃ samādiyiṃsu
9277,ārabhituṃ,alam'eva saddhāpabbajitena kulaputtena vīriyaṃ <b>ārabhituṃ</b>
9440,ārambhati 1.1,"ārambhatha nikkhamatha, yuñjatha buddha-sāsane.<br/>dhunātha maccuno senaṃ, naḷ'āgāraṃ'va kuñjaro."
9457,ārammaṇa 5,paritta-<b>arammaṇā</b> dhammā. mahaggata-<b>arammaṇā</b> dhammā. appamāṇ'<b>ārammaṇā</b> dhammā
9297,ārādhanā 3,"kathañ'ca, bhikkhave, anupubbasikkhā anupubbakiriyā anupubbapaṭipadā añña-<b>arādhanā</b> hoti?"
9407,ārāma 2,paṭisaṅkhā yoniso sen'āsanaṃ paṭisevāmi yāva'd'eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsamakasavāt'ātapasiriṃsapasamphassānaṃ paṭighātāya yāva'd'eva utuparissayavinodanaṃ paṭisallāna-<b>arām'</b>atthaṃ
4361,ālayasamugghāta,mada-nimmadanāya pipāsavinayāya ālayasamugghātāya vaṭṭ'upacchedāya taṇhakkhayāya virāgāya nirodhāya nibbānāya dhammo desito?
4390,ālimpesi,"tena kho pana samayena chabbaggiyā bhikkhū dāyaṃ <b>ālimpesuṃ</b>, manussā daḍḍhā kālamakaṃsu."
4465,āloketi,"suṇāti na vijānāti, <b>āloketi</b> na passati. dhammasmiṃ bhaññamānasmiṃ, atthaṃ bālo na bujjhati. sace'pi dasa pajjote, dhārayissasi, kassapa. n'eva dakkhati rūpāni, cakkhu hi'ssa na vijjatī'ti."
10068,āsanapaññāpana,"taṇ'ṭhānasammajjanañ'ca, tattha padīp'ujjalanañ'ca, <b>āsanapaññapanañ</b>'ca"
9814,āsabhī,"atha kiñ'carahi ty'āyaṃ, sāriputta, uḷārā <b>āsabhī</b> vācā bhāsitā, ek'aṃso gahito, sīhanādo nadito"
9822,āsādana 1,"handa, bhikkhu, khāda vā bhuñja vā'ti, jānaṃ <b>āsādan</b>'āpekkho, bhuttasmiṃ, pācittiyaṃ."
9909,āsāḷhā,"ayaṃ vasabha-saṃvacchare gimhāna-utu. asmiṃ utumhi āsāḷhā-māsassa kālapakkhe catutthaṃ, ravivāram'idan'ti daṭṭhabbaṃ."
10371,āsevana,"nissayapaccayo, upanissayapaccayo, purejātapaccayo, pacchājātapaccayo, <b>āsevana</b>paccayo, kammapaccayo, vipākapaccayo, āhārapaccayo"
12008,āvajjana 2,viññāte viññātamattan'ti ettha pana viññātaṃ nāma manodvār<b>'āvajjanena</b> viññāt'ārammaṇaṃ.
12701,āvisati 1,"te kilesā pavaḍḍhantā, <b>āvisanti</b> bahuṃ janaṃ.<br/>kīḷanti maññe bālehi, ummattehi'va rakkhasā."
12422,āvi ceva raho ca,idha bhikkhave bhikkhuno mettaṃ kāyakammaṃ vacīkammaṃ manokammaṃ paccupaṭṭhitaṃ hoti sabrahmacārīsu <b>āvi c'eva raho ca</b>
2996,āhāranettippabhava,"jātaṃ bhūtaṃ samuppannaṃ, kataṃ saṅkhatam'addhuvaṃ. jarāmaraṇa-saṅghāṭaṃ, roganīḷaṃ pabhaṅguraṃ. āhāranettippabhavaṃ, n'ālaṃ tadabhinandituṃ."
24506,iccāyasmā,"ye kec'ime isayo manujā, <b>(icc'āyasmā</b> puṇṇako)<br/>khattiyā brāhmaṇā devatānaṃ."
24551,icchita 1,"<b>icchitaṃ</b> patthitaṃ tumhaṃ khippam'eva samijjhatu, sabbe pūrentu saṅkappā, cando paṇṇaraso yathā, maṇi jotiraso yathā"
24977,iti attho,cakkhudvārikaviññāṇena hi me diṭṭhamattam'eva bhavissatī'ti sikkhitabban'ti attho.
25092,itthikā,"idaṃ te, tāta sudinna, mātu mattikaṃ, <b>itthikāya</b> itthidhanaṃ, aññaṃ pettikaṃ aññaṃ pitāmahaṃ."
25087,itthidhana,"idaṃ te, tāta sudinna, mātu mattikaṃ, itthikāya itthidhanaṃ, aññaṃ pettikaṃ aññaṃ pitāmahaṃ."
25104,itthindriya,"bāvīsat'indriyāni, cakkhu'ndriyaṃ, sot'indriyaṃ, ghān'indriyaṃ, jivh'indriyaṃ, kāy'indriyaṃ, man'indriyaṃ, <b>itth'indriyaṃ</b>, puris'indriyaṃ"
24562,idaṃ tasmiṃ,"yo pana bhikkhu jānaṃ ūnavīsativassaṃ puggalaṃ upasampādeyya, so ca puggalo anupasampanno te ca bhikkhū gārayhā, <b>idaṃ tasmiṃ</b>, pācittiyaṃ."
24975,īti,"sabb'<b>ītiyo</b> vivajjantu, sabbarogo vinassatu, mā te bhavatv'antarāyo, sukhī dīgh'āyuko bhava."
61037,uccāresi 1,aññataro bhikkhu heṭṭhā hutvā silaṃ <b>uccāresi</b>. uparimena bhikkhunā duggahitā silā heṭṭhimassa bhikkhuno matthake avatthāsi. so bhikkhu kālamakāsi
61820,ujupaṭipanna,supaṭipanno bhagavato sāvakasaṅgho <b>ujupaṭipanno</b> bhagavato sāvakasaṅgho ñāyapaṭipanno bhagavato sāvakasaṅgho sāmīcipaṭipanno bhagavato sāvakasaṅgho
61759,ujjavi,atha kho vesālikā vajjiputtakā bhikkhū taṃ sāmaṇakaṃ parikkhāraṃ ādāya nāvāya sahajātiṃ <b>ujjaviṃsu</b>
61790,ujjhitvā,sambahulā bhikkhū santhatāni <b>ujjhitvā</b> āraññik'aṅgaṃ piṇḍapātik'aṅgaṃ paṃsukūlik'aṅgaṃ samādiyiṃsu
64114,utuparissayavinodana,paṭisaṅkhā yoniso sen'āsanaṃ paṭisevāmi yāva'd'eva sītassa paṭighātāya uṇhassa paṭighātāya ḍaṃsamakasavāt'ātapasiriṃsapasamphassānaṃ paṭighātāya yāva'd'eva <b>utuparissayavinodanaṃ</b> paṭisallān'ārām'atthaṃ
70893,uttara 11,"atha kho pāyāsi rājañño <b>uttaraṃ</b> māṇavaṃ āmantāpetvā etad'avoca, saccaṃ kira tvaṃ, tāta uttara, dānaṃ datvā evaṃ anuddisasi"
64080,uttiṇa,bhikkhū ghaṭikārassa kumbhakārassa āvesanaṃ <b>uttiṇam</b>'akaṃsu.
61213,udakarāsi,"n'eso, bhikkhave, ariyassa vinaye samuddo. mahā eso, bhikkhave, udakarāsi mahāudak'aṇṇavo."
61544,udita,"bāhuṃ sahassam'abhinimmita sāvudhan'taṃ, grīmekhalaṃ <b>udita</b>ghorasasenamāraṃ, dān'ādidhammavidhinā jitavā mun'indo, tan'tejasā bhavatu te jayamaṅgalāni"
61566,udumbarakhādika,"sac'āyaṃ kulaputto app'āyo samāno uḷāraṃ jīvikaṃ kappeti, tassa bhavanti vattāro, udumbarakhādikaṃ v'āyaṃ kulaputto bhoge khādatī'ti."
61357,uddassetabba,pabbajitena ca pana te mātāpitaro uddassetabbā'ti.
61407,uddhaggika,tathārūpesu samaṇabrāhmaṇesu <b>uddh'aggikaṃ</b> dakkhiṇaṃ patiṭṭhāpeti sovaggikaṃ sukhavipākaṃ saggasaṃvattanikaṃ.
61412,uddhaṃ adho tiriyaṃ,"mettañ'ca sabbalokasmiṃ, mānasam'bhāvaye aparimāṇaṃ;<br/><b>uddhaṃ adho</b> ca <b>tiriyañ</b>'ca, asambādhaṃ, averaṃ, asapattaṃ."
62198,undūra,"amhākaṃ pana sakiṃ katāni santhatāni pañca'pi cha'pi vassāni honti, yesaṃ no dārakā uhadanti'pi ummihanti'pi <b>undūrehi</b>'pi khajjanti."
62588,upakappati,"yathā vārivahā pūrā paripūrenti sāgaraṃ, evam'eva ito dinnaṃ petānaṃ <b>upakappati</b>."
63228,upaṭṭhapenta,"cittaṃ adhiṭṭhahanto sikkheyya, saddhāya adhimuccanto sikkheyya, vīriyaṃ paggaṇhanto sikkheyya, satiṃ upaṭṭhapento sikkheyya"
62411,upadesa,"nandopanandabhujagaṃ vibudhaṃ mah'iddhiṃ, puttena therabhujagena dam'āpayanto, iddh'<b>ūpadesa</b>vidhinā jitavā mun'indo"
62455,upadhiviveka,"idh'ānanda, bhikkhu upadhivivekā akusalānaṃ dhammānaṃ pahānā sabbaso kāyaduṭṭhullānaṃ paṭippassaddhiyā vivicceva kāmehi vivicca akusalehi dhammehi"
62756,upanandhi,chabbaggiyā bhikkhū mahānāme sakke <b>upanandhiṃsu</b>.
62793,upanibandhitvā,jīvako … janaṃ ussāretvā tirokaraṇiyaṃ parikkhipitvā thambhe upanibandhitvā bhariyaṃ purato ṭhapetvā udara-cchaviṃ uppāṭetvā antagaṇṭhiṃ nīharitvā bhariyāya dassesi
62851,upanissaya,"nissayapaccayo, <b>upanissaya</b>paccayo, purejātapaccayo, pacchājātapaccayo, āsevanapaccayo, kammapaccayo, vipākapaccayo, āhārapaccayo"
62901,upapāramī,"dasa pāramiyo, dasa <b>upapāramiyo</b>, dasa param'atthapāramiyo'ti"
62284,upabhuñjaka 1,"yathā paccayaṃ pavattamānaṃ dhātumattam'ev'etaṃ, yad idaṃ piṇḍapāto tad <b>upabhuñjako</b> ca puggalo, dhātumattako nissatto nijjīvo suñño,"
62961,uparima,aññataro bhikkhu heṭṭhā hutvā silaṃ uccāresi. <b>uparimena</b> bhikkhunā duggahitā silā heṭṭhimassa bhikkhuno matthake avatthāsi. so bhikkhu kālamakāsi
62999,uparūpari,yam'pi tathāgato arahaṃ sammāsambuddho pubb'eva sambodhā anabhisambuddho bodhisatto'va samāno mahato mīḷhapabbatassa <b>upar'ūpari</b> caṅkamati alippamāno mīḷhena
63024,upasamana,"sakkatvā dhammaratanaṃ, osadhaṃ uttamaṃ varaṃ, pariḷāh'<b>ūpasamanaṃ</b>. dhammatejena sotthinā nassant'upaddavā sabbe, bhayā vūpasamentu te."
63046,upasamika,dhammo ca desito niyyāniko <b>upasamiko</b> parinibbāniko sambodhagāmī sugatappavedito
63288,upavajja 2,"ahaṃ, bhante, pāpakammaṃ akāsiṃ gārayhaṃ <b>upavajjaṃ</b>. yena me āyasmanto attamanā honti taṃ karomī'ti."
63286,upavadiyamāna,"kārako kārakatāya vādaṃ upeti, atha vā vuccamāno upavadiyamāno kuppati byāpajjati patiṭṭhiyati kopañ'ca dosañ'ca appaccayañ'ca pātukaroti."
62546,upahāra,"seyyathā'pi, bhikkhu, telañ'ca paṭicca vaṭṭiñ'ca paṭicca telappadīpo jhāyati, tass'eva telassa ca vaṭṭiyā ca pariyādānā aññassa ca an<b>upahārā</b> anāhāro nibbāyati."
62692,upāli 2,"etadaggaṃ, bhikkhave, mama sāvakānaṃ bhikkhūnaṃ vinayadharānaṃ yadidaṃ <b>upāli</b>"
63528,uppajjituṃ,n'āhaṃ taṃ pamāṇaṃ atikkamitvā rajjan'ādivasena <b>uppajjituṃ</b> dassāmī'ti evam'ettha attho daṭṭhabbo.
63504,uppādī,uppannā dhammā. anuppannā dhammā. <b>uppādino</b> dhammā.
60946,ubhatobhāgavimutta,<b>ubhatobhāgavimutto</b>  idha ekacco puggalo ye te santā vimokkhā atikkamma rūpe āruppā te kāyena phusitvā viharati paññāya c'assa disvā āsavā parikkhīṇā honti.
62110,ummihati,"amhākaṃ pana sakiṃ katāni santhatāni pañca'pi cha'pi vassāni honti, yesaṃ no dārakā uhadanti'pi <b>ummihanti</b>'pi undūrehi'pi khajjanti."
63742,ussāhetvā,"atthaṃ upaparikkhato dhammā nijjhānaṃ khamanti, dhammanijjhānakkhantiyā sati chando jāyati, chandajāto ussahati, <b>ussāhetvā</b> tuleti, tulayitvā padahati,"
63798,ussoḷhi,"seyyathā'pi ādittacelo vā ādittasīso vā, tass'eva celassa vā sīsassa vā nibbāpanāya adhimattaṃ chandañ'ca vāyāmañ'ca ussāhañ'ca <b>ussoḷhiñ</b>'ca appaṭivāniñ'ca satiñ'ca sampajaññañ'ca kareyya."
61715,uhadati,"amhākaṃ pana sakiṃ katāni santhatāni pañca'pi cha'pi vassāni honti, yesaṃ no dārakā <b>uhadanti</b>'pi ummihanti'pi undūrehi'pi khajjanti."
62078,ūmimaya,tassa rūpamayo vego'ti samuddassa appamāṇo ūmimayo vego
21628,ekatiṃsati,"idāni kho pana dve-sahassa-pañca-sata-ekatiṃsati saṃvaccharāni c'eva, navamāsāni ca, catuvīsati-divasāni atikkantāni."
21568,ekaputtaka,dve jāyam'patikā taṃ <b>ekaputtakaṃ</b> piyaṃ manāpaṃ vadhitvā vallūrañ'ca soṇḍikañ'ca karitvā puttamaṃsāni khādantā
70918,eka 7,"<b>eka</b>jaṃ vā dvijaṃ vā'pi,<br/>yo'dha pāṇaṃ vihiṃsati,<br/>yassa pāṇe dayā n'atthi,<br/>taṃ jaññā vasalo iti."
21604,ekāsanikaṅga,ek'āsanik'aṅgaṃ pattapiṇḍik'aṅgaṃ khalupacchābhattik'aṅgaṃ āraññik'aṅgaṃ rukkhamūlik'aṅgaṃ abbhokāsik'aṅgaṃ sosānik'aṅgaṃ
21733,ekūnacattāḷīsati,"idāni kho pana dvesahassapañcasata-<b>ekūnacattāḷīsati</b> saṃvaccharāni c'eva, navamāsāni ca, catuvīsatidivasāni atikkantāni."
21745,ekūnatiṃsati,"idāni kho pana dvesahassapañcasatatesaṭṭhi saṃvaccharāni c'eva, navamāsāni ca, <b>ekūnatiṃsati</b>divasāni atikkantāni."
21746,ekūnatiṃsatima,"<b>ek'ūnatiṃsatime</b> saṃvacchare mah'ābhinikkhamanaṃ nikkhamitvā, chabbassāni mahāpadānaṃ padahitvā"
21738,ekūnasata,"idāni kho pana dvesahassapañcasata-<b>ekūnasata</b> saṃvaccharāni c'eva, navamāsāni ca, catuvīsatidivasāni atikkantāni."
21749,ekūnavīsati,"idāni kho pana dvesahassapañcasatatesaṭṭhi saṃvaccharāni c'eva, navamāsāni ca, <b>ekūnavīsati</b>divasāni atikkantāni."
71001,ete 2,ye hi keci samaṇā vā brāhmaṇā vā anekavihitaṃ pubbenivāsaṃ anussaramānā anussaranti sabb'<b>ete</b> pañc'upādānakkhandhe anussaranti etesaṃ vā aññataraṃ.
21951,etha tumhe,"etha tumhe mā anussavena, mā param'parāya, mā itikirāya, mā piṭaka-sampadānena, mā takkahetu, mā nayahetu"
21853,esanta,"na munī gāmam'āgamma, kulesu sahasā care. <br/>ghās'<b>esanaṃ</b> chinnakatho, na vācaṃ payutaṃ bhaṇe."
22029,evamayaṃ,<b>evam'ayaṃ</b> puggalo āyatiṃ aparihānadhammo bhavissatī'ti.
22017,evamārocesi,"kiṃ nu kho mayaṃ āyasmato anuruddhassa <b>evam'ārocimha</b>, imāsañ'ca imāsañ'ca vihārasamāpattīnaṃ mayaṃ lābhino'ti"
21294,ehi tvaṃ,"<b>ehi tvaṃ,</b> bhikkhu, sīlavā hohi, pātimokkhasaṃvarasaṃvuto viharāhi ācāragocarasampanno aṇumattesu vajjesu bhayadassāvī, samādāya sikkhassu sikkhāpadesū'ti"
21776,eḷakalomāni,"yo pana bhikkhu suddhakāḷakānaṃ <b>eḷakalomānaṃ</b> santhataṃ kārāpeyya, nissaggiyaṃ pācittiyaṃ."
38757,okkami,"tesaṃ rasapathaviṃ aṅguliyā sāyataṃ acchādesi, taṇhā ca tesaṃ <b>okkami</b>."
38928,oṇojeti,"oṇojeth'āvuso, saṅghassa cīvaran'ti."
38926,oṇojesi,atha kho rājā māgadho seniyo bimbisāro sovaṇṇamayaṃ bhiṅkāraṃ gahetvā bhagavato oṇojesi
38553,odhi,cakkhunā rūpaṃ disvā uppajjati upekkhā bālassa mūḷhassa puthujjanassa an<b>odhi</b>jinassa avipākajinassa anādīnavadassāvino assutavato puthujjanassa.
39109,osaramāna,asaṃvutaṃ hutvā osaramānaṃ kiles'uppattiyā kāraṇabhāvena sadosagamanena gacchatī'ti samuddan'aṭṭhena'pi samuddo.
39076,osādeti,tena hi tvaṃ mahante mahante sāṇipasibbake kārāpetvā hiraññasuvaṇṇassa pūrāpetvā sakaṭehi nibbāhāpetvā majjhe gaṅgāya sote <b>osādehi</b>.
38817,oḷāra,ayañ'ca dasasahassī lokadhātu saṅkampi sampakampi sampavedhi appamāṇo ca <b>oḷāro</b> obhāso loke pāturahosi atikkamm'eva devānaṃ dev'ānubhāvaṃ.
26344,kakacūpama,"tasmā't'iha, bhikkhave, imaṃ <b>kakac'ūpamaṃ</b> ovādaṃ abhikkhaṇaṃ manasikarotha. taṃ vo bhavissati dīgharattaṃ hitāya sukhāyā'ti."
26261,kacci nu kho,<b>kacci nu kho </b>maṃ anuvicca viññū sabrahmacārī sīlato na upavadantī'ti pabbajitena abhiṇhaṃ paccavekkhitabbaṃ
28367,kaṭukagga,"ambil'aggehi'pi, tittak'aggehi'pi, <b>kaṭuk'aggehi</b>'pi, madhur'aggehi'pi, khārikehi'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi."
70377,katamanussaranta,"adāsi me akāsi me, ñātimittā sakhā ca me. petānaṃ dakkhiṇaṃ dajjā, pubbe <b>katam'anussaraṃ</b>."
28243,katīhi,"kati jāgarataṃ suttā, kati suttesu jāgarā.<br/><b>katīhi</b> rajam'ādeti, <b>katīhi</b> parisujjhatī'ti."
26215,kabaliṅkāra,"kabaḷiṅ'kāro āhāro oḷāriko vā sukhumo vā, phasso dutiyo, manosañcetanā tatiyā, viññāṇaṃ catutthaṃ"
71820,kabaḷī,"katame cattāro? <b>kabaḷī</b>kāro āhāro, oḷāriko vā sukhumo vā, phasso dutiyo, manosañcetanā tatiyā, viññāṇaṃ catutthaṃ."
27668,karaṇa 5,uposatha<b>karaṇato</b> pubbe navavidhaṃ pubbakiccaṃ kātabbaṃ hoti
27793,karitvā 1,"atha kho āyasmā ānando abhikkantāya rattiyā, nikkhante paṭhame yāme, uṭṭhāy'āsanā ek'aṃsaṃ uttar'āsaṅgaṃ <b>karitvā</b> yena bhagavā ten'añjaliṃ paṇāmetvā bhagavantaṃ etad'avoca"
27803,kariyamāna 1,uposathakammassa pattakallattaṃ viditvā idāni <b>kariyamāno</b> uposatho saṅghena anumānetabbo.
27814,karomase,handa mayaṃ buddhassa bhagavato pubbabhāganamakāraṃ <b>karomase</b>
26727,kalyāṇī 2,"janapada<b>kalyāṇī</b> naccati gāyatī'ti kho, bhikkhave, bhiyyosomattāya mahājanakāyo sannipateyya."
27928,kasira 2,"seyyathā'pi balavā saṅkhadhamo appa<b>kasiren</b>'eva catuddisā viññāpeyya, evam'eva kho evaṃ bhāvitāya mettāya cetovimuttiyā yaṃ pamāṇakataṃ kammaṃ na taṃ tatr'āvasissati, na taṃ tatr'āvatiṭṭhati."
26317,kahāpaṇa,"na <b>kahāpaṇa</b>vassena, titti kāmesu vijjati. <br/>appassādā dukhā kāmā, iti viññāya paṇḍito"
27982,kātabba 1,taṃ kho panidaṃ dukkhanirodhaṃ ariyasaccaṃ sacchi<b>kātabban</b>'ti
26858,kāmasukhallikānuyoga,yo c'āyaṃ kāmesu <b>kāmasukh'allik'ānuyogo</b> hīno gammo pothujjaniko anariyo anatthasañhito
26873,kāmāvacara 1,"kusalā cetanā <b>kām'āvacarā</b> rūp'āvacarā dānamayā sīlamayā bhāvanāmayā, ayaṃ vuccati puññ'ābhisaṅkhāro."
28439,kāyadaḷhibahula,"ye te bhikkhū tiracchānakathikā kāyadaḷhibahulā viharanti tesam'pi ekajjhaṃ sen'āsanaṃ paññapeti, im'āyap'ime āyasmanto ratiyā acchissantī'ti."
28512,kāyasakkhi,"kāyasakkhi – idha ekacco puggalo ye te santā vimokkhā atikkamma rūpe āruppā te kāyena phusitvā viharati, paññāya c'assa disvā ekacce āsavā parikkhīṇā honti."
28526,kāyasañcetanā,"tattha katamo kāyasaṅkhāro? <b>kāyasañcetanā</b> kāyasaṅkhāro, vacīsañcetanā vacīsaṅkhāro, manosañcetanā cittasaṅkhāro."
28562,kāyaviveka,<b>kāyaviveko</b> ca vūpakaṭṭhakāyānaṃ nekkhamm'ābhiratānaṃ
27651,kārakatā,"kārako kārakatāya vādaṃ upeti, atha vā vuccamāno upavadiyamāno kuppati byāpajjati patiṭṭhiyati kopañ'ca dosañ'ca appaccayañ'ca pātukaroti."
27685,kāraṇaṃ karoti,"ko nu kho, bhante, hetu, ko paccayo yena idh'ekaccaṃ bhikkhuṃ pasayha pasayha kāraṇaṃ karonti?"
27684,kāraṇaṃ kāriyamāna,"tassa mukh'ādhāne <b>kāraṇaṃ kāriyamānassa</b> honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ akāritapubbaṃ <b>kāraṇaṃ kāriyamānassa.</b>"
27802,kāriyamāna,"tassa mukh'ādhāne kāraṇaṃ <b>kāriyamānassa</b> honti y'eva visūkāyitāni visevitāni vipphanditāni kānici kānici, yathā taṃ akāritapubbaṃ kāraṇaṃ <b>kāriyamānassa</b>."
27824,kāruka,"sabba-kāruka-sippāni, cittiṃ katvāna sikkhare.<br/>avūpasantā ajjhattaṃ, sāmaññ'attho'ti acchati ."
26479,kālaṃ karonta,"tena bhikkhunā iti paṭisañcikkhitabbaṃ, atthi nu kho me pāpakā akusalā dhammā appahīnā ye me assu rattiṃ kālaṃ karontassa antarāyāyā'ti"
26609,kālika 2,yācitak'ūpamā kāmā tāva<b>kālik'</b>aṭṭhenā'ti passanto vikkhambhanato kāme parivajjeti
27916,kāsikosalā,"yāvatā, bhikkhave, <b>kāsikosalā</b>, yāvatā rañño pasenadissa kosalassa vijitaṃ, rājā tattha pasenadi kosalo aggam'akkhāyati."
26529,kāḷapakkha,"ayaṃ vasabhasaṃvacchare hem'antautu. asmiṃ utumhi phussamāsassa <b>kāḷapakkhe</b> catutthaṃ, ravivāram'idan'ti daṭṭhabbaṃ."
29543,kilesavatthu,"kileseh'ābhibhūtā te, tena tena vidhāvitā.<br/>narā <b>kilesavatthūsu</b>, sasaṅgāme'va ghosite."
29584,kiṃ kārapaṭissāvi,so upaṭṭhaheyya pubb'uṭṭhāyī pacchānipātī kiṃ kārapaṭissāvī manāpa-cārī piyavādī.
30391,kukkuṭasampātika,"asīti-vassa-sahass'āyukesu, bhikkhave, manussesu ayaṃ jambudīpo iddho c'eva bhavissati phīto ca, kukkuṭasampātikā gāma-nigama-rājadhāniyo."
30334,kujjhi,"kiṃ nu kujjhasi mā <b>kujjhi</b>, akkodho tissa te varaṃ"
30581,kumbhūpama,"<b>kumbh'ūpamaṃ</b> kāyam'imaṃ viditvā, nagar'ūpamaṃ cittam'idaṃ ṭhapetvā. <br/>yodhetha māraṃ paññ'āvudhena, jitañ'ca rakkhe anivesano siyā."
30471,kulitthī,"ime, bhante, licchavi-kumārakā caṇḍā pharusā apajahā ... kul'itthīnam'pi kulakumārīnam'pi pacchāliyaṃ khipanti."
30824,kūṭadanta,na arahati bhavaṃ <b>kūṭadanto</b> samaṇaṃ gotamaṃ dassanāya upasaṅkamituṃ. samaṇo tv'eva gotamo arahati bhavantaṃ <b>kūṭadantaṃ</b> dassanāya upasaṅkamituṃ
30041,koṇḍañña 1,"aññāsi vata, bho, <b>koṇḍañño</b>, aññāsi vata, bho, <b>koṇḍañño</b>'ti! iti h'idaṃ āyasmato koṇḍaññassa aññāsikoṇḍañño' tv'eva nāmaṃ ahosī'ti."
30959,kyassu,"kesu na mānaṃ kayirātha, kesu c'assa sagāravo. ky'assa apacitā assu, ky'assu sādhu supūjitā'ti."
28743,khagga 1,"seyyathā'pi, āvuso, balavā puriso tiṇhena <b>khaggena</b> muddhani abhimattheyya, evam'eva kho, āvuso, adhimattā vātā muddhani ūhananti."
