id,pali_1,example_2
28003,kaṭaggaha,"appamattako so, bhikkhave, <b>kaṭaggaho</b> yaṃ so akkhadhutto paṭhamen'eva <b>kaṭaggahena</b> mahantaṃ bhogakkhandhaṃ adhigaccheyya."
27994,kaṭacchu,"dhanañ'ca puttaṃ bhariyañ'ca, chaḍḍayitvāna niggatā.<br/><b>kaṭacchu</b>bhikkhahetū'pi, akicchāni nisevare."
28006,kaṭāha 1,"ūru'ṭṭhikaṃ, kaṭi'ṭṭhikaṃ, phāsuk'aṭṭhikaṃ, piṭṭhi'ṭṭhikaṃ, khandh'aṭṭhikaṃ, gīv'aṭṭhikaṃ, hanuk'aṭṭhikaṃ, dant'aṭṭhikaṃ, aññena sīsa<b>kaṭāhaṃ</b>."
28361,kaṭuka 2,"amatamhi vijjamāne, kiṃ tava pañca<b>kaṭukena</b> pītena, sabbā hi kāmaratiyo, <b>kaṭuka</b>tarā pañca<b>kaṭukena</b>."
28116,kaṭhalā 2,seyyathā'pi puriso sappikumbhaṃ vā telakumbhaṃ vā gambhīraṃ udakarahadaṃ ogāhitvā bhindeyya. tatra yā assa sakkharā vā <b>kaṭhalā</b> vā sā adhogāmī assa
27405,kaṇṭakaṭṭhāna,"yathā <b>kaṇṭakaṭṭhānamhi</b>, careyya anupāhano.<br/>satiṃ upaṭṭhapetvāna, evaṃ gāme munī care."
27238,kaṇha 1,"<b>kaṇhaṃ</b> dhammaṃ vippahāya, sukkaṃ bhāvetha paṇḍito, <br/>okā anokam'āgamma, viveke yattha dūramaṃ."
28090,katatta,"iti sakaraṇ'okāsānaṃ pubbakiccānaṃ <b>katattā</b>, nikkaraṇ'okāsānaṃ pubbakiccānaṃ pakatiyā pariniṭṭhitattā, evan'taṃ navavidhaṃ pubbakiccaṃ pariniṭṭhitaṃ hoti."
28091,katattā,"iti sakaraṇ'okāsānaṃ pubbakiccānaṃ <b>katattā</b>, nikkaraṇ'okāsānaṃ pubbakiccānaṃ pakatiyā pariniṭṭhitattā, evan'taṃ navavidhaṃ pubbakiccaṃ pariniṭṭhitaṃ hoti."
27976,kata 1,"yaṃ kho, bhikkhave, satthārā karaṇīyaṃ sāvakānaṃ hit'esinā anukampakena anukampaṃ upādāya, <b>kataṃ</b> vo taṃ mayā."
28280,kattabbatā,"etāni pañca kammāni, chand'āharaṇ'ādīni pātimokkh'uddesato paṭhamaṃ <b>kattabbatā</b>, uposathassa uposathakammassa pubbakiccan'ti vuccati."
28282,kattar 1,"sa kho so, gahapati, ariyasāvako uṭṭhānavīriy'ādhigatehi bhogehi bāhābalaparicitehi sed'āvakkhittehi dhammikehi dhammaladdhehi imāni cattāri pattakammāni <b>kattā</b> hoti."
28339,kattikā 1,"so pana vassāno utu sāvaṇapoṭṭhapādamāsā, assayuja<b>kattika</b>māsā sarado, māgasiraphussamāsā hemanto, māghaphaggunamāsā sisiro, cittavesākhamāsā vasanto, jeṭṭh'āsaḷhamāsā gimho utū'ti veditabbo."
28355,kattuṃ,"sace tvaṃ, rāhula, paccavekkhamāno evaṃ jāneyyāsi, yaṃ kho ahaṃ idaṃ kāyena kammaṃ <b>kattu</b>'kāmo idaṃ me kāyakammaṃ attabyābādhāya'pi saṃvatteyya"
28399,katvāna 1,"sabbakārukasippāni, cittiṃ <b>katvāna</b> sikkhare.<br/>avūpasantā ajjhattaṃ, sāmaññ'attho'ti acchati ."
28398,katvā 2,"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā akatapubbaṃ, taṃ aṭṭhiṃ <b>katvā</b> manasi <b>katvā</b> sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."
28107,kathā 2,"okaṃ pahāya aniketasārī, gāme akubbaṃ muni santhavāni, <br/>kāmehi ritto apurekkharāno, <b>kathaṃ</b> na viggayha janena kayirā."
26267,kad,"ku'icc'etassa <b>kad</b> hoti sare pare. kucchitaṃ annaṃ <b>kad</b>annaṃ, kucchitaṃ asanaṃ <b>kad</b>assanaṃ"
26297,kaddama 1,"pathavisamo no virujjhati, indakhīl'ūpamo tādi subbato,<br/>rahado'va apeta<b>kaddamo</b>, saṃsārā na bhavanti tādino."
27419,kantāraddhānamagga,"bhikkhu yathā iṇaṃ yathā rogaṃ yathā bandhan'āgāraṃ yathā dāsabyaṃ yathā <b>kantār'addhānamaggaṃ</b>, ime pañca nīvaraṇe appahīne attani samanupassati"
27460,kapalla 1,"asu hi, bhante, gaṅgāya nadiyā mahā udakakkhandho so amunā loṇa<b>kapallena</b> loṇo na assa apeyyo"
27512,kappa 1.6,atha kho aññatarā devatā abhikkantāya rattiyā abhikkantavaṇṇā kevala<b>kappaṃ</b> jetavanaṃ obhāsetvā yena bhagavā ten'upasaṅkami
27012,kammappatta,yāvatikā ca bhikkhū <b>kammappattā</b> saṅgh'uposath'ārahā cattāro vā tato vā atirekā pakatattā pārājikaṃ anāpannā saṅghena vā anukkhittā.
27024,kammāraputta,evaṃ me sutaṃ ekaṃ samayaṃ bhagavā pāvāyaṃ viharati cundassa <b>kammāraputtassa</b> ambavane
27021,kammārāmatā,"na <b>kamm'ārāmatā</b>, na bhass'ārāmatā, na nidd'ārāmatā, na saṅgaṇik'ārāmatā, indriyesu guttadvāratā, bhojane mattaññutā, asaṃsagg'ārāmatā, nippapañc'ārāmatā."
27083,kammī,"gabbham'eke uppajjanti, nirayaṃ pāpa<b>kammino</b>,<br/>saggaṃ sugatino yanti, parinibbanti anāsavā."
27668,karaṇa 5,"okāsa! sammajjanī, sammajjana<b>karaṇaṃ</b> kataṃ kiṃ?"
27793,karitvā 1,"tassa dāpetvā vā adāpetvā vā uyyojeyya, gacch'āvuso, na me tayā saddhiṃ kathā vā nisajjā vā phāsu hoti, ekakassa me kathā vā nisajjā vā phāsu hotī'ti. etad'eva paccayaṃ <b>karitvā</b> anaññaṃ, pācittiyaṃ."
27772,kareyya 1,"kiṃ <b>kayirā</b> udapānena,<br/>āpā ce sabbadā siyuṃ,<br/>taṇhāya mūlato chetvā,<br/>kissa pariyesanaṃ care'ti."
26470,kalala,seyyathā'pi udapatto āvilo luḷito <b>kalalī</b>bhūto andhakāre nikkhitto. tattha cakkhumā puriso sakaṃ mukhanimittaṃ paccavekkhamāno yathābhūtaṃ na jāneyya na passeyya.
26486,kalaṃ nāgghati soḷasiṃ,"ārāmacetyā vanacetyā, pokkharañño sunimmitā.<br/>manussarāmaṇeyyassa, <b>kalaṃ n'āgghanti soḷasiṃ.</b>"
27869,kasaṭa 2,"imesaṃ kho ahaṃ, bhikkhave, samaṇamalānaṃ samaṇadosānaṃ samaṇa<b>kasaṭānaṃ</b> āpāyikānaṃ ṭhānānaṃ duggativedaniyānaṃ pahānā samaṇasāmīcippaṭipadaṃ paṭipanno'ti vadāmi."
27873,kasāva 1,"yo ca vanta<b>kasāvassa</b>, sīlesu susamāhito.<br/>upeto damasaccena, sa ve kāsāvam'arahati."
27927,kasira 1,"sace pan'āyaṃ kulaputto mah'āyo samāno <b>kasiraṃ</b> jīvikaṃ kappeti, tassa bhavanti vattāro, ajaddhumārikaṃ v'āyaṃ kulaputto marissatī'ti"
27928,kasira 2,"yato kho ariyasāvako imehi sattahi saddhammehi samannāgato hoti, imesañ'ca catunnaṃ jhānānaṃ ābhicetasikānaṃ diṭṭhadhammasukhavihārānaṃ nikāmalābhī hoti akicchalābhī a<b>kasira</b>lābhī."
27956,kassapa 1,<b>kassapassa</b> vinayasmiṃ pabbajjaṃ.
28406,kavāṭa,"atha kho so bhikkhu vihāraṃ pavisissāmī'ti <b>kavāṭaṃ</b> paṇāmento addasa sabbaṃ vihāraṃ ahinā puṇṇaṃ, vātapānehi bhoge nikkhante, disvāna bhīto vissaram'akāsi."
27113,kaṃsakūṭa,"dūteyyapahiṇagamanaanuyogā paṭivirato hoti, kayavikkayā paṭivirato hoti, tulākūṭa<b>kaṃsakūṭa</b>mānakūṭā paṭivirato hoti"
27982,kātabba 1,uposathakaraṇato pubbe navavidhaṃ pubbakiccaṃ <b>kātabbaṃ</b> hoti
26773,kāmaguṇa 2,"kāmā hi citrā madhurā manoramā, virūparūpena mathenti cittaṃ. <br/>ādīnavaṃ <b>kāmaguṇesu</b> disvā, tasmā ahaṃ pabbajito'mhi rāja."
26829,kāmapipāsā,"evam'eva kho, ye hi keci samaṇā vā brāhmaṇā vā kāyena c'eva cittena ca kāmehi avūpakaṭṭhā viharanti, yo ca n'esaṃ kāmesu kāmacchando kāmasneho kāmamucchā <b>kāmapipāsā</b> kāmapariḷāho so ca ajjhattaṃ na suppahīno hoti"
26806,kāmamucchā,"evam'eva kho, ye hi keci samaṇā vā brāhmaṇā vā kāyena c'eva cittena ca kāmehi avūpakaṭṭhā viharanti, yo ca n'esaṃ kāmesu kāmacchando kāmasneho <b>kāmamucchā</b> kāmapipāsā kāmapariḷāho so ca ajjhattaṃ na suppahīno hoti"
26854,kāmasneha,"evam'eva kho, ye hi keci samaṇā vā brāhmaṇā vā kāyena c'eva cittena ca kāmehi avūpakaṭṭhā viharanti, yo ca n'esaṃ kāmesu kāmacchando <b>kāmasneho</b> kāmamucchā kāmapipāsā kāmapariḷāho"
26798,kāmaṃ 1,"idaṃ pure cittam'acāri cārikaṃ,<br/>yen'icchakaṃ yattha<b>kāmaṃ</b> yathāsukhaṃ,<br/>tadajj'ahaṃ niggahessāmi yoniso,<br/>hatthippabhinnaṃ viya aṅkusaggaho."
26740,kāma 4,"okaṃ pahāya aniketasārī,<br/>gāme akubbaṃ muni santhavāni,<br/><b>kāmehi</b> ritto apurekkharāno,<br/>kathaṃ na viggayha janena kayirā."
28530,kāyasaṅkhāra 2,"tattha katame avijjāpaccayā saṅkhārā? puññ'ābhisaṅkhāro, apuññ'ābhisaṅkhāro, āneñj'ābhisaṅkhāro, <b>kāyasaṅkhāro</b>, vacīsaṅkhāro, cittasaṅkhāro."
27642,kāraka 2,"gaha<b>kāraka</b> diṭṭho'si, puna gehaṃ na kāhasi, <br/>sabbā te phāsukā bhaggā, gahakūṭaṃ visaṅkhataṃ, <br/>visaṅkhāragataṃ cittaṃ, taṇhānaṃ khayam'ajjhagā."
27643,kāraka 3,na avagaṇḍa<b>kārakaṃ</b> bhuñjissāmī'ti sikkhā karaṇīyā.
27670,kāraṇa 2,asaṃvutaṃ hutvā osaramānaṃ kiles'uppattiyā <b>kāraṇa</b>bhāvena sadosagamanena gacchatī'ti samuddan'aṭṭhena'pi samuddo.
27616,kāra 1,"dassanam'p'āhaṃ, bhikkhave, tesaṃ bhikkhūnaṃ bahu<b>kāraṃ</b> vadāmi"
27617,kāra 2,"anekajātisaṃsāraṃ, sandhāvissaṃ anibbisaṃ, <br/>gaha<b>kāraṃ</b> gavesanto, dukkhā jāti punappunaṃ."
27730,kārāpetvā 2,tena hi tvaṃ mahante mahante sāṇipasibbake <b>kārāpetvā</b> hiraññasuvaṇṇassa pūrāpetvā sakaṭehi nibbāhāpetvā majjhe gaṅgāya sote osādehi.
27762,kāretabba 2,"na ca tassa bhikkhuno aññāṇakena mutti atthi, yañ'ca tattha āpattiṃ āpanno tañ'ca yathādhammo <b>kāretabbo</b>, uttari c'assa moho āropetabbo"
26490,kālamakāsi,dutiyo musalo paripatitvā aññatarassa dārakassa matthake avatthāsi. so <b>kālamakāsi</b>.
27853,kāsa 1.1,"tassā puriso sotena vuyhamāno <b>kāse</b> ce'pi gaṇheyya, te palujjeyyuṃ. so tatonidānaṃ anayabyasanaṃ āpajjeyya."
27972,kāsu,tam'enaṃ dve balavanto purisā nānābāhāsu gahetvā taṃ aṅgāra<b>kāsuṃ</b> upakaḍḍheyyuṃ. atha kho tassa purisassa ārakā'v'assa cetanā ārakā patthanā ārakā paṇidhi.
29455,kikī 1,"<b>kikī'</b>va aṇḍaṃ, camarī'va vāladhiṃ. piyaṃ'va puttaṃ, <br/>nayanaṃ'va ekakaṃ. tath'eva sīlaṃ, anurakkhamānā."
29735,kiñci 2,"yaṃ <b>kiñci</b> vittaṃ idha vā huraṃ vā, <br/>saggesu vā yaṃ ratanaṃ paṇītaṃ. <br/>na no samaṃ atthi tathāgatena"
29874,kitti,"aggasmiṃ dānaṃ dadataṃ, aggaṃ puññaṃ pavaḍḍhati. aggaṃ āyu ca vaṇṇo ca, yaso <b>kitti</b> sukhaṃ balaṃ."
29793,kira 1,buddho <b>kira</b> loke uppanno'ti. tāva'd'eva ca pana bhagavantaṃ dassanāya upasaṅkamitu'kāmo hoti.
29835,kismiñcideva,"ten'ānanda, bhikkhunā <b>kismiñci'd'eva</b> pasādanīye nimitte cittaṃ paṇidahitabbaṃ."
29831,kismiṃ 1,"paṇḍitā h'āvuso, manussā vīmaṃsakā, <b>kismiṃ</b> pan'āyasmantānaṃ chandarāgavinay'akkhāyī satthā'ti?  rūpe … vedanāya … saññāya … sankhāresu … viññāṇe chandarāgavinay'akkhāyī satthā'ti."
29837,kissa 1,"kiṃ kayirā udapānena,<br/>āpā ce sabbadā siyuṃ,<br/>taṇhāya mūlato chetvā,<br/><b>kissa</b> pariyesanaṃ care'ti."
29666,kiṃlakkhaṇa,"bhante nāgasena, <b>kiṃlakkhaṇaṃ</b> viññāṇan'ti? vijānanalakkhaṇaṃ, mahārāja, viññāṇan'ti."
29573,kiṃ 2,"<b>kiṃ</b> kayirā udapānena,<br/>āpā ce sabbadā siyuṃ,<br/>taṇhāya mūlato chetvā,<br/>kissa pariyesanaṃ care'ti."
29574,kiṃ 3,"amatamhi vijjamāne, <b>kiṃ</b> tava pañcakaṭukena pītena, sabbā hi kāmaratiyo, kaṭukatarā pañcakaṭukena."
29887,kīva,"yāva<b>kīvañ</b>'ca bhikkhave bhikkhū abhiṇhaṃ sannipātā bhavissanti sannipātabahulā, vuddhiy'eva pāṭikaṅkhā no parihāni"
29562,kīḷita 1,api ca kho yāni'ssa tāni pubbe mātugāmena saddhiṃ hasitalapita<b>kīḷitāni</b> tāni anussarati
30376,kukkuṭa,"ime kho, bhikkhave, dve sukkā dhammā lokaṃ na pāleyyuṃ, na'y'idha paññāyetha mātā'ti vā mātucchā'ti vā mātulānī'ti vā ācariyabhariyā'ti vā garūnaṃ dārā'ti vā. sambhedaṃ loko agamissa, yathā ajeḷakā <b>kukkuṭa</b>sūkarā soṇasiṅgālā."
30394,kukkuṭasūkarā,"aj'eḷakapaṭiggahaṇā paṭivirato hoti, <b>kukkuṭasūkara</b>paṭiggahaṇā paṭivirato hoti"
30398,kukkuṭī,"kiñ'c'āpi tassā <b>kukkuṭiyā</b> evaṃ icchā uppajjeyya, aho, vata me kukkuṭapotakā pādanakhasikhāya vā mukhatuṇḍakena vā aṇḍakosaṃ padāletvā sotthinā abhinibbhijjeyyun'ti"
30244,kucchi 2,"suddhodanamahārājānaṃ nissāya mahāmāyādeviyā <b>kucchismiṃ</b> paṭisandhiṃ gaṇhitvā, dasamās'accayena mātu <b>kucchito</b> nikkhamitvā"
30932,kuṭumbika,"āvuso, āgantuka <b>kuṭumbikassa</b> te gehe bhattaṃ bhuñjanato varataraṃ mīḷhaṃ khādituṃ"
30273,kuḍḍa,"seyyathā'pi, bhikkhave, gāvī niccammā <b>kuḍḍañ</b>'ce nissāya tiṭṭheyya. ye kuṭṭanissitā pāṇā te naṃ khādeyyuṃ."
30626,kuṇḍala 1,"passa cittakataṃ rūpaṃ, maṇinā <b>kuṇḍalena</b> ca. <br/>aṭṭhiṃ tacena onaddhaṃ, saha vatthehi sobhati."
30490,kumāra 2,"atha kho, bhikkhave, bandhumā rājā vipassissa <b>kumārassa</b> tayo pāsāde kārāpesi, ekaṃ vassikaṃ ekaṃ hem'antikaṃ ekaṃ gimhikaṃ, pañca kāmaguṇāni upaṭṭhāpesi"
30405,kula 2,tassa kho pāpakā samācārā dissanti c'eva suyyanti ca <b>kulāni</b> ca tena duṭṭhāni dissanti c'eva suyyanti ca
30472,kulla 1,"tassa purisassa uttiṇṇassa pāraṅ'gatassa evam'assa – bahukāro kho me ayaṃ <b>kullo</b>, im'āhaṃ <b>kullaṃ</b> nissāya hatthehi ca pādehi ca vāyamamāno sotthinā pāraṃ uttiṇṇo."
30749,kusalamūla,"yad'api, bhikkhave, alobho tad'api <b>kusalamūlaṃ</b>. yad'api aluddho abhisaṅkharoti kāyena vācāya manasā tad'api kusalaṃ."
30936,kuvaṃ,"kiṃ'sū asissāmi <b>kuvaṃ</b> vā asissaṃ,<br/>dukkhaṃ vata settha kv'ajja sessaṃ,<br/>ete vitakke paridevaneyye,<br/>vinayetha sekho aniketacārī."
30301,kuhanā,"na'y'idaṃ, bhikkhave, brahmacariyaṃ vussati jana<b>kuhan'</b>atthaṃ, na janalapan'atthaṃ, na lābhasakkārasilok'ānisaṃs'atthaṃ"
30816,kūṭa 1,"dūteyyapahiṇagamanaanuyogā paṭivirato hoti, kayavikkayā paṭivirato hoti, tulā<b>kūṭa</b>kaṃsa<b>kūṭa</b>māna<b>kūṭā</b> paṭivirato hoti"
28592,kecime,"ye <b>kec'ime</b> isayo manujā, (icc'āyasmā puṇṇako)<br/>khattiyā brāhmaṇā devatānaṃ."
29925,koci 2,"hirīnisedho puriso, <b>koci</b> lokasmi vijjati,<br/>yo nindaṃ apabodheti, asso bhadro kasām'iva."
29950,kodhasāmanta,"pharusavāco hoti. yā sā vācā aṇḍakā kakkasā parakaṭukā par'ābhisajjanī <b>kodhasāmantā</b> asamādhisaṃvattanikā, tathārūpiṃ vācaṃ bhāsitā hoti"
30061,kopīna,"sītavātaparittāṇaṃ, hiri<b>kopīna</b>chādanaṃ.<br/>matt'aṭṭhiyaṃ abhuñjiṃsu, santuṭṭhā itar'ītare."
30078,kosa 4,mahallakaṃ pana bhikkhunā vihāraṃ kārayamānena yāva dvāra<b>kosā</b> aggaḷaṭṭhapanāya ālokasandhiparikammāya dvatticchadanassa pariyāyaṃ
30954,ky,"kesu na mānaṃ kayirātha, kesu c'assa sagāravo. <b>ky'</b>assa apacitā assu, <b>ky'</b>assu sādhu supūjitā'ti."
28743,khagga 1,"ukkhitta<b>khaggam</b>atihatthasudāruṇan'taṃ, dhāvan'tiyojanapath'aṅgulimālavantaṃ. iddhī'bhisaṅkhatamano jitavā mun'indo."
28769,khajjati 1,"amhākaṃ pana sakiṃ katāni santhatāni pañca'pi cha'pi vassāni honti, yesaṃ no dārakā uhadanti'pi ummihanti'pi undūrehi'pi <b>khajjanti</b>."
28871,khaṇḍa 1,"seyyathā'pi, āvuso, balavā puriso daḷhena varatta<b>kkhaṇḍena</b> sīse sīsaveṭhaṃ dadeyya, evam'eva kho, āvuso, adhimattā sīse sīsavedanā."
28966,khantī,"<b>khantī</b> ca sovacassatā, samaṇānañ'ca dassanaṃ.<br/>kālena dhammasākacchā, etaṃ maṅgalam'uttamaṃ."
28825,khama 2,"addhāna<b>kkhamo</b> hoti, padhāna<b>kkhamo</b> hoti, appābādho hoti, asitaṃ pītaṃ khāyitaṃ sāyitaṃ sammā pariṇāmaṃ gacchati, caṅkam'ādhigato samādhi ciraṭṭhitiko hoti."
29021,khārika 1.1,"ambil'aggehi'pi, tittak'aggehi'pi, kaṭuk'aggehi'pi, madhur'aggehi'pi, <b>khārikehi</b>'pi, akhārikehi'pi, loṇikehi'pi, aloṇikehi'pi."
29391,khura 1,"varaṃ, bhikkhave, tiṇhena <b>khurena</b> ādittena sampajjalitena sajotibhūtena jivh'indriyaṃ sampalimaṭṭhaṃ, na tv'eva jivhāviññeyyesu rasesu anubyañjanaso nimittaggāho."
71031,khemaka 2,"dhītā <b>khemaka</b>sakkassa, nandā nāmāti vissutā."
29332,kho pana,"siyā <b>kho pana</b>ananda, tumhākaṃ evam'assa, atītasatthukaṃ pāvacanaṃ, n'atthi no satthā'ti."
22358,gaja,"nāḷāgiriṃ <b>gaja</b>varaṃ atimattabhūtaṃ, dāv'aggicakkam'asanī'va, sudāruṇan'taṃ, mett'ambusekavidhinā jitavā mun'indo."
22573,gaṇana 1,"yathārūpaṃ parisaṃ alaṃ yojana<b>gaṇanāni</b>'pi dassanāya gantuṃ api puṭ'aṃsenā'pi, tathārūpo ayaṃ, bhikkhave, bhikkhusaṅgho."
22773,gaṇikā,"bhesajjesu yathā vejjā, kicc'ākicce yathā gihī.<br/><b>gaṇikā</b>'va vibhūsāyaṃ, issare khattiyā yathā."
22802,gaṇṭhi 1,jīvako … janaṃ ussāretvā tirokaraṇiyaṃ parikkhipitvā thambhe upanibandhitvā bhariyaṃ purato ṭhapetvā udaracchaviṃ uppāṭetvā anta<b>gaṇṭhiṃ</b> nīharitvā bhariyāya dassesi
22602,gaṇḍamūla,"<b>gaṇḍamūlan</b>'ti kho, bhikkhave, taṇhāy'etaṃ adhivacanaṃ."
22895,gata 4,"tato pāsādikaṃ āsi, <b>gataṃ</b> bhuttaṃ nisevitaṃ.<br/>siniddhā teladhārā'va, ahosi iriyāpatho."
71837,gantabba 4,"tāni ce sutte otāriyamānāni vinaye sandassiyamānāni na c'eva sutte otaranti na vinaye sandissanti, <b>niṭṭham'ettha gantabbaṃ</b>, addhā, idaṃ na c'eva tassa bhagavato vacanaṃ arahato sammāsambuddhassa, imassa ca bhikkhuno duggahitan'ti."
22145,gabbha 3,"aparikkhittaṃ hoti, yasmiṃ <b>gabbhe</b> cīvaraṃ nikkhittaṃ hoti tasmiṃ <b>gabbhe</b> vatthabbaṃ, hatthapāsā vā na vijahitabbaṃ."
22456,gamanāya,"seyyathā'pi, bhikkhave, puriso addhānamaggappaṭipanno. so passeyya mahantaṃ udak'aṇṇavaṃ … na c'assa nāvā santāraṇī uttarasetu vā apārā pāraṃ <b>gamanāya</b>."
22510,gambhīrapañña,"ye ariyasaccāni vibhāvayanti, <b>gambhīrapaññena</b> sudesitāni. <br/>kiñ'c'āpi te honti bhusaṃ pamattā, na te bhavaṃ aṭṭhamam'ādiyanti."
22542,gamma 1,yo c'āyaṃ kāmesu kāmasukh'allik'ānuyogo hīno <b>gammo</b> pothujjaniko anariyo anatthasañhito
71006,garu 5,yāvakīvañ'ca bhikkhave bhikkhū ye te bhikkhū therā rattaññū cirapabbajitā saṅghapitaro saṅghapariṇāyakā te sakkarissanti <b>garuṃ</b> karissanti mānessanti pūjessanti tesañ'ca sotabbaṃ maññissanti
22950,gava,"hatthi<b>gav'</b>assavaḷavapaṭiggahaṇā paṭivirato hoti, khettavatthupaṭiggahaṇā paṭivirato hoti"
22964,gavassa,"hatthi<b>gav'assa</b>vaḷavapaṭiggahaṇā paṭivirato hoti, khettavatthupaṭiggahaṇā paṭivirato hoti"
22231,gaha 1,"idaṃ pure cittam'acāri cārikaṃ,<br/>yen'icchakaṃ yatthakāmaṃ yathāsukhaṃ,<br/>tadajj'ahaṃ niggahessāmi yoniso,<br/>hatthippabhinnaṃ viya aṅkusa<b>ggaho</b>."
22232,gaha 2,<b>gaha</b>pati vā gahapatiputto vā aññatarasmiṃ vā kule paccājāto.
22329,gahetvā 5,"seyyathā'pi, bhikkhave, puriso chappāṇake <b>gahetvā</b> nānāvisaye nānāgocare daḷhāya rajjuyā bandheyya."
22466,gāmanigamarājadhānī,"asītivassasahass'āyukesu, bhikkhave, manussesu ayaṃ jambudīpo iddho c'eva bhavissati phīto ca, kukkuṭasampātikā <b>gāmanigamarājadhāniyo</b>."
22335,gāhī 1,"ehi tvaṃ, bhikkhu, indriyesu guttadvāro hohi, cakkhunā rūpaṃ disvā mā nimitta<b>ggāhī</b> hohi m'ānubyañjanaggāhī."
22397,gāḷha 2,"gacchatha, bho, imaṃ purisaṃ daḷhāya rajjuyā pacchābāhaṃ <b>gāḷha</b>bandhanaṃ bandhitvā khuramuṇḍaṃ karitvā"
23390,gimhāna,"vanappagumbe yathā phussit'agge, <b>gimhāna</b>māse paṭhamasmiṃ gimhe. tath'ūpamaṃ dhammavaraṃ adesayi, nibbānagāmiṃ paramaṃ hitāya."
23382,gilati,"seyyathā'pi, bhikkhave, bāḷisiko āmisagataṃ baḷisaṃ gambhīre udakarahade pakkhipeyya. tam'enaṃ aññataro āmisacakkhu maccho <b>gileyya</b>."
23710,guṇavant 1,"iminā puññakammena upajjhāyā guṇ'uttarā, ācariy'ūpakārā ca mātāpitā ca ñātakā, suriyo candimā rājā, <b>guṇavantā</b> narā'pi ca"
23679,gumba 1,"seyyathā'pi pabbatasaṅkhepe udakarahado accho vippasanno anāvilo. tattha cakkhumā puriso tīre ṭhito passeyya sippisambukam'pi sakkharakathalam'pi maccha<b>gumbam</b>'pi, carantam'pi tiṭṭhantam'pi."
23740,gūthagata 1,"seyyathā'pi, bhikkhave, chav'ālātaṃ ubhatopadittaṃ majjhe <b>gūthagataṃ</b>, n'eva gāme kaṭṭh'atthaṃ pharati, n'āraññe kaṭṭh'atthaṃ pharati."
23641,gū 2,"kathañ'ca bhikkhu veda<b>gū</b> hoti? vidit'āssa honti pāpakā akusalā dhammā, saṃkilesikā, ponobbhavikā, sadarā, dukkhavipākā, āyatiṃ, jātijarāmaraṇiyā"
23035,gelañña,ekadā dhammarājā pi <b>gelaññen</b>'ābhipīḷito cundattherena taññ'eva bhaṇāpetvāna sādaraṃ sammoditvā ca ābādhā tamhā vuṭṭhāsi ṭhānaso.
23551,gopānasī,āsītikaṃ vā nāvutikaṃ vā vassasatikaṃ vā jātiyā jiṇṇaṃ <b>gopānasi</b>vaṅkaṃ bhoggaṃ daṇḍaparāyaṇaṃ pavedhamānaṃ gacchantaṃ
23152,ghātaka,"buddho susuddho karuṇāmah'aṇṇavo, yo'ccantasuddhabbarañāṇalocano, lokassa pāp'ūpakilesa<b>ghātako</b>"
23147,ghāta 1,"yo sāsanaṃ arahataṃ, ariyānaṃ dhammajīvinaṃ,<br/>paṭikkosati dummedho, diṭṭhiṃ nissāya pāpikaṃ,<br/>phalāni kaṭṭhakass'eva, atta<b>ghātāya</b> phallati."
23269,ghosita,"kileseh'ābhibhūtā te, tena tena vidhāvitā.<br/>narā kilesavatthūsu, sasaṅgāme'va <b>ghosite</b>."
15714,cakkhuppāda,"so tvaṃ ārogyaṃ jāneyyāsi, nibbānaṃ passeyyāsi. tassa te saha <b>cakkh'uppādā</b> yo pañcas'upādānakkhandhesu chandarāgo so pahīyetha"
15699,cakkhumant 2,"<b>cakkhumanto</b> rūpāni dakkhantī'ti, evam'evaṃ bhotā gotamena anekapariyāyena dhammo pakāsito."
15685,cakkhu 4,"idaṃ dukkhaṃ ariyasaccan'ti me, bhikkhave, pubbe ananussutesu dhammesu <b>cakkhuṃ</b> udapādi, ñāṇaṃ udapādi, paññā udapādi, vijjā udapādi, āloko udapādi."
15824,caṇḍāla 1,seyyathā'pi <b>caṇḍāla</b>kumārako vā <b>caṇḍāla</b>kumārikā vā kaḷopihattho nantakavāsī gāmaṃ vā nigamaṃ vā pavisanto nīcacittaṃ'y'eva upaṭṭhapetvā pavisati.
16100,catubbidha,"tattha, sātthakasampajaññaṃ, sappāyasampajaññaṃ, gocarasampajaññaṃ, asammohasampajaññaṃ'ti <b>catubbidhaṃ</b> sampajaññaṃ."
16030,caritvā 2.1,"atha kho ayam'eva tato mahantataro kaṭaggaho yaṃ so paṇḍito kāyena sucaritaṃ <b>caritvā</b>, vācāya sucaritaṃ <b>caritvā</b>, manasā sucaritaṃ <b>caritvā</b> kāyassa bhedā paraṃ maraṇā sugatiṃ saggaṃ lokaṃ upapajjati."
15593,ca 2,"na hi verena verāni,<br/>sammant'īdha kudācanaṃ,<br/>averena <b>ca</b> sammanti,<br/>esa dhammo sanantano."
16200,cātummahārājika 1,<b>cātummahārājikānaṃ</b> devānaṃ saddaṃ sutvā tāvatiṃsā devā saddam'anussāvesuṃ
