id	pos	lemma	root_key	family_root	meaning	ru_meaning	ru_meaning_lit	ru_meaning_raw	corrections_ru_meaning	corrections_ru_meaning_lit	notes
13125	pp	āvuṭṭha	√vas 1	ā √vas	inhabited (by); lived in (by); dwelt in (by)			заселённый (кем-либо); обитаемый (кем-либо); живущий (кем-либо)			
13138	pp	āvuttha	√vas 1	ā √vas	inhabited (by); lived in (by); dwelt in (by)			населённый (кем-либо); обитаемый (кем-либо); заселённый (кем-либо)			
33783	adj	durāvāsa	√vas 1	ā √vas	difficult to live in; hard to stay in	в котором трудно жить; трудно оставаться (в)					
72021	masc	anāvāsa	√vas 1	ā √vas	non-residence; eviction (of)			невозвращение; выселение (кого-либо)			
75591	pr	vivaseti	√vas 1	vi √vas	(of time) passes; spends			(о времени) проходит; проводит			
10635	prp	avippavasanta	√vas 1	vi pa √vas	not being absent (from); not having left			не отсутствующий (из); не покинувший			
10636	masc	avippavāsa 1	√vas 1	vi pa √vas	not living apart (from); not being away (from); non-absence (from)			невыпадение; небытие в стороне; непредставленность			
10637	masc	avippavāsa 2	√vas 1	vi pa √vas	non-forgetfulness; not being mentally absent			незабвение; отсутствие умственной рассеянности			
10640	pp	avippavuttha	√vas 1	vi pa √vas	not lived apart from; not been absent from; not separated from			не прожитый отдельно от; не отсутствующий; не отделенный от			
68502	pr	vippavasati	√vas 1	vi pa √vas	lives apart (from); is absent (from); is separated (from)	живет отдельно (от); отсутствует (от); является отделенным (от)					
68504	ptp	vippavasitabba	√vas 1	vi pa √vas	could be apart (from); can be absent (from); can be separated (from); lit. to be lived apart	может быть отдельно (от); может быть без (чего-либо); может быть разделен (от)					
68505	abs	vippavasitvā	√vas 1	vi pa √vas	having lived apart (from); having been absent (from); having been separated (from)			прожив отдельно (от); отсутствуя (от); будучи отделённым (от)			
68506	masc	vippavāsa	√vas 1	vi pa √vas	living apart (from); being away (from); absence (from)	жизнь отдельно (от); пребывание отдельно (от)					
68507	pp	vippavuṭṭha	√vas 1	vi pa √vas	lived apart from; been absent from; separated from			проживший отдельно от; отсутствовавший; отделенный от			
68508	pp	vippavuttha 1	√vas 1	vi pa √vas	left home; gone abroad; emigrated; lit. lived abroad	ушедший из дома; уехавший заграницу; эмигрировавший					
68509	pp	vippavuttha 2	√vas 1	vi pa √vas	lived apart from; been absent from; separated from			живший отдельно от; отсутствовавший от; отделенный от			
4892	adj	anuposathika	√vas 1	upa √vas	who does not observe the full moon and new moon; who ignores the observance days; lit. not living near			кто не соблюдает полнолуние и новолуние; кто игнорирует дни соблюдения			
16230	pr	upavasati	√vas 1	upa √vas	(of uposatha) observes; keeps; lit. lives near			наблюдает; соблюдает			
16231	aor	upavasi	√vas 1	upa √vas	(of precepts) observed; lit. lived near			(о предписаниях) соблюдался			
16232	abs	upavasitvā	√vas 1	upa √vas	(of precepts) having observed; lit. having lived near			наблюдав (о предписаниях)			
16233	aor	upavasissaṃ	√vas 1	upa √vas	(of precepts) I observed; lit. I lived near	я соблюдал (обеты)					
16234	ger	upavassa	√vas 1	upa √vas	(of precepts) observing; lit. living near			наблюдая			
16235	abs	upavassaṃ	√vas 1	upa √vas	having spent; having lived; having observed; lit. living near	проведя; прожив; соблюдая					
16250	masc	upavāsa 1	√vas 1	upa √vas	observance; fulfillment of a ritual practice; lit. living near			обряд; исполнение ритуальной практики			
16268	pp	upavuttha 1	√vas 1	upa √vas	observed; celebrated; kept; lit. lived near			наблюдаемый; отмечаемый; сохраненный			
16502	masc	uposatha 1	√vas 1	upa √vas	full moon or new moon observance day; lit. living near	праздничный день полнолуния или новолуния; Упосатха					
16503	masc	uposatha 2	√vas 1	upa √vas	observance day ceremony; lit. living near	церемония дня соблюдения; празднование Упосатхи					
16504	masc	uposatha 3	√vas 1	upa √vas	name of a king Mahāsudassana's royal elephant; lit. living near			имя королевского слона царя Махасудассаны; досл. обряд пощения			
16505	nt	uposatha 4	√vas 1	upa √vas	name of a types of elephant; lit. living near			название типов слонов; досл. соблюдение			
16506	masc	uposatha 5	√vas 1	upa √vas	name of a privately awakened Buddha; lit. living near			имя частно просветленного Будды			
16529	adj	uposathika	√vas 1	upa √vas	observing the eight precepts; lit. living near			соблюдающий восемь обетов			
9654	adj	asaṃvāsa 1	√vas 1	saṃ √vas	(vinaya) expelled; excommunicated; unaffiliated; not part of the community; lit. not co-resident	(виная) исключенный; отлученный; не являющийся членом; не являющийся частью сообщества	не сожитель				
61904	pr	saṃvasati	√vas 1	saṃ √vas	lives together (with); cohabits (with); lives (with)	живет вместе (с); сожительствует (с); проживает (с)					
61905	prp	saṃvasanta	√vas 1	saṃ √vas	living together (with)			живущий вместе (с)			
61906	prp	saṃvasamāna	√vas 1	saṃ √vas	living together (with); cohabiting (with); living (with)			живущий вместе (с); сожительствующий (с); живущий (с)			
61907	aor	saṃvasi	√vas 1	saṃ √vas	lived together (with); cohabited (with)			жили вместе (с); сожительствовали (с)			
61910	masc	saṃvāsa 1	√vas 1	saṃ √vas	living together (with); co-habitation (with); close association (with)	совместное проживание; сожительство; тесное взаимодействие					
61911	masc	saṃvāsa 2	√vas 1	saṃ √vas	group meeting; gathering; communion; lit. living together			встреча группы; собрание; общение; досл. совместное проживание			
61912	masc	saṃvāsa 3	√vas 1	saṃ √vas	intimacy; sexual intercourse; lit. living together			интимность; половой акт; досл. совместное проживание			
61913	adj	saṃvāsaka	√vas 1	saṃ √vas	living together; cohabiting			живущий вместе; сожительствующий			
73786	masc	asaṃvāsa 2	√vas 1	saṃ √vas	(vinaya) without affiliation; lit. not co-resident			(виная) без присоединения; досл. не сожитель			
74559	adj	saṃvāsiya	√vas 1	saṃ √vas	living together; cohabitating			живущий вместе; сожительствующий			
80070	inf	saṃvasituṃ	√vas 1	saṃ √vas	to live together; to cohabit; to live (with)			жить вместе; сожительствовать; жить (с)			
59816	adj	samāvāsa	√vas 1	saṃ ā √vas	living; residing			живущий; проживающий			
58591	masc	sannivāsa	√vas 1	saṃ ni √vas	living together; living with; community; association	совместное проживание; пребывание (с); сообщество; взаимодействие					
58593	pp	sannivuttha	√vas 1	saṃ ni √vas	lived together (with)			живший вместе (с)			
40999	pr	paṭivasati	√vas 1	pati √vas	lives (in); resides (at); stays (at)	живет; обитает					
41000	prp	paṭivasanta	√vas 1	pati √vas	living (in); residing (at); staying (at)			живущий (в); проживающий (в); пребывающий (в)			
6445	abs	aparivasitvā	√vas 1	pari √vas	having not lived under probation (for); having not stayed for a trial period (for); lit. having not stayed around			не прожив под испытанием (для); не оставшись на пробный период (для); досл. не оставшись поблизости			
43742	prp	paribbasāna	√vas 1	pari √vas	living (in); staying (in); settled (in); stuck (in)	живущий (в); остающийся (в); усаживающийся (в); застрявший (в)					
44259	ptp	parivatthabba	√vas 1	pari √vas	should be under probation; should serve probation; lit. to be stayed around	должен отбыть испытательный срок	следует пребывать вокруг				
44260	pr	parivasati	√vas 1	pari √vas	lives under probation (for); stays for a trial period (for); lit. stays around	живет на испытательном сроке; остается на испытательный срок (на)	остается рядом (на)				
44261	prp	parivasanta	√vas 1	pari √vas	living on probation; lit. staying around			живущий на испытательном сроке; досл. остающийся рядом			
44263	ptp	parivasitabba	√vas 1	pari √vas	should live under probation; should stay for a trial period; lit. to be stayed around			следует жить на испытательном сроке; следует оставаться на испытательный срок; досл. должно быть прожито вокруг			
44264	abs	parivasitvā	√vas 1	pari √vas	having lived under probation (for); having stayed for a trial period (for); lit. having stayed around			прожив на испытательном сроке; оставшись на испытательный срок; досл. оставшись вокруг			
44285	masc	parivāsa 1	√vas 1	pari √vas	(vinaya) probation; trial period; lit. staying around	(виная) испытательный срок; период испытания	пребывание вокруг				
44286	masc	parivāsa 2	√vas 1	pari √vas	time period; duration; interval; lit. staying around			период времени; длительность; промежуток; досл. пребывание вокруг			
44307	pp	parivuṭṭha	√vas 1	pari √vas	(of probation) lived under; served			(о испытательном сроке) прожитый; отслуженный			
44310	pp	parivuttha	√vas 1	pari √vas	(of probation) lived under; served	проживший; пробывший (на испытательном сроке)	пребывавший вокруг				
45826	adj	pārivāsika 1	√vas 1	pari √vas	(vinaya) related to probation; regarding the trial period; lit. related to staying around			(виная) относящийся к испытательному сроку; касающийся пробации; досл. относящийся к пребыванию рядом			
45827	adj	pārivāsika 2	√vas 1	pari √vas	(of food) which has stood overnight; lit. related to staying around			(о еде) которая простояла ночь; досл. связанный с оставлением вокруг			
44891	prp	pavasanta	√vas 1	pa √vas	going away (from); going abroad (from); travelling away (from)			уходящий (из); уезжающий (из); путешествующий (из)			
44931	masc	pavāsa	√vas 1	pa √vas	trip abroad; journey; travels			поездка за границу; путешествие; поездки			
44932	adj	pavāsī	√vas 1	pa √vas	who lives abroad; who lives away from home	кто живет за границей; кто живет вдали от дома					
44999	pp	pavuṭṭha 1.1	√vas 1	pa √vas	lived abroad; stayed away from home; resided overseas			живший за границей; оставшийся вдали от дома; проживавший за морем			
45005	pp	pavuttha	√vas 1	pa √vas	travelled away from home; lived abroad			путешествовавший вдали от дома; живший за границей			
64176	fem	suppavāsā	√vas 1	pa √vas	name of a female lay disciple; foremost among those who offer excellent items; lit. happily living abroad			имя мирянки; главная среди тех, кто предлагает превосходные предметы; досл. счастливо живущая за границей			
38424	adj	nivāsa 1.1	√vas 1	ni √vas	living; staying; lit. residing			живущий; остающийся; досл. проживающий			
38425	masc	nivāsa 1.2	√vas 1	ni √vas	dwelling; living place; lit. residence	жилье; место проживания					
38426	masc	nivāsa 1.3	√vas 1	ni √vas	life; existence; lit. living place	жизнь; существование					
38436	abs	nivāsāpetvā 1.1	√vas 1	ni √vas	having made live; having caused to stay; lit. having caused to reside			заставив жить; заставив остаться; досл. заставив поселиться			
38438	aor	nivāsāpesi	√vas 1	ni √vas	made live; caused to stay; lit. causes to reside			заставил жить; заставил остаться; досл. заставил проживать			
38441	adj	nivāsī	√vas 1	ni √vas	living (in); staying (in); dwelling (in); lit. residing			живущий (в); остающийся (в); обитающий (в); досл. проживающий			
38468	pp	nivuttha	√vas 1	ni √vas	lived (in); stayed (in); inhabited; lit. resided			живший (в); оставшийся (в); населённый; досл. проживавший			
38873	masc	nevāsika 1	√vas 1	ni √vas	resident; inhabitant; lit. resider			житель; обитатель; досл. проживающий			
75772	nt	nivāsana 2.1	√vas 1	ni √vas	house; home; dwelling; living place; lit. residing			дом; жилище; место обитания; досл. проживание			
2184	masc	atinivāsa	√vas 1	ati ni √vas	overstaying; living too long in one place; prolonged residence			перебывание; слишком долгое проживание на одном месте; длительное пребывание			
5391	abs	anuvasitvā	√vas 1	anu √vas	having continued staying; having remained living			продолжив оставаться; продолжив жить			
3358	pp	adhivattha	√vas 1	adhi √vas	lived (in); inhabited; stayed (in)			прожитый, заселённый, пребывавший			
3363	adj	adhivāsaka	√vas 1	adhi √vas	patient; enduring; resistant	выносливый; терпеливый					
3365	nt	adhivāsana 1	√vas 1	adhi √vas	enduring; tolerating; withstanding; weathering	выносливость; выдержка; терпение					
3366	nt	adhivāsana 2	√vas 1	adhi √vas	agreeing; consenting; accepting			согласие; одобрение; принятие			
3369	fem	adhivāsanā 1	√vas 1	adhi √vas	agreeing (of); consenting (of); accepting (of)			согласие; согласование; принятие (чего-либо)			
3370	nt	adhivāsanā 2	√vas 1	adhi √vas	by means of enduring; through tolerating			посредством терпения; через терпимость			
3371	prp	adhivāsanta	√vas 1	adhi √vas	enduring; tolerating; withstanding; weathering			терпящий; выносящий; противостоящий; переносящий			
3372	pr	adhivāsayati	√vas 1	adhi √vas	endures; tolerates; weathers			терпит; переносит; выдерживает			
3373	prp	adhivāsayanta	√vas 1	adhi √vas	enduring; tolerating; weathering	выносящий; терпящий; выдерживающий					
3375	ptp	adhivāsetabba	√vas 1	adhi √vas	should be endured; must be tolerated; lit. to cause to be endured			должно быть вынесено; должно быть терпимо; досл. вызвать, чтобы было вынесено			
3376	pr	adhivāseti 1	√vas 1	adhi √vas	agrees (to); consents (to); accepts; lit. to cause to be endured	соглашается (с); дает согласие (на); принимает					
3377	pr	adhivāseti 2	√vas 1	adhi √vas	endures; tolerates; weathers	терпит; выносит; допускает					
3379	inf	adhivāsetuṃ	√vas 1	adhi √vas	to endure; to tolerate; to bear			терпеть, переносить, выносить			
3380	abs	adhivāsetvā 1	√vas 1	adhi √vas	having endured; having tolerated			вытерпев; перенеся			
3382	aor	adhivāsesi 1	√vas 1	adhi √vas	agreed (to); consented (to); accepted	согласился (с); дал согласие (на); принял					
3383	aor	adhivāsesi 2	√vas 1	adhi √vas	endured; tolerated	выдерживал; терпел; переносил					
3390	pp	adhivuṭṭha	√vas 1	adhi √vas	accepted; consented; agreed (by)			принятый; одобренный; согласованный			
3395	pp	adhivuttha 2	√vas 1	adhi √vas	accepted; agreed to (by); lit. caused to be endured			принятый; уступленный; согласованный; досл. урегулированный			
3619	adj	anadhivāsaka	√vas 1	adhi √vas	impatient; not enduring; not resistant			нетерпеливый; не выносящий; не устойчивый			
3621	prp	anadhivāsanta	√vas 1	adhi √vas	not enduring; not tolerating; not withstanding; not weathering			не терпящий; не выносящий; не выдерживающий; не переживающий			
3622	prp	anadhivāsayanta	√vas 1	adhi √vas	not enduring; not tolerating; not weathering	не выносящий; не терпящий; не выдерживающий					
3623	prp	anadhivāsenta	√vas 1	adhi √vas	refusing to accept; disagreeing (with)			отказывающийся принимать; несогласный (с)			
36220	pr	nādhivāseti	√vas 1	adhi √vas	does not tolerate; does not accept; does not endure	не терпит; не принимает					
74128	prp	adhivāsenta	√vas 1	adhi √vas	enduring; tolerating; bearing; weathering			стойко переносящий; терпящий; выдерживающий; переживающий			
1316	aor	ajjhavāsayi	√vas 1	adhi ā √vas	endured; tolerated; weathered			стерпел; вытерпел; выдержал			
1359	masc	ajjhāvasatar	√vas 1	adhi ā √vas	who lives in a home; who is domestically settled	живущий мирской жизнью; обитающий дома					
1360	pr	ajjhāvasati 1	√vas 1	adhi ā √vas	lives (in); inhabits; stays (in); is settled (in); dwells (in)	живет (в); обитает; пребывает; оседает (дома)					
1361	pr	ajjhāvasati 2	√vas 1	adhi ā √vas	reigns over; rules; governs	властвует; правит; управляет					
1362	masc	ajjhāvasatha	√vas 1	adhi ā √vas	within a dwelling; inside a house	внутри жилища; внутренняя территория дома					
1364	prp	ajjhāvasanta 1	√vas 1	adhi ā √vas	living (in); inhabiting; staying (in)	живущий (в); обитающий (в); пребывающий (в)					
1365	prp	ajjhāvasanta 2	√vas 1	adhi ā √vas	living (off)			живущий (на)			
1366	aor	ajjhāvasi 1	√vas 1	adhi ā √vas	lived (in); inhabited; stayed (in); was settled (in)			жил (в); населял; оставался (в); был поселён (в)			
1367	aor	ajjhāvasi 3	√vas 1	adhi ā √vas	remained (in); continued (in)			остался (в); продолжал (в)			
1368	inf	ajjhāvasituṃ	√vas 1	adhi ā √vas	to live; to remain; to continue			жить; оставаться; продолжать			
1370	pp	ajjhāvuṭṭha	√vas 1	adhi ā √vas	inhabited (by); occupied (by); lived in (by)	заселённый; населённый; обитаемый					
3489	pp	anajjhāvuṭṭha	√vas 1	adhi ā √vas	uninhabited (by); unoccupied (by); not lived in (by); not stayed in (by)			незаселённый (кем-либо); незанятый (кем-либо); необитаемый (кем-либо); не прожитый (кем-либо)			
3491	pp	anajjhāvuttha	√vas 1	adhi ā √vas	uninhabited (by); unoccupied (by); not lived in (by); not stayed in (by)			незаселенный (кем-либо); незанятый (кем-либо); не проживаемый (кем-либо); не посещаемый (кем-либо)			
75795	pr	ajjhāvasati 3	√vas 1	adhi ā √vas	holds a position			занимает должность			
75796	aor	ajjhāvasi 2	√vas 1	adhi ā √vas	reigned over; ruled; governed			правил; управлял; господствовал			
7920	pp	abhinivuṭṭha	√vas 1	abhi ni √vas	lived in; inhabited			обитаемый; заселённый			
6151	adj	apatana 1	√pat 1	√pat	unable to fly			неспособный летать			
41690	pr	patati 1	√pat 1	√pat	falls (on); lands (on)	падает; приземляется (на)					
41691	pr	patati 2	√pat 1	√pat	jumps (off); lit. falls			прыгает; досл. падает			
41692	pr	patati 3	√pat 1	√pat	falls (off); falls (from)			падает; выпадает			
41694	nt	patana 1	√pat 1	√pat	fall; falling			падение; падение			
41695	nt	patana 2	√pat 1	√pat	flying down; landing; alighting; lit. falling	полет вниз; приземление; посадка					
41696	nt	patana 3	√pat 1	√pat	ruin; disaster; devastation; lit. falling			разрушение; катастрофа; опустошение; досл. падение			
41701	prp	patanta 3	√pat 1	√pat	flying; jumping; lit. falling			летящий; прыгающий; досл. падающий			
41717	aor	pati 1.1	√pat 1	√pat	fell; dropped			упал; упали			
41795	pp	patita 1	√pat 1	√pat	fallen (onto); landed (on)			упавший (на); приземленный (на)			
41796	pp	patita 2	√pat 1	√pat	shot; fired; released; lit. fallen	выпущенный; стреляный	упавший				
41797	pp	patita 3	√pat 1	√pat	dropped; lit. fallen			упавший; досл. падший			
41804	inf	patituṃ	√pat 1	√pat	to fall; to plunge			падать; погружаться			
41808	abs	patitvā	√pat 1	√pat	having fallen down (from); having fallen off (of); having fallen (onto)			упав; свалившись; упав на			
42356	pp	panna	√pat 1	√pat	dropped; lowered; put down	сброшенный; отложенный; опущенный					
42357	adj	pannaka	√pat 1	√pat	who has fallen			упавший			
45403	masc	pāta 1	√pat 1	√pat	fall; drop			падение			
45404	masc	pāta 2	√pat 1	√pat	drop; dropping; lit. causing to fall	бросок; сбрасывание	побуждение упасть				
45405	masc	pāta 3	√pat 1	√pat	throw; lit. causing to fall	бросок	побуждение падения				
45409	fem	pātabyatā 1	√pat 1	√pat	downfall; destruction; ruin	вырубка; разрушение; разорение	побуждение упасть				
45411	pr	pātayati	√pat 1	√pat	sheds; drops			роняет, сбрасывает			
45418	pr	pātāpeti	√pat 1	√pat	makes fall; causes to drop			заставляет падать; заставляет упасть			
45419	masc	pātāla	√pat 1	√pat	abyss; chasm			пропасть; бездна			
45426	pp	pātita	√pat 1	√pat	dropped; felled; slain; killed; lit. caused to fall	сброшенный; поваленный; уничтоженный	побужденный упасть				
45439	adj	pātī	√pat 1	√pat	throwing; shooting; lit. causing to fall	бросающий; стреляющий	кто заставляет падать				
45464	ptp	pātetabba	√pat 1	√pat	should cause to fall; lit. to cause to be fallen			должен вызвать падение; досл. должен быть сброшен			
45465	pr	pāteti 1	√pat 1	√pat	chops off; lit. causes to fall	отрубает	вызывает падение				
45466	pr	pāteti 2	√pat 1	√pat	shoots; lit. causes to fall			сбивает; досл. заставляет упасть			
45467	pr	pāteti 3	√pat 1	√pat	causes to fall; makes drop	падает; бросает	позволяет упасть				
45472	prp	pātenta	√pat 1	√pat	dropping down; falling; lit. causing to fall			сбрасывающий; падающий; досл. заставляющий падать			
45473	aor	pātesi 1	√pat 1	√pat	dropped; threw down; lit. caused to fall			упустил; бросил; досл. заставил упасть			
74243	aor	apatāsi	√pat 1	√pat	fell; fell into			упал; провалился			
75786	fem	pātabyatā 2	√pat 1	√pat	immoral indulgence; wrong practice			аморальное потворство; неправильная практика			
77555	masc	pāta 4	√pat 1	√pat	attack; onslaught; litigation; prosecution; lit. fall			атака; натиск; судебный процесс; судебное преследование; досл. падение			
77737	pp	patta 4.1	√pat 1	√pat	fallen; dropped; slumped			упавший, брошенный, обрушившийся			
74551	masc	āpāta	√pat 1	ā √pat	falling in; flying in			падение; налет			
68181	nt	vinipatitatta	√pat 1	vi ni √pat	fact of having fallen badly (from)			факт того, что плохо упал (с)			
68182	masc	vinipāta	√pat 1	vi ni √pat	state of suffering; purgatory; underworld; lit. bad fall	состояние страдания; чистилище; преисподняя	плохое падение				
68185	masc	vinipātika	√pat 1	vi ni √pat	purgatory being; lower worldly being			существо чистилища; низший мирской обитатель			
69850	pr	vītipatati	√pat 1	vi ati √pat	goes up and down; fans	поднимается и опускается; размахивает; колеблется вверх и вниз					
15892	masc	upapāta	√pat 1	upa √pat	rebirth; re-arising; reappearance	возрождение; повторное появление					
18691	adj	opapātika 1	√pat 1	upa √pat	spontaneously reborn; spontaneously generated	возникший без причины; появившийся самопроизвольно					
18692	masc	opapātika 2	√pat 1	upa √pat	spontaneously reborn being			существо, перерождённое спонтанно			
16533	ger	uppacca	√pat 1	ud √pat	jumping up; flying up			подпрыгивая; взлетая			
16573	pr	uppatati 1	√pat 1	ud √pat	flies up; lit. falls up			взлетает; досл. поднимается вверх			
16576	prp	uppatanta	√pat 1	ud √pat	rising up; emerging; growing; lit. falling up			восходящий; возникающий; растущий; досл. падающий вверх			
16579	pp	uppatita 1	√pat 1	ud √pat	sprung up; jumped up; flared up; lit. fallen up			вспыхнувший; поднявшийся; вспрыгнувший; досл. поднявшийся			
16580	pp	uppatita 2	√pat 1	ud √pat	occurred; happened; arisen; lit. fallen up	случившийся; произошедший; возникший	упавший вверх				
16581	inf	uppatituṃ	√pat 1	ud √pat	to fly up; lit. to fall up			взлетать; досл. падать вверх			
16582	abs	uppatitvā 1	√pat 1	ud √pat	having flown up; lit. having fallen up			взлетев; досл. упав вверх			
16583	abs	uppatitvā 2	√pat 1	ud √pat	having jumped up; lit. having fallen up			подпрыгнув; досл. упав вверх			
16650	masc	uppāta 1	√pat 1	ud √pat	sudden events; comets; meteors; disasters; lit. flying up	внезапные события; кометы; метеоры; бедствия					
16654	masc	uppāda 2.1	√pat 1	ud √pat	sudden event; strange occurrence; comet; meteor; disaster; lit. fall up			внезапное событие; странное явление; комета; метеор; катастрофа; досл. падение вверх			
60253	pr	sampatati	√pat 1	saṃ √pat	flees; flies; lit. falls together			убегает; летает; досл. вместе падает			
60433	masc	sampāta 1	√pat 1	saṃ √pat	flight; flying; lit. falling together			полёт; летание; досл. совместное падение			
61616	pr	saṃpatati	√pat 1	saṃ √pat	flees; flies; lit. falls together			убегает; летит; досл. падает вместе			
61622	masc	saṃpāta	√pat 1	saṃ √pat	flight; flying; lit. falling together			полёт; летание; досл. совместное падение			
9462	masc	asannipāta	√pat 1	saṃ ni √pat	non-assembly; non-congregation; not meeting; lit. not falling down together			несобрание; несообщение; невстреча; досл. непадение вместе			
58538	masc	sannipata	√pat 1	saṃ ni √pat	assembly; congregation; gathering; lit. fallen down together	собрание; встреча	падение вместе				
58539	pr	sannipatati	√pat 1	saṃ ni √pat	gathers together; assembles; throngs; lit. falls down together	собирается	падает вместе				
58541	prp	sannipatanta	√pat 1	saṃ ni √pat	gathering together; assembling; lit. falling down together			собирающиеся вместе; собирающиеся; досл. падающие вместе			
58542	aor	sannipati	√pat 1	saṃ ni √pat	gathered together; assembled; lit. fell down together	собрались вместе					
58543	pp	sannipatita 1	√pat 1	saṃ ni √pat	gathered together; assembled; lit. fallen down together	собранный вместе; созванный	упали вместе				
58544	pp	sannipatita 2	√pat 1	saṃ ni √pat	come together (sexually); lit. fallen down together			соединившийся (сексуально); досл. упавший вместе			
58545	ptp	sannipatitabba	√pat 1	saṃ ni √pat	should be gathered together; should be assembled; lit. to be fallen down together			следует собрать вместе; следует собрать; досл. должны быть собраны вместе			
58546	abs	sannipatitvā	√pat 1	saṃ ni √pat	having gathered together; having assembled; having met; lit. having fallen down together	собравшись вместе; встретившись					
58547	masc	sannipāta 1	√pat 1	saṃ ni √pat	assembly; congregation; gathering; lit. falling down together	собрание; скопление; встреча	падение вместе				
58548	masc	sannipāta 2	√pat 1	saṃ ni √pat	arrangement; organisation; lit. falling down together	расположение; порядок	падение вместе				
58549	masc	sannipāta 3	√pat 1	saṃ ni √pat	connection; combination; gathering; lit. falling down together	соединение; сочетание; собрание	падение вместе				
58550	masc	sannipāta 4	√pat 1	saṃ ni √pat	illness produced by combination of the three humours; lit. falling down together			болезнь, вызванная сочетанием трех гуморов; досл. падение вместе			
58551	masc	sannipāta 5	√pat 1	saṃ ni √pat	concurrence; union; lit. falling down together			совпадение; союз; досл. падение вместе			
58555	abs	sannipātāpetvā	√pat 1	saṃ ni √pat	having gathered together; having assembled; having convoked; lit. having caused to fall down together			собрав вместе; собрав; созвав; досл. заставив собраться вместе			
58556	adj	sannipātika	√pat 1	saṃ ni √pat	resulting from combination of the three humours; lit. related to falling down together	в результате сочетания трех физических типов	связанный с падением вместе				
58557	pp	sannipātita	√pat 1	saṃ ni √pat	assembled; gathered together; lit. caused to fall down together			собранный; собранный вместе; досл. заставленный упасть вместе			
58558	pr	sannipāteti	√pat 1	saṃ ni √pat	unites; assembles; convokes; makes gather together; lit. causes to fall down together			объединяет; собирает; созывает; заставляет собраться вместе; досл. заставляет упасть вместе			
58559	abs	sannipātetvā	√pat 1	saṃ ni √pat	having gathered together; having assembled; having convoked; lit. having caused to fall down together			собрав, созвав, скомпоновав; досл. объединив			
43620	pr	paripatati 1	√pat 1	pari √pat	falls apart; collapses; gets ruined			распадается; рушится; приходит в упадок			
43622	aor	paripati 1	√pat 1	pari √pat	fell down; tumbled down; fell to the ground			упал; скатился; упал на землю			
43649	prp	paripātiyamāna	√pat 1	pari √pat	being attacked (by); being assaulted (by); being afflicted (with)			атакуемый, подвергаемый нападению, страдающий			
74550	masc	paripāta	√pat 1	pari √pat	falling around; flying around			падение вокруг; кружение вокруг			
6235	pp	apapatita	√pat 1	pa √pat	not fallen away (from); not strayed (from)			не отпавший (от); не заблудившийся (от)			
6938	pp	appapatita	√pat 1	pa √pat	not fallen away (from); not strayed (from)			не отпавший (от); не сбившийся (с)			
35740	pr	nappapatati	√pat 1	pa √pat	does not fall down; does not fall off; does not fall (into)	не падает; не сваливается					
42404	pr	papatati 1	√pat 1	pa √pat	falls (from); falls away (from); falls off	падает; отпадает (от)					
42405	pr	papatati 2	√pat 1	pa √pat	falls down; falls forward; falls off; falls (into)	падает (в); проваливается (в)					
42407	prp	papatanta	√pat 1	pa √pat	falling (into); falling down (into)			падающий (в); падающий вниз (в)			
42408	fem	papatā	√pat 1	pa √pat	harpoon with a rope; barbed spike with a cord attached			гарпун с верёвкой; шип с шнуром			
42409	aor	papati	√pat 1	pa √pat	fell; fell down			упал; свалился			
42410	pp	papatita 1	√pat 1	pa √pat	fallen away (from); strayed (from)			отступивший; заблудившийся			
42418	masc	papāta	√pat 1	pa √pat	cliff; precipice; steep drop	пропасть; крутой обрыв					
41559	masc	paṇipāta	√pat 1	pa ni √pat	deep bow; prostration; falling at the feet; humble submission; lit. fall down forward			глубокий поклон; прострация; падение к ногам; смиренное подчинение; досл. падение вперед			
76443	aor	paṇipati	√pat 1	pa ni √pat	fell forward in reverence; prostrated oneself; bowed at the feet; lit. fell down forward			упал вперед в почтении; поклонился; склонился к ногам; досл. упал вперед			
37415	abs	nippatitvā	√pat 1	nī √pat	having flown out; having fallen to the side			вылетев; упав в сторону			
37433	aor	nippātesi	√pat 1	nī √pat	caused to rush out; lit. caused to fly away			заставил выбежать; досл. заставил улететь			
37360	ger	nipacca	√pat 1	ni √pat	falling down (at); bowing down (at)			падая, кланяясь			
37378	pr	nipatati 1	√pat 1	ni √pat	drops; falls; lands	падает; приземляется; опускается					
37379	prp	nipatanta	√pat 1	ni √pat	falling down; descending; dropping			падающий; нисходящий; опускающийся			
37380	aor	nipati	√pat 1	ni √pat	fell down; tumbled down; collapsed (onto)			упал; рухнул; развалился (на)			
37382	abs	nipatitvā	√pat 1	ni √pat	having fallen down (at); having gone down (at)	упав; опустившись					
37387	masc	nipāta 1	√pat 1	ni √pat	fall; descent; drop	падение; спуск					
37388	masc	nipāta 4	√pat 1	ni √pat	(gram) indeclinable particle; lit. falling down; something irregular			(грам) несклоняемая частица; досл. падение; что-то нерегулярное			
37389	adj	nipāta 2	√pat 1	ni √pat	falling; descending; dropping			падающий; нисходящий; падающий			
37396	adj	nipātī 1	√pat 1	ni √pat	falling; landing; alighting; lit. falling down	падающий; спускающийся; прыгающий					
37397	adj	nipātī 2	√pat 1	ni √pat	going to bed; going to sleep; (comm) sitting down	который ложится спать	падающий				
