Pali Word;Source ID;Pali Sentence;English Translation
veḷutaruṇāni;pli-tv-kd5:7.3.4;Tāni veḷutaruṇāni chinnāni milāyanti. ;The bamboo withered. 
veḷupattapādukā;pli-tv-kd5:7.3.12;na, bhikkhave, veḷupattapādukā dhāretabbā. ;You shouldn’t wear shoes made of bamboo leaves. 
pādukamaṇḍanānuyogamanuyuttā;pli-tv-kd5:8.1.4;Tena kho pana samayena bhaddiyā bhikkhū anekavihitaṃ pādukamaṇḍanānuyogamanuyuttā viharanti, tiṇapādukaṃ karontipi kārāpentipi, muñjapādukaṃ karontipi kārāpentipi, pabbajapādukaṃ karontipi kārāpentipi, hintālapādukaṃ karontipi kārāpentipi, kamalapādukaṃ karontipi kārāpentipi, kambalapādukaṃ karontipi kārāpentipi, riñcanti uddesaṃ paripucchaṃ adhisīlaṃ adhicittaṃ adhipaññaṃ. ;At that time the monks in Bhaddiya were fond of various kinds of nice shoes. They made shoes of grass, reed, fishtail-palm leaves, and wool, and they had them made. As a consequence, they neglected recitation, questioning, the higher morality, the higher mind, and the higher wisdom. 
tiṇapādukaṃ;pli-tv-kd5:8.1.4;Tena kho pana samayena bhaddiyā bhikkhū anekavihitaṃ pādukamaṇḍanānuyogamanuyuttā viharanti, tiṇapādukaṃ karontipi kārāpentipi, muñjapādukaṃ karontipi kārāpentipi, pabbajapādukaṃ karontipi kārāpentipi, hintālapādukaṃ karontipi kārāpentipi, kamalapādukaṃ karontipi kārāpentipi, kambalapādukaṃ karontipi kārāpentipi, riñcanti uddesaṃ paripucchaṃ adhisīlaṃ adhicittaṃ adhipaññaṃ. ;At that time the monks in Bhaddiya were fond of various kinds of nice shoes. They made shoes of grass, reed, fishtail-palm leaves, and wool, and they had them made. As a consequence, they neglected recitation, questioning, the higher morality, the higher mind, and the higher wisdom. 
muñjapādukaṃ;pli-tv-kd5:8.1.4;Tena kho pana samayena bhaddiyā bhikkhū anekavihitaṃ pādukamaṇḍanānuyogamanuyuttā viharanti, tiṇapādukaṃ karontipi kārāpentipi, muñjapādukaṃ karontipi kārāpentipi, pabbajapādukaṃ karontipi kārāpentipi, hintālapādukaṃ karontipi kārāpentipi, kamalapādukaṃ karontipi kārāpentipi, kambalapādukaṃ karontipi kārāpentipi, riñcanti uddesaṃ paripucchaṃ adhisīlaṃ adhicittaṃ adhipaññaṃ. ;At that time the monks in Bhaddiya were fond of various kinds of nice shoes. They made shoes of grass, reed, fishtail-palm leaves, and wool, and they had them made. As a consequence, they neglected recitation, questioning, the higher morality, the higher mind, and the higher wisdom. 
pabbajapādukaṃ;pli-tv-kd5:8.1.4;Tena kho pana samayena bhaddiyā bhikkhū anekavihitaṃ pādukamaṇḍanānuyogamanuyuttā viharanti, tiṇapādukaṃ karontipi kārāpentipi, muñjapādukaṃ karontipi kārāpentipi, pabbajapādukaṃ karontipi kārāpentipi, hintālapādukaṃ karontipi kārāpentipi, kamalapādukaṃ karontipi kārāpentipi, kambalapādukaṃ karontipi kārāpentipi, riñcanti uddesaṃ paripucchaṃ adhisīlaṃ adhicittaṃ adhipaññaṃ. ;At that time the monks in Bhaddiya were fond of various kinds of nice shoes. They made shoes of grass, reed, fishtail-palm leaves, and wool, and they had them made. As a consequence, they neglected recitation, questioning, the higher morality, the higher mind, and the higher wisdom. 
hintālapādukaṃ;pli-tv-kd5:8.1.4;Tena kho pana samayena bhaddiyā bhikkhū anekavihitaṃ pādukamaṇḍanānuyogamanuyuttā viharanti, tiṇapādukaṃ karontipi kārāpentipi, muñjapādukaṃ karontipi kārāpentipi, pabbajapādukaṃ karontipi kārāpentipi, hintālapādukaṃ karontipi kārāpentipi, kamalapādukaṃ karontipi kārāpentipi, kambalapādukaṃ karontipi kārāpentipi, riñcanti uddesaṃ paripucchaṃ adhisīlaṃ adhicittaṃ adhipaññaṃ. ;At that time the monks in Bhaddiya were fond of various kinds of nice shoes. They made shoes of grass, reed, fishtail-palm leaves, and wool, and they had them made. As a consequence, they neglected recitation, questioning, the higher morality, the higher mind, and the higher wisdom. 
kambalapādukaṃ;pli-tv-kd5:8.1.4;Tena kho pana samayena bhaddiyā bhikkhū anekavihitaṃ pādukamaṇḍanānuyogamanuyuttā viharanti, tiṇapādukaṃ karontipi kārāpentipi, muñjapādukaṃ karontipi kārāpentipi, pabbajapādukaṃ karontipi kārāpentipi, hintālapādukaṃ karontipi kārāpentipi, kamalapādukaṃ karontipi kārāpentipi, kambalapādukaṃ karontipi kārāpentipi, riñcanti uddesaṃ paripucchaṃ adhisīlaṃ adhicittaṃ adhipaññaṃ. ;At that time the monks in Bhaddiya were fond of various kinds of nice shoes. They made shoes of grass, reed, fishtail-palm leaves, and wool, and they had them made. As a consequence, they neglected recitation, questioning, the higher morality, the higher mind, and the higher wisdom. 
tiṇapādukā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
muñjapādukā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
pabbajapādukā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
hintālapādukā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
kambalapādukā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
kaṃsamayā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
tipumayā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
sīsamayā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
tambalohamayā;pli-tv-kd5:8.3.4;na, bhikkhave, tiṇapādukā dhāretabbā, na muñjapādukā dhāretabbā, na pabbajapādukā dhāretabbā, na hintālapādukā dhāretabbā, na kamalapādukā dhāretabbā, na kambalapādukā dhāretabbā, na sovaṇṇamayā pādukā dhāretabbā, na rūpiyamayā pādukā dhāretabbā, na maṇimayā pādukā dhāretabbā, na veḷuriyamayā pādukā dhāretabbā, na phalikamayā pādukā dhāretabbā, na kaṃsamayā pādukā dhāretabbā, na kācamayā pādukā dhāretabbā, na tipumayā pādukā dhāretabbā, na sīsamayā pādukā dhāretabbā, na tambalohamayā pādukā dhāretabbā. ;"You shouldn’t wear shoes made of grass, reed, fishtail-palm leaves, or wool; or shoes made with gold, silver, gems, beryl, crystal, bronze, glass, tin, lead, or copper. "
saṅkamaniyā;pli-tv-kd5:8.3.6;Na ca, bhikkhave, kāci saṅkamaniyā pādukā dhāretabbā. ;And you shouldn’t use shoes. 
asaṅkamaniyāyo;pli-tv-kd5:8.3.8;Anujānāmi, bhikkhave, tisso pādukā dhuvaṭṭhāniyā asaṅkamaniyāyo—;I allow three kinds of foot stands that are fixed in place and immobile: 
vaccapādukaṃ;pli-tv-kd5:8.3.9;vaccapādukaṃ, passāvapādukaṃ, ācamanapādukanti. ;foot stands for defecating, foot stands for urinating, and foot stands for restroom ablutions. 
passāvapādukaṃ;pli-tv-kd5:8.3.9;vaccapādukaṃ, passāvapādukaṃ, ācamanapādukanti. ;foot stands for defecating, foot stands for urinating, and foot stands for restroom ablutions. 
chupitabbaṃ;pli-tv-kd5:9.3.6;Na ca, bhikkhave, rattacittena aṅgajātaṃ chupitabbaṃ. ;And you shouldn’t touch their genitals motivated by lust. 
gaṅgāmahiyāyāti;pli-tv-kd20:21.1.4;seyyathāpi gaṅgāmahiyāyāti. ;You’d think they were at the Ganges festival! 
yāyitabbaṃ;pli-tv-kd20:21.1.6;Na, bhikkhave, bhikkhuniyā yānena yāyitabbaṃ. ;A nun shouldn’t travel in a vehicle. 
gilānomhīti;pli-tv-kd5:10.2.2;Nāhaṃ, āvuso, sakkomi, gilānomhīti. ;I can’t. I’m sick. 
nābhiruhi;pli-tv-kd5:10.2.4;Alaṃ, āvuso, paṭikkhittaṃ bhagavatā yānanti kukkuccāyanto yānaṃ nābhiruhi. ;Thank you, but the Buddha has prohibited us from traveling in vehicles. 
yānugghātena;pli-tv-kd20:21.1.15;Tena kho pana samayena aññatarissā bhikkhuniyā yānugghātena bāḷhataraṃ aphāsu ahosi. ;Soon afterwards a certain nun was even more uncomfortable when jolted around in a vehicle. 
uddhalomiṃ;pli-tv-kd5:10.4.2;āsandiṃ, pallaṅkaṃ, gonakaṃ, cittakaṃ, paṭikaṃ, paṭalikaṃ, tūlikaṃ, vikatikaṃ, uddhalomiṃ, ekantalomiṃ, kaṭṭissaṃ, koseyyaṃ, kuttakaṃ, hatthattharaṃ, assattharaṃ, rathattharaṃ, ajinapaveṇiṃ, kadalimigapavarapaccattharaṇaṃ, sauttaracchadaṃ, ubhatolohitakūpadhānanti. ;high couches, luxurious couches, long-fleeced woolen rugs, multi-colored woolen rugs, white woolen rugs, red woolen rugs, cotton-down quilts, woolen rugs decorated with the images of predatory animals, woolen rugs with long fleece on one side, woolen rugs with long fleece on both sides, sheets of silk embroidered with gems, silken sheets, woolen rugs like a dancer’s rug, elephant-back rugs, horse-back rugs, carriage-seat rugs, rugs made of black antelope hide, exquisite sheets made of <i lang='pi' translate='no'>kadalī</i>-deer hide, seats with canopies, seats with red cushions at each end. 
undalomiṃ;pli-tv-kd5:10.4.2;āsandiṃ, pallaṅkaṃ, gonakaṃ, cittakaṃ, paṭikaṃ, paṭalikaṃ, tūlikaṃ, vikatikaṃ, uddhalomiṃ, ekantalomiṃ, kaṭṭissaṃ, koseyyaṃ, kuttakaṃ, hatthattharaṃ, assattharaṃ, rathattharaṃ, ajinapaveṇiṃ, kadalimigapavarapaccattharaṇaṃ, sauttaracchadaṃ, ubhatolohitakūpadhānanti. ;high couches, luxurious couches, long-fleeced woolen rugs, multi-colored woolen rugs, white woolen rugs, red woolen rugs, cotton-down quilts, woolen rugs decorated with the images of predatory animals, woolen rugs with long fleece on one side, woolen rugs with long fleece on both sides, sheets of silk embroidered with gems, silken sheets, woolen rugs like a dancer’s rug, elephant-back rugs, horse-back rugs, carriage-seat rugs, rugs made of black antelope hide, exquisite sheets made of <i lang='pi' translate='no'>kadalī</i>-deer hide, seats with canopies, seats with red cushions at each end. 
uddhalomi;pli-tv-kd5:10.5.2;āsandi, pallaṅko, gonako, cittako, paṭikā, paṭalikā, tūlikā, vikatikā, uddhalomi, ekantalomi, kaṭṭissaṃ, koseyyaṃ, kuttakaṃ, hatthattharaṃ, assattharaṃ, rathattharaṃ, ajinapaveṇi, kadalimigapavarapaccattharaṇaṃ, sauttaracchadaṃ, ubhatolohitakūpadhānaṃ. ;high couches, luxurious couches, long-fleeced woolen rugs, multi-colored woolen rugs, white woolen rugs, red woolen rugs, cotton-down quilts, woolen rugs decorated with the images of predatory animals, woolen rugs with long fleece on one side, woolen rugs with long fleece on both sides, sheets of silk embroidered with gems, silken sheets, woolen rugs like a dancer’s rug, elephant-back rugs, horse-back rugs, carriage-seat rugs, rugs made of black antelope hide, exquisite sheets made of <i lang='pi' translate='no'>kadalī</i>-deer hide, seats with canopies, seats with red cushions at each end. 
mahācammāni;pli-tv-kd5:10.6.3;mahācammāni dhārenti, sīhacammaṃ byagghacammaṃ dīpicammaṃ. ;they used luxurious skins: lionskins, tiger skins, and leopard skins. 
byagghacammaṃ;pli-tv-kd5:10.6.3;mahācammāni dhārenti, sīhacammaṃ byagghacammaṃ dīpicammaṃ. ;they used luxurious skins: lionskins, tiger skins, and leopard skins. 
dīpicammaṃ;pli-tv-kd5:10.6.3;mahācammāni dhārenti, sīhacammaṃ byagghacammaṃ dīpicammaṃ. ;they used luxurious skins: lionskins, tiger skins, and leopard skins. 
mañcappamāṇenapi;pli-tv-kd5:10.6.4;Tāni mañcappamāṇenapi chinnāni honti, pīṭhappamāṇenapi chinnāni honti, antopi mañce paññattāni honti, bahipi mañce paññattāni honti, antopi pīṭhe paññattāni honti, bahipi pīṭhe paññattāni honti. ;They cut them to fit their beds and benches, and used them both there and elsewhere. 
pīṭhappamāṇenapi;pli-tv-kd5:10.6.4;Tāni mañcappamāṇenapi chinnāni honti, pīṭhappamāṇenapi chinnāni honti, antopi mañce paññattāni honti, bahipi mañce paññattāni honti, antopi pīṭhe paññattāni honti, bahipi pīṭhe paññattāni honti. ;They cut them to fit their beds and benches, and used them both there and elsewhere. 
gocammāni;pli-tv-kd5:10.7.3;gocammāni dhārenti. ;they used cattle hides. 
pāpupāsakassa;pli-tv-kd5:10.7.5;Aññataropi pāpabhikkhu aññatarassa pāpupāsakassa kulūpako hoti. ;At this time a certain bad monk was associating with the family of a bad lay follower. 
pāpupāsako;pli-tv-kd5:10.7.7;Atha kho so pāpupāsako yena so pāpabhikkhu tenupasaṅkami, upasaṅkamitvā taṃ pāpabhikkhuṃ abhivādetvā ekamantaṃ nisīdi. ;The lay follower approached the monk, bowed, and sat down. 
dīpicchāpo;pli-tv-kd5:10.8.1;Tena kho pana samayena tassa pāpupāsakassa vacchako hoti taruṇako abhirūpo dassanīyo pāsādiko citro, seyyathāpi dīpicchāpo. ;At that time that lay follower had a beautiful young calf with variegated hide, just like a young leopard. 
gocammaṃ;pli-tv-kd5:10.10.9;Na, bhikkhave, gocammaṃ dhāretabbaṃ. ;And you shouldn’t use cattle hide. 
gihivikatānuññātādi;pli-tv-kd5:11.1.0;10. Gihivikatānuññātādi ;10. The allowance regarding the belongings of a householder, etc. 
cammonaddhāni;pli-tv-kd5:11.1.1;Tena kho pana samayena manussānaṃ mañcampi pīṭhampi cammonaddhāni honti, cammavinaddhāni. ;At that time people’s beds and benches were upholstered and covered with skin. 
nābhinisīdanti;pli-tv-kd5:11.1.2;Bhikkhū kukkuccāyantā nābhinisīdanti. ;Being afraid of wrongdoing, the monks did not sit on them. 
cammavaddhehi;pli-tv-kd5:11.1.5;Tena kho pana samayena vihārā cammavaddhehi ogumphiyanti. ;The dwellings were held together by straps of leather. 
ogumbhiyanti;pli-tv-kd5:11.1.5;Tena kho pana samayena vihārā cammavaddhehi ogumphiyanti. ;The dwellings were held together by straps of leather. 
soṇakuṭikaṇṇavatthu;pli-tv-kd5:13.1.0;11. Soṇakuṭikaṇṇavatthu ;11. The account of Soṇa Kuṭikaṇṇa 
papatake;pli-tv-kd5:13.1.1;Tena kho pana samayena āyasmā mahākaccāno avantīsu viharati kuraraghare papatake pabbate. ;At one time Venerable Mahākaccāna was staying in Avantī on Papataka Hill at Kuraraghara. 
uttamadamathasamathaṃ;pli-tv-kd5:13.5.1;Dakkhissasi tvaṃ, soṇa, taṃ bhagavantaṃ pāsādikaṃ pasādanīyaṃ santindriyaṃ santamānasaṃ uttamadamathasamathaṃ anuppattaṃ dantaṃ guttaṃ yatindriyaṃ nāgaṃ. ;"You will see someone who is pleasing to the eye and inspiring confidence; who is peaceful in mind and faculties; who is attained to the supreme subduing and calm; who is tamed, guarded, and restrained in his senses—a great being. "
dhuvanahānaṃ;pli-tv-kd5:13.6.4;appeva nāma bhagavā avantidakkhiṇāpathe dhuvanahānaṃ anujāneyya. ;Would the Buddha allow unrestricted bathing in Avantī? 
ajacammaṃ;pli-tv-kd5:13.6.5;Avantidakkhiṇāpathe, bhante, cammāni attharaṇāni, eḷakacammaṃ ajacammaṃ migacammaṃ. ;In Avantī sheepskins, goatskins, and deerskins are used as rugs, 
migacammaṃ;pli-tv-kd5:13.6.5;Avantidakkhiṇāpathe, bhante, cammāni attharaṇāni, eḷakacammaṃ ajacammaṃ migacammaṃ. ;In Avantī sheepskins, goatskins, and deerskins are used as rugs, 
moragū;pli-tv-kd5:13.6.6;"Seyyathāpi, bhante, majjhimesu janapadesu eragū moragū majjārū jantū; ";just as <i lang='pi' translate='no'>eragu</i> grass, chaff-flower grass, <i lang='pi' translate='no'>majjāru</i> grass, and <i lang='pi' translate='no'>jantu</i> grass are used in the central Ganges plain. 
majjārū;pli-tv-kd5:13.6.6;"Seyyathāpi, bhante, majjhimesu janapadesu eragū moragū majjārū jantū; ";just as <i lang='pi' translate='no'>eragu</i> grass, chaff-flower grass, <i lang='pi' translate='no'>majjāru</i> grass, and <i lang='pi' translate='no'>jantu</i> grass are used in the central Ganges plain. 
majjhārū;pli-tv-kd5:13.6.6;"Seyyathāpi, bhante, majjhimesu janapadesu eragū moragū majjārū jantū; ";just as <i lang='pi' translate='no'>eragu</i> grass, chaff-flower grass, <i lang='pi' translate='no'>majjāru</i> grass, and <i lang='pi' translate='no'>jantu</i> grass are used in the central Ganges plain. 
nissīmagatānaṃ;pli-tv-kd5:13.7.1;Etarahi, bhante, manussā nissīmagatānaṃ bhikkhūnaṃ cīvaraṃ denti—;At present people give robe-cloth to monks who are outside the monastery zone, saying, 
paridassīti;pli-tv-kd5:13.11.2;paṭisammodati kho maṃ bhagavā, ayaṃ khvassa kālo yaṃ me upajjhāyo paridassīti—;The Buddha approves of me! This is the time to bring up what my preceptor said. 
vinayadharapañcamena;pli-tv-kd5:13.11.22;Anujānāmi, bhikkhave, sabbapaccantimesu janapadesu vinayadharapañcamena gaṇena upasampadaṃ. ;Outside the central Ganges plain, I allow the full ordination to be given by a group of five, including one expert on the Monastic Law. 
puratthimadakkhiṇāya;pli-tv-kd5:13.12.3;"puratthimadakkhiṇāya disāya sallavatī nāma nadī, tato parā paccantimā janapadā, orato majjhe; ";In the south-eastern direction there is a river called <i lang='pi' translate='no'>Sallavatī</i>. Beyond it is outside the central Ganges plain. On the near side of it is the central Ganges plain. 
sallavatī;pli-tv-kd5:13.12.3;"puratthimadakkhiṇāya disāya sallavatī nāma nadī, tato parā paccantimā janapadā, orato majjhe; ";In the south-eastern direction there is a river called <i lang='pi' translate='no'>Sallavatī</i>. Beyond it is outside the central Ganges plain. On the near side of it is the central Ganges plain. 
salalavatī;pli-tv-kd5:13.12.3;"puratthimadakkhiṇāya disāya sallavatī nāma nadī, tato parā paccantimā janapadā, orato majjhe; ";In the south-eastern direction there is a river called <i lang='pi' translate='no'>Sallavatī</i>. Beyond it is outside the central Ganges plain. On the near side of it is the central Ganges plain. 
setakaṇṇikaṃ;pli-tv-kd5:13.12.4;"dakkhiṇāya disāya setakaṇṇikaṃ nāma nigamo, tato parā paccantimā janapadā, orato majjhe; ";In the southern direction there is a town called <i lang='pi' translate='no'>Setakaṇṇika</i>. Beyond it is outside the central Ganges plain. On the near side of it is the central Ganges plain. 
usīraddhajo;pli-tv-kd5:13.12.6;uttarāya disāya usīraddhajo nāma pabbato, tato parā paccantimā janapadā, orato majjhe. ;In the northern direction there is a mountain called <i lang='pi' translate='no'>Usīraddhaja</i>. Beyond it is outside the central Ganges plain. On the near side of it is the central Ganges plain. 
gaṇanūpagaṃ;pli-tv-kd5:13.13.11;Anujānāmi, bhikkhave, sādituṃ, na tāva taṃ gaṇanūpagaṃ yāva na hatthaṃ gacchatīti. ;I allow you to accept it and not start counting the days until you receive it in your hands. 
asītisahassissaro;pli-tv-kd5:13.13.15;"asītisahassissaro; ";"Eighty thousand chiefs; "
pabbajjāraddhabhijjiṃsu;pli-tv-kd5:13.13.18;Pabbajjāraddhabhijjiṃsu, ;Going forth, energetic, they cracked, 
mahāraṅgamahānāmā;pli-tv-kd5:13.13.22;Mahāraṅgamahānāmā, ;Orange, beige, 
vaddhikā;pli-tv-kd5:13.13.23;"vaddhikā ca paṭikkhipi; ";"And he prohibited straps; "
puṭapāli;pli-tv-kd5:13.13.24;Khallakā puṭapāli ca, ;Leather, and enclosing, covering, 
tūlatittirameṇḍajā;pli-tv-kd5:13.13.25;tūlatittirameṇḍajā. ;Cotton, partridge, ram, goat. 
moracitrā;pli-tv-kd5:13.13.26;Vicchikā moracitrā ca, ;Scorpion, peacock, and various, 
ajinuddā;pli-tv-kd5:13.13.28;Ajinuddā majjārī ca, ;Deer, otter, and cat, 
kāḷaluvakaparikkhaṭā;pli-tv-kd5:13.13.29;kāḷaluvakaparikkhaṭā. ;Squirrel, bat, decorated. 
phalitupāhanā;pli-tv-kd5:13.13.30;Phalitupāhanā khilā, ;Cracked, sandals, corn, 
dhotakhāṇukhaṭakhaṭā;pli-tv-kd5:13.13.31;"dhotakhāṇukhaṭakhaṭā; ";"Washed, stumps, clacking; "
tālaveḷutiṇaṃ;pli-tv-kd5:13.13.32;Tālaveḷutiṇaṃ ceva, ;Palm, bamboo, and just grass, 
muñjapabbajahintālā;pli-tv-kd5:13.13.33;muñjapabbajahintālā. ;Reed, fish-tail palm. 
kamalakambalasovaṇṇā;pli-tv-kd5:13.13.34;Kamalakambalasovaṇṇā, ;Grass, wool, gold, 
rūpikā;pli-tv-kd5:13.13.35;"rūpikā maṇiveḷuriyā; ";"Silver, gems, beryl; "
maṇiveḷuriyā;pli-tv-kd5:13.13.35;"rūpikā maṇiveḷuriyā; ";"Silver, gems, beryl; "
kaṃsakācā;pli-tv-kd5:13.13.36;Phalikā kaṃsakācā ca, ;Crystal, bronze, and glass, 
tipusīsañca;pli-tv-kd5:13.13.37;tipusīsañca tambakā. ;Tin, and lead, copper. 
purisāyuttasivikā;pli-tv-kd5:13.13.39;"purisāyuttasivikā; ";"Pulled by men, palanquin; "
mahācammā;pli-tv-kd5:13.13.40;Sayanāni mahācammā, ;Beds, luxurious skins, 
gocammehi;pli-tv-kd5:13.13.41;gocammehi ca pāpako. ;And the bad one with a cattle hide. 
gilāyano;pli-tv-kd5:13.13.43;"pavisanti gilāyano; ";"They enter, being sick; "
guṇaṅguṇā;pli-tv-kd5:13.13.47;"guṇaṅguṇā dhuvasinā; ";"Multi-layered, unrestricted bathing; "
dhuvasinā;pli-tv-kd5:13.13.47;"guṇaṅguṇā dhuvasinā; ";"Multi-layered, unrestricted bathing; "
cammattharaṇānuññāsi;pli-tv-kd5:13.13.48;Cammattharaṇānuññāsi, ;He allowed rugs made of skin, 
soṇattherassa;pli-tv-kd5:13.13.51;soṇattherassa nāyakoti. ;For Soṇa, the senior monk. 
bhesajjakkhandhako;pli-tv-kd6:40.3.7;Bhesajjakkhandhako chaṭṭho. ;The sixth chapter on medicines is finished. 
pañcabhesajjakathā;pli-tv-kd6:0.4;1. Pañcabhesajjakathā ;1. Discussion of the five tonics 
