id	field1	value1	field2	value2	field3	value3	comment	feedback	approved	checked	deva_comment
29904	source_1	SN 35.118	sutta_1	sakkapañhasuttaṃ	example_1	tañ'ce bhikkhu abhinandati abhivadati ajjhosāya tiṭṭhati. tassa taṃ abhinandato abhivadato ajjhosāya tiṭṭhato <b>tan'nissitaṃ</b> viññāṇaṃ hoti tadupādānaṃ.	missing		yes		
55271	source_1	SN 35.136	sutta_1	paṭhamarūpārāmasuttaṃ	example_1	rūp'ārāmā, bhikkhave, devamanussā rūparatā rūpasammuditā. <b>rūpavipariṇāmavirāganirodhā</b> dukkhā, bhikkhave, devamanussā viharanti. sadd'ārāmā, bhikkhave, devamanussā saddaratā saddasammuditā.	missing		yes		
55271	sanskrit	rūpa + vipariṇāma + virāga + nirodha					missing		yes		
55271	commentary	-					missing		yes		
34920	source_1	SN 35.136	sutta_1	paṭhamarūpārāmasuttaṃ	example_1	<b>dhammavipariṇāmavirāganirodhā</b> dukkhā, bhikkhave, devamanussā viharanti. tathāgato ca kho, bhikkhave, arahaṃ sammāsambuddho rūpānaṃ samudayañ'ca atthaṅ'gamañ'ca assādañ'ca ādīnavaṃ ca nissaraṇañ'ca yathābhūtaṃ viditvā na rūp'ārāmo na rūparato na rūpasammudito.	missing		yes		
34920	sanskrit	dharma + vipariṇāma + virāga + nirodha					missing		yes		
34920	commentary	-					missing		yes		
34825	source_1	SN 35.228	sutta_1	paṭhamasamuddasuttaṃ	example_1	yo taṃ <b>dhammamayaṃ</b> vegaṃ sahati, ayaṃ vuccati, bhikkhave, atari manosamuddaṃ saūmiṃ sāvaṭṭaṃ sagāhaṃ sarakkhasaṃ, tiṇṇo pāraṅ'gato thale tiṭṭhati brāhmaṇo'ti.	missing		yes		
34825	commentary	-					missing		yes		
51288	source_1	SN 35.228	sutta_1	paṭhamasamuddasuttaṃ	example_1	yo taṃ dhammamayaṃ vegaṃ sahati, ayaṃ vuccati, bhikkhave, atari <b>manosamuddaṃ</b> saūmiṃ sāvaṭṭaṃ sagāhaṃ sarakkhasaṃ, tiṇṇo pāraṅ'gato thale tiṭṭhati brāhmaṇo'ti.	missing		yes		
51288	sanskrit	manas + samudra					missing		yes		
51288	commentary	-					missing		yes		
12124	source_1	SN 35.230	sutta_1	bāḷisikopamasuttaṃ	example_1	seyyathā'pi, bhikkhave, bāḷisiko <b>āmisagatabaḷisaṃ</b> gambhīre udakarahade pakkhipeyya. tam'enaṃ aññataro āmisacakkhu maccho gileyya.	missing		yes		
12124	sanskrit	āmiṣa + gata + baḍiśa					missing		yes		
24997	source_1	SN 35.230	sutta_1	bāḷisikopamasuttaṃ	example_1	tam'enaṃ aññataro āmisacakkhu maccho gileyya. evañ'hi so, bhikkhave, maccho <b>gilitabaḷiso</b> bāḷisikassa anayaṃ āpanno byasanaṃ āpanno yathākāmakaraṇīyo bāḷisikassa.	missing		yes		
24997	sanskrit	galita + baḍiśa					missing		yes		
24996	source_1	SN 35.230	sutta_1	bāḷisikopamasuttaṃ	example_1	tam'enaṃ aññataro āmisacakkhu maccho gileyya. evañ'hi so, bhikkhave, maccho <b>gilita</b>baḷiso bāḷisikassa anayaṃ āpanno byasanaṃ āpanno yathākāmakaraṇīyo bāḷisikassa.	missing		yes		
24996	commentary	(NPa) <b>ayaṃ vuccati, bhikkhave, bhikkhu gilitabaḷiso mārassā</b>'ti ayaṃ, bhikkhu, kilesamārassa baḷisabhūtaṃ rūpataṇhaṃ gilitvā ṭhito'ti vuccati.					missing		yes		
12126	source_1	SN35.230	sutta_1	bāḷisikopamasuttaṃ	example_1	seyyathā'pi, bhikkhave, bāḷisiko āmisagatabaḷisaṃ gambhīre udakarahade pakkhipeyya. tam'enaṃ aññataro <b>āmisacakkhu</b> maccho gileyya.	missing		yes		
12126	sanskrit	āmiṣa + cakṣu					missing		yes		
35962	commentary	-					missing		yes		
35962	source_1	MN 39	sutta_1	mahāassapurasuttaṃ	example_1	<b>nahātā</b>-assa honti pāpakā akusalā dhammā saṃkilesikā ponobbhavikā sadarā dukkhavipākā āyatiṃ jātijarāmaraṇiyā	sandhi		yes		
22969	construction	koṭi + gāma					missing		yes		
22969	family_compound	koṭi gāma					missing		yes		
38319	construction	nī + sara + ti					missing		yes		
38319	trans	intrans					missing		yes		
38319	plus_case	+abl					missing		yes		
25808	construction	caja + māna					missing		yes		
25808	trans	trans					missing		yes		
25808	plus_case	+acc					missing		yes		
57320	construction	saṃ + chinda + itvā					missing		yes		
57320	trans	trans					missing		yes		
57320	plus_case	+acc					missing		yes		
52736	source_1	MN 10	sutta_1	mahāsatipaṭṭhānasuttaṃ	example_1	ye vā pan'assa te honti anatthakāmā ahitakāmā aphāsukakāmā ayogakkhemakāmā, yā tehi saddhiṃ saṅgati samāgamo samodhānaṃ <b>missībhāvo</b>, ayaṃ vuccati, bhikkhave, appiyehi sampayogo dukkho.	correct example		yes		
34913	commentary	(ANa) <b>dhammavitakk'āvasissantī</b>'ti dhammavitakkā nāma dasavipassan'upakkilesavitakkā.					missing		yes		
34913	source_2	AN 5.73	sutta_2	paṭhamadhammavihārīsuttaṃ	example_2	so tehi <b>dhammavitakkehi</b> divasaṃ atināmeti, riñcati paṭisallānaṃ, n'ānuyuñjati ajjhattaṃ cetosamathaṃ.	change for propper one		yes		
23967	source_2	DN 16.36	sutta_2	mahāparinibbānasuttaṃ	example_2	siyā <b>kho pan</b>'ānanda, tumhākaṃ evam'assa, atītasatthukaṃ pāvacanaṃ, n'atthi no satthā'ti.	sandhi		yes		
17738	source_2	MN 12	sutta_2	mahāsīhanādasuttaṃ	example_2	atha puriso āgaccheyya ghammābhitatto ghammapareto kilanto tasito pipāsito <b>ek'āyanena</b> maggena tam'eva aṅgārakāsuṃ paṇidhāya. tam'enaṃ cakkhumā puriso disvā evaṃ vadeyya, tath'āyaṃ bhavaṃ puriso paṭipanno tathā ca iriyati tañ'ca maggaṃ samārūḷho, yathā imaṃ'y'eva aṅgārakāsuṃ āgamissatī'ti.	sandhi		yes		
51620	source_2	MN 82	sutta_2	raṭṭhapālasuttaṃ	example_2	eta'r'ahi jiṇṇo vuḍḍho <b>mahallako</b> addhagato vayoanuppatto āsītiko me vayo vattati. app'ekad'āhaṃ, bho raṭṭhapāla, idha pādaṃ karissāmī'ti aññen'eva pādaṃ karomī'ti.	no sandhi		yes		
27179	source_1	VIN PAT SA 11	sutta_1	bhedānuvattakasikkhāpadaṃ	example_1	te evaṃ vadeyyuṃ m'āyasmanto etaṃ bhikkhuṃ kiñci avacuttha, dhammavādī <b>c'eso</b> bhikkhu, vinayavādī <b>c'eso</b> bhikkhu, amhākañ'<b>c'eso</b> bhikkhu chandañ'ca ruciñ'ca ādāya voharati	bold		yes		
68717	meaning_lit						wrong lit		yes		
28968	notes	ññū in comps					missing		yes		
75714	stem	sasaṅgh	pattern	a masc			noun		yes		
75714	grammar	masc, from saṅgha					noun		yes		
75714	pos	masc					noun		yes		
75716	meaning_2	to delete					duplication of sasaṅgha 2, need to remove		yes		
31538	source_1	VIN 1.2.6	sutta_1	kuṭikārasikkhāpadaṃ	example_1	ekaṃ piṇḍaṃ anāgate āpatti <b>thull'accayassa</b>. tasmiṃ piṇḍe āgate āpatti saṅghādisesassa.	sandhi		yes		
31538	source_2	VIN 4.4.141	sutta_2	pavāraṇāṭhapanaṃ	example_2	so ce evaṃ vadeyya, cattāri pārājikāni, terasa saṅghādisesā, ayaṃ sīlavipatti. <b>thull'accayaṃ</b>, pācittiyaṃ, pāṭidesanīyaṃ, dukkaṭaṃ, dubbhāsitaṃ, ayaṃ ācāravipatti. micchādiṭṭhi, antaggāhikādiṭṭhi, ayaṃ diṭṭhivipattī'ti,	sandhi		yes		
49408	commentary	-					missing	are you sure there is no commentary!?	no	yes	
49408	meaning_1	sir; sirs; lord; lords; venerable sir; venerable sirs; reverend; reverends					same as āvuso for epd		yes		
71265	meaning_1	sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside					missing comm translation		yes		
71288	meaning_1	sense of shame; modesty; conscience; sense of right and wrong; scruples; (comm) originating from inside					missing comm tr		yes		
18553	meaning_1	regret; shame in wrongdoing; respect for others; (comm) originating from outside					missing comm tr		yes		
27447	commentary	-					missing		yes		
27447	source_1	PAT PK	sutta_1	dhammayuttikapubbakicca	example_1	pānīyaparibhojanīy'upaṭṭhapanañ'ca, chand'ārahānaṃ bhikkhūnaṃ <b>chand'āharaṇañ</b>'ca, tesaññ'eva akat'uposathānaṃ pārisuddhiyā'pi āharaṇañ'ca	wring bold		yes		
27447	sanskrit	chanda + āharaṇa					missing		yes		
12517	antonym						since only to āruḷha 1		yes		
63077	link	https://en.wikipedia.org/wiki/Simsapa_tree					correct link		yes		
9569	source_1	KHP 9	sutta_1	karaṇīya mettasuttaṃ	example_1	"mettañ'ca sabbalokasmi,
mānasaṃ bhāvaye aparimāṇaṃ,
uddhaṃ adho ca tiriyañ'ca,
<b>asambādhaṃ</b> averam'asapattaṃ."	sandhi		yes		
10832	grammar	nt, in comps					missing		yes		
59396	meaning_lit	from ends together					since it is abl		yes		
57194	source_2	AN 3.102	sutta_2	paṃsudhovakasuttaṃ	example_2	yassa yassa ca abhiññā sacchikaraṇīyassa dhammassa cittaṃ abhininnāmeti abhiññā <b>sacchikiriyāya</b> tatra tatr'eva sakkhibhabbataṃ pāpuṇāti sati satiāyatane.	wrong bold		yes		
75748	meaning_lit	too-dark					lit		yes		
75753	source_1	Abhi Dhs 1	sutta_1	mātikā, tikamātikā	example_1	"saṅkiliṭṭhasaṅkilesikā dhammā.
asaṅkiliṭṭhasaṅkilesikā dhammā.
asaṅkiliṭṭh'<b>āsaṅkilesikā</b> dhammā."	example		yes		
75761	notes						clean	note doesnt fit the meaning	no	yes	
75704	meaning_lit	praising all around					missing		yes		
15065	construction	udumbara + khādikā					missing		yes		
15065	source_1	AN8.54	sutta_1	dīghajāṇusuttaṃ	example_1	sac'āyaṃ kulaputto app'āyo samāno uḷāraṃ jīvikaṃ kappeti, tassa bhavan'ti vattāro, <b>udumbarakhādikaṃ</b> v'āyaṃ kulaputto bhoge khādatī'ti.	missing	i prefer this as an acc adv of manner, see udumbarakhādikaṃ	no	yes	
15065	variant	udumbarakhādī					missing		yes		
15065	commentary	-					missing		yes		
15065	meaning_1	sqanderer; who wastes resources					missing		yes		
15065	notes	acc. as adv. of manner. SCPN §52					from BD book3		yes		
15065	meaning_lit	cluster fig eater					missing		yes		
15065	grammar	fem, comp					missing		yes		
15065	compound_type	dutiyā tappurisa	compound_construction	udumbar<b>e</b> + khādikā			missing		yes		
15065	sanskrit	uḍumbara + khādikā					missing		yes		
15065	family_compound	udumbara khādikā					missing		yes		
15065	meaning_1	squanderer; who wastes resources					typo		yes		
15064	lemma_1	udumbarakhādikaṃ	lemma_2	udumbarakhādikaṃ			can be removed I think, because in AN 8.54 it is udumbarakhādikā 1	i prefer this as the main reading	yes		
71990	variant	udumbarakhādikā					missing		yes		
71990	notes	acc. as adv. of manner. SCPN §52					missing		yes		
71990	meaning_1	squanderer; who wastes resources					typo		yes		
71989	meaning_1	squanderer; who wastes resources					typo		yes		
20960	source_2		sutta_2		example_2		not in this example		yes		
74577	source_1	SN35.235	sutta_1	ādittapariyāyasuttaṃ	example_1	katamo ca, bhikkhave, ādittapariyāyo, dhammapariyāyo? varaṃ, bhikkhave, tattāya ayosalākāya ādittāya sampajjalitāya sajotibhūtāya <b>cakkhu'ndriyaṃ</b> sampalimaṭṭhaṃ, na tv'eva cakkhuviññeyyesu rūpesu anubyañjanaso nimittaggāho.	correct sutta number		yes		
52955	meaning_1	happiness (for); appreciation; sympathetic joy					common translation		yes		
36475	derivative	taddhita	suffix	so			missing		yes		
5251	source_2	MN107	sutta_2	gaṇakamoggallānasuttaṃ	example_2	seyyathā'pi, bho gotama, ye keci mūlagandhā, kāla-<b>anusāri </b>tesaṃ aggam'akkhāyati, ... evam'eva bhoto gotamassa ovādo param'ajjadhammesu.	same as ex1		yes		
23718	construction	"√khip + ra + tara + aṃ
khippatara + aṃ"					missing		yes		
23718	grammar	ind, adv, from khippatara					missing		yes		
23718	derived_from	khippatara					missing		yes		
20419	meaning_1	should do; could make					seems error		yes		
44744	meaning_1	with a relaxed body; with a calm body					adj meaning		yes		
11982	meaning_lit	oppression					missing		yes		
10018	meaning_1	will breathe in; will inhale					typo		yes		
26326	lemma_1	care 1					#1 since added care 2	don't worry about numbering, i have a test that catches them	no	yes	
44395	meaning_1	who harms others; who injures others					typo		yes		
63609	meaning_1	Accomplished One; Fortunate One; epithet of the Buddha					Fortunate One already translation of bhagavā, so to keep it different		yes		
12568	meaning_2	got ready; set up; produced					missing		yes		
8427	meaning_2	passing over; surpassing; overcoming					more refine paritta meaning		yes		
1048	meaning_2	MN123					for links		yes		
9000	meaning_1	Majjhima Nikāya 26; Discourse on the Noble Quest (MN26); (or) Discourse on the Heap of Snares					typo and for link		yes		
9000	meaning_2	MN26					for link		yes		
45882	meaning_1	Majjhima Nikāya 26; Discourse on the Heap of Snares (MN26); (or) Discourse on the Noble Quest					typo		yes		
39924	meaning_2	MN102					for link		yes		
57630	meaning_2	MN10					for link		yes		
60800	lemma_1						delete since exists proper sutta name	it's referred to in commentaries by this same, so it stays	no	yes	
51818	meaning_1	Majjhima Nikāya 109; Discourse on the Great Full Moon Night (MN109)					missing		yes		
51818	sanskrit	mahā + pūrṇimā + sūtra					missing		yes		
51818	family_compound	mahā puṇṇamā sutta					missing	i dont add suttas to compound families, they just muddy the water	no	yes	
51818	construction	mahā + puṇṇamā + sutta					missing		yes		
51817	lemma_1						delete since exists proper sutta name	same again, it's called this in commentaries	no	yes	
58872	meaning_1	discourse of the root cause of all things					pariyāya was not translated		yes		
24075	meaning_1	Discourse to Moggallāna the Accountant; Majjhima Nikāya 107 (MN107)					missing		yes		
24075	sanskrit	gaṇaka + maudgalyāyana + sūtra					missing		yes		
24075	family_compound	gaṇaka moggallāna sutta					missing		yes		
24075	construction	gaṇaka + moggallāna + sutta					missing		yes		
24076	lemma_1						delete since exists proper sutta name	is aclled this in commetnaries	no	yes	
68183	meaning_1	who has gone to the underworld; who is in purgatory					missing		yes		
62402	construction	sāyaṃ + anha					typo		yes		
11797	source_2	SN1.41	sutta_2	ādittasuttaṃ	example_2	"datvā ca bhutvā ca yatha-<b>ānubhāvaṃ</b>,
anindito saggam'upeti ṭhānan'ti."	typo		yes		
21932	meaning_1	of whom?; of what?; of which?					typo (perhaps)		yes		
67381	commentary	"(ANa) <b>viggāhikakathan</b>'ti na tvaṃ imaṃ dhammavinayaṃ ājānāsī'tiādinayappavattā viggāhikakathā.
(DNa) <b>viggāhikakathā</b>'ti viggahakathā, sārambhakathā."					from notes to comm		yes		
67381	notes						from notes to comm		yes		
70402	meaning_1	belonging to a tiger; regarding a tiger; with a tiger					typo		yes		
68570	meaning_2	classifying; analysing					make clear difference between 1 and 2		yes		
15512	grammar	abs, of upaṭṭhapeti					missing		yes		
15512	meaning_1	having established; having set up; having caused to attend; having caused to be present					missing		yes		
6128	source_1		sutta_1		example_1		wrong ex		yes		
43853	pos	nt					since it is a noun		yes		
43853	grammar	nt, ptp of paribhuñjati					since it is a noun		yes		
43853	lemma_2	paribhojanīyaṃ					since it is a noun		yes		
43853	stem	paribhojanīy	pattern	a nt			since it is a noun		yes		
21791	meaning_lit	what just this?					missing		yes		
61087	source_2	DN16.27	sutta_2	mahāparinibbānasuttaṃ	example_2	sabbaphāliphullā kho, ānanda, yamakasālā akālapupphehi. te tathāgatassa <b>sarīraṃ</b> okiranti ajjhokiranti abhippakiranti tathāgatassa pūjāya.	missing	the buddha is still alive at this point, not a corpse!	no	yes	
65815	source_1	SN22.95	sutta_1	pheṇapiṇḍūpamasuttaṃ	example_1	tam'enaṃ mūle chindeyya, mūle chetvā agge chindeyya, agge chetvā patta<b>vaṭṭiṃ</b> vinibbhujeyya. so tassa patta<b>vaṭṭiṃ</b> vinibbhujanto pheggum'pi n'ādhigaccheyya, kuto sāraṃ!	missing		yes		
65815	meaning_1	roll					missing		yes		
42589	source_1	AN10.15	sutta_1	appamādasuttaṃ	example_1	seyyathā'pi, bhikkhave, yā kāci tārakarūpānaṃ <b>pabhā</b>, sabbā tā canda<b>ppabhāya</b> kalaṃ n'āgghanti soḷasiṃ, canda<b>ppabhā</b> tāsaṃ aggam'akkhāyati	missing		yes		
16236	family_set	names of monks; names of arahants					missing		yes		
16236	source_1	SN35.70	sutta_1	upavāṇasandiṭṭhikasuttaṃ	example_1	ekam'antaṃ nisinno kho āyasmā <b>upavāṇo</b> bhagavantaṃ etad'avoca, sandiṭṭhiko dhammo, sandiṭṭhiko dhammo'ti, bhante, vuccati.	missing		yes		
16236	meaning_1	name of an arahant monk; attendant of the Buddha					missing		yes		
49844	source_2	SN35.93	sutta_2	dutiyadvayasuttaṃ	example_2	cakkhu aniccaṃ vipariṇāmi aññathā<b>bhāvi</b>. rūpā aniccā vipariṇāmino aññathā<b>bhāvino</b>. itth'etaṃ dvayaṃ calañ'c'eva byathañ'ca aniccaṃ vipariṇāmi aññathā<b>bhāvi</b>.	missing		yes		
55061	commentary	(MNa) <b>rukkhaphal'ūpamā</b> sabb'aṅgapacc'aṅga-palibhañjan'aṭṭhena.					sandhi		yes		
58813	source_1	SN12.64	sutta_1	atthirāgasuttaṃ	example_1	seyyathā'pi, bhikkhave, rajako vā cittakārako vā sati rajanāya vā lākhāya vā haliddiyā vā nīliyā vā mañjiṭṭhāya vā suparimaṭṭhe vā phalake bhittiyā vā dussapaṭṭe vā itthirūpaṃ vā purisarūpaṃ vā abhinimmineyya <b>sabb'aṅgapaccaṅgaṃ</b>.	sandhi	its internal sandhi, those don't normally get maked	no	yes	
73802	source_1	MN131	sutta_1	bhaddekarattasuttaṃ	example_1	"atītaṃ n'ānvāgameyya,
nappaṭikaṅkhe anāgataṃ,
<b>yadatītam'pahīnan'taṃ</b>,
appattañ'ca anāgataṃ."	sandhi		yes		
28313	source_1	AN8.30	sutta_1	anuruddha mahāvitakkasuttaṃ	example_1	idha, bhikkhave, bhikkhu app'iccho samāno app'iccho'ti maṃ <b>jāneyyun</b>'ti na icchati	sandhi		yes		
59691	source_1	AN8.30	sutta_1	anuruddha mahāvitakkasuttaṃ	example_1	idha, bhikkhave, bhikkhu app'iccho <b>samāno</b>, app'iccho'ti maṃ jāneyyun'ti na icchati	sandhi		yes		
73802	source_1	MN131	sutta_1	bhaddekarattasuttaṃ	example_1	"atītaṃ n'ānvāgameyya,
nappaṭikaṅkhe anāgataṃ,
<b>yadatītam'pahīnan'taṃ</b>,
appattañ'ca anāgataṃ."	sandhi	i dont normall mark yad tad etc	no	yes	
47396	source_1	DHP401	sutta_1	brāhmaṇavaggo	example_1	"vāri <b>pokkharapatt</b>'eva,
ār'agge'r'iva sāsapo,
yo na limpati kāmesu,
tam'ahaṃ brūmi brāhmaṇaṃ."	sandhi		yes		
62619	source_1	DHP401	sutta_1	brāhmaṇavaggo	example_1	"vāri pokkharapatt'eva,
ār'agge'r'iva <b>sāsapo</b>,
yo na limpati kāmesu,
tam'ahaṃ brūmi brāhmaṇaṃ."	sandhi		yes		
12355	source_1	DHP401	sutta_1	brāhmaṇavaggo	example_1	"vāri pokkharapatt'eva,
<b>ār'agge</b>'r'iva sāsapo,
yo na limpati kāmesu,
tam'ahaṃ brūmi brāhmaṇaṃ."	sandhi		yes		
12433	source_1	DHP401	sutta_1	brāhmaṇavaggo	example_1	"vāri pokkharapatt'eva,
<b>ār</b>'agge'r'iva sāsapo,
yo na limpati kāmesu,
tam'ahaṃ brūmi brāhmaṇaṃ."	sandhi		yes		
55042	source_1	DHP401	sutta_1	brāhmaṇavaggo	example_1	"vāri pokkharapatt'eva,
ār'agge'<b>r'iva</b> sāsapo,
yo na limpati kāmesu,
tam'ahaṃ brūmi brāhmaṇaṃ."	sandhi		yes		
8386	source_2	SNP37	sutta_2	"nālakasuttaṃ
mahāvaggo 11"	example_2	"sa piṇḍacāraṃ caritvā,
van'antam'<b>abhihāraye</b>,
upaṭṭhito rukkhamūlasmiṃ,
āsan'ūpagato muni."	sandhi		yes		
40689	meaning_lit	shines back					missing		yes		
1702	meaning_1	is troubled by, ashamed of and disgusted with; is distressed, disturbed and disgusted					typo		yes		
2714	notes						error		yes		
36907	meaning_lit	who speaks pulling down					more lit		yes		
75743	meaning_lit	striking against idea					more fit from saññā 2	hmmm not sure which is better	no	yes	
49818	meaning_lit	to cause to be					since developed it is alreade 'caused to be', original lit. to cause to be developed kind of x2 caus		yes		
75761	notes						Bhante I am trying to remove it because it does not fit the meaning		yes		
36220	source_2	MN104	sutta_2	sāmagāmasuttaṃ	example_2	passatha no tumhe taṃ vacanapathaṃ, aṇuṃ vā thūlaṃ vā, yaṃ tumhe <b>n'ādhivāseyyāthā</b>'ti?	different example		yes		
36430	source_1	DN16.11	sutta_1	mahāparinibbānasuttaṃ	example_1	"kattha āpo ca pathavī,
tejo vāyo na gādhati,
kattha dīghañ'ca rassañ'ca,
aṇuṃ thūlaṃ subh'āsubhaṃ,
kattha <b>nāmañ</b>'ca rūpañ'ca,
asesaṃ uparujjhatī'ti?"	sandhi		yes		
44560	source_1	MN118	sutta_1	ānāpānassatisuttaṃ	example_1	idha, bhikkhave, bhikkhu araññagato vā rukkhamūlagato vā suññ'āgāragato vā nisīdati, <b>pallaṅkaṃ</b> ābhujitvā, ujuṃ kāyaṃ paṇidhāya, parimukhaṃ satiṃ upaṭṭhapetvā.	sutta example		yes		
4905	meaning_1	arrival; attainment					missing		yes		
4905	grammar	fem, abstr					missing		yes		
60509	notes						since it is lit, not need to duplicate info		yes		
18179	sanskrit	evam + rañjanīya					missing		yes		
18179	source_1	SN35.246	sutta_1	vīṇopamasuttaṃ	example_1	tam'enaṃ evaṃ vadeyyuṃ, esā, kho, bhante, vīṇā nāma, yassā eso saddo <b>evaṃrajanīyo</b> evaṃkamanīyo evaṃmadanīyo evaṃmucchanīyo evaṃbandhanīyo'ti.	missing		yes		
18142	sanskrit	evam + kamanīya					missing		yes		
18142	source_1	SN35.246	sutta_1	vīṇopamasuttaṃ	example_1	tam'enaṃ evaṃ vadeyyuṃ, esā, kho, bhante, vīṇā nāma, yassā eso saddo evaṃrajanīyo <b>evaṃkamanīyo</b> evaṃmadanīyo evaṃmucchanīyo evaṃbandhanīyo'ti.	missing		yes		
63281	meaning_1	grove of Dalbergia trees; Dalbergia tree forest					missing		yes		
63281	synonym	siṃsapāvana					missing		yes		
63281	sanskrit	śiṃśapā + vana					missing		yes		
63281	source_1	SN56.31	sutta_1	sīsapāvanasuttaṃ	example_1	appamattakāni, bhante, bhagavatā parittāni sīsapāpaṇṇāni pāṇinā gahitāni, atha kho etān'eva bahutarāni yad'idaṃ upari <b>sīsapāvane</b>'ti.	missing		yes		
63279	source_1	SN56.31	sutta_1	sīsapāvanasuttaṃ	example_1	appamattakāni, bhante, bhagavatā parittāni <b>sīsapā</b>paṇṇāni pāṇinā gahitāni, atha kho etān'eva bahutarāni yad'idaṃ upari <b>sīsapā</b>vane'ti.	missing		yes		
63280	sanskrit	śiṃśapā + parṇa					missing		yes		
63280	source_1	SN56.31	sutta_1	sīsapāvanasuttaṃ	example_1	appamattakāni, bhante, bhagavatā parittāni <b>sīsapāpaṇṇāni</b> pāṇinā gahitāni, atha kho etān'eva bahutarāni yad'idaṃ upari sīsapāvane'ti.	missing		yes		
5900	source_1	SN56.38	sutta_1	dutiyasūriyasuttaṃ	example_1	n'eva <b>andhakāratamaṃ</b> tadā hoti na andhakāratimisā. atha rattin'divā paññāyanti, mās'addhamāsā paññāyanti, utusaṃvaccharā paññāyanti.	missing		yes		
63279	link	https://en.wikipedia.org/wiki/Simsapa_tree					link correction		yes		
52133	meaning_1	moon					missing		yes		
52133	source_1	SN22.82	sutta_1	puṇṇamasuttaṃ	example_1	tena kho pana samayena bhagavā tadah'uposathe pannarase puṇṇāya puṇṇa<b>māya</b> rattiyā bhikkhusaṅghaparivuto ajjhokāse nisinno hoti.	missing		yes		
55179	meaning_1	material aggregate; mass of matter; first of the five aggregates					missing		yes		
23018	lemma_1	koṭṭhika 1					added new meaning		yes		
8423	source_1	SN35.230	sutta_1	bāḷisikopamasuttaṃ	example_1	ayaṃ vuccati, bhikkhave, bhikkhu na gilitabaḷiso mārassa <b>abhedi</b> baḷisaṃ paribhedi baḷisaṃ na anayaṃ āpanno na byasanaṃ āpanno na yathākāmakaraṇīyo pāpimato	missing		yes		
43838	source_1	SN35.230	sutta_1	bāḷisikopamasuttaṃ	example_1	ayaṃ vuccati, bhikkhave, bhikkhu na gilitabaḷiso mārassa abhedi baḷisaṃ <b>paribhedi</b> baḷisaṃ na anayaṃ āpanno na byasanaṃ āpanno na yathākāmakaraṇīyo pāpimato	missing		yes		
27483	sanskrit	ṣaḍ + prāṇaka					missing		yes		
27483	source_1	SN35.247	sutta_1	chappāṇakopamasuttaṃ	example_1	seyyathā'pi, bhikkhave, puriso <b>chappāṇake</b> gahetvā nānāvisaye nānāgocare daḷhāya rajjuyā bandheyya. ahiṃ gahetvā daḷhāya rajjuyā bandheyya.	missing		yes		
56554	commentary	(MOGG) lokāya saṃvattatī'ti lokiko suṭṭhu aggo'ti <b>saggo</b>.					move from notes		yes		
56554	notes						move from notes		yes		
47112	grammar	ind, prep					prep		yes		
25662	grammar	ind, conj					missing		yes		
77756	sanskrit	yaḥ + taḥ					missing		yes		
77765	compound_type	chaṭṭhī tappurisa	compound_construction	bodh<b>iyā</b> + kathā			comp type		yes		
77766	compound_type	chaṭṭhī tappurisa	compound_construction	ajapāl<b>assa</b> + kathā			genitive		yes		
11982	source_2	AN10.60	sutta_2	girimānandasuttaṃ	example_2	ṭhānaṃ kho pan'etaṃ vijjati yaṃ girimānandassa bhikkhuno dasa saññā sutvā so <b>ābādho</b> ṭhānaso paṭippassambheyya.	missing		yes		
18334	meaning_1	occurred; happened; befallen					missing		yes		
18334	meaning_lit	descended					missing		yes		
18334	commentary	(DNa) <b>okkamī</b>'ti iminā c'assa okkantabhāvo pāḷiyaṃ dassito, na okkamanakkamo.					missing		yes		
14712	meaning_1	superior; supreme; better; higher					mistake		yes		
14712	phonetic	dt > tt					missing		yes		
14712	family_compound	uttari					mistake		yes		
14712	compound_type		compound_construction				mistake		yes		
14712	grammar	adj					mistake		yes		
14712	synonym	atireka, anoma, anomiya, uttara, visesi, visesī					missing		yes		
14712	construction	"ud + tara + i
uttara + i"					mistake		yes		
14712	commentary	(ANa) <b>uttari</b> manussadhammā'ti dasakusalakammapathasaṅkhātā manussadhammā uttariṃ.					mistake	dont change the commentary's bold	no	yes	
14712	derivative	taddhita	suffix	i			missing		yes		
17890	grammar	pron, masc & nt loc sg of eta					missing		yes		
22170	meaning_1	for looking after the stomach; for taking care of the belly					same as kāyaparihārika		yes		
22904	meaning_1	completely and utterly; complete and utter; 100%					it seems the idiom need to have adj meaning, while before it looked like adv	it can be taken both ways	yes		
46477	source_1	AN4.70	sutta_1	adhammikasuttaṃ	example_1	"gunnaṃ ce taramānānaṃ,
jimhaṃ gacchati <b>puṅgavo</b>,
sabbā tā jimhaṃ gacchanti,
nette jimhaṃ gate sati."	1st ex moved to puṅgava 2		yes		
46477	source_2		sutta_2		example_2		1st ex moved to puṅgava 2		yes		
46477	meaning_1	bull					since added puṅgava 2 and there it is more about noble being		yes		
76729	source_2	UD45	sutta_2	uposathasuttaṃ	example_2	evam'eva kho, bhikkhave, ayaṃ dhammavinayo bahuratano anekaratano, tatr'imāni ratanāni, seyyath'idaṃ, cattāro satipaṭṭhānā, cattāro <b>sammappadhānā</b>, cattāro iddhipādā, pañc'indriyāni, pañca balāni, satta bojjh'aṅgā, ariyo aṭṭh'aṅgiko maggo	missing		yes		
7334	notes						same as constr		yes		
