"id"	"sbs_class_anki"	"sbs_class"	"sbs_meaning"	"sbs_notes"	"sbs_chant_pali_1"	"sbs_chant_eng_1"	"sbs_chapter_1"	"sbs_chant_pali_2"	"sbs_chant_eng_2"	"sbs_chapter_2"	"sbs_source_3"	"sbs_sutta_3"	"sbs_example_3"	"sbs_chant_pali_3"	"sbs_chant_eng_3"	"sbs_chapter_3"	"sbs_source_4"	"sbs_sutta_4"	"sbs_example_4"	"sbs_chant_pali_4"	"sbs_chant_eng_4"	"sbs_chapter_4"	"sbs_index"	"sbs_category"	"sbs_audio"
"1561"	"5"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:aññadatthu.mp3]"
"1571"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1572"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1573"	""	""	""	""	""	""	""	"Paṭṭhāna-mātikā-pāṭho"	""	"Funeral Chants"	""	""	""	""	""	""	""	""	""	""	""	""	"65n"	""	"[sound:coming-soon.mp3]"
"1576"	""	""	""	""	""	""	""	"Karaṇīya-metta-sutta"	"The Buddha’s Words on Loving-Kindness"	"Protective Recitations"	""	""	""	""	""	""	""	""	""	""	""	""	"53n"	""	"[sound:coming-soon.mp3]"
"1577"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1578"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1579"	"23"	""	""	""	""	""	""	""	""	""	"SN 1.28"	"mahaddhanasuttaṃ"	"mahaddhanā mahābhogā,
raṭṭhavanto'pi khattiyā,
<b>aññam'aññ</b>'ābhigijjhanti,
kāmesu analaṅkatā."	""	""	""	""	""	""	""	""	""	""	""	""
"1581"	"23"	""	""	""	""	""	""	""	""	""	"SN 1.28"	"mahaddhanasuttaṃ"	"mahaddhanā mahābhogā,
raṭṭhavanto'pi khattiyā,
<b>aññam'aññ'ābhigijjhanti</b>,
kāmesu analaṅkatā."	""	""	""	""	""	""	""	""	""	""	""	""
"1584"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1594"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1601"	"24"	"7"	""	""	""	""	""	"Vipassanā-bhūmi-pāṭho"	""	"Funeral Chants"	"ITI 62"	"indriyasuttaṃ"	"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, <b>aññ</b>'indriyaṃ, aññātāv'indriyaṃ"	""	""	""	""	""	""	""	""	""	"64n"	""	"[sound:coming-soon.mp3]"
"1602"	""	"7"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1604"	""	""	""	""	""	""	""	""	""	""	"SN 56.11"	"dhammacakkappavattanasuttaṃ"	"aññāsi vata, bho, koṇḍañño, aññāsi vata, bho, koṇḍañño'ti! iti h'idaṃ āyasmato koṇḍaññassa <b>aññāsikoṇḍañño</b>' tv'eva nāmaṃ ahosī'ti."	"Dhammacakkappavattana-sutta"	"The Discourse on  Setting in Motion The Wheel of Dhamma"	"Cardinal Suttas"	""	""	""	""	""	""	"37n"	""	"[sound:coming-soon.mp3]"
"1606"	""	""	""	""	""	""	""	"Paṭicca-samuppāda"	"Dependent Origination"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	"23n"	""	"[sound:coming-soon.mp3]"
"1608"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1616"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1617"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1618"	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1623"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1624"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1627"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1628"	"24"	""	""	""	""	""	""	""	""	""	"ITI 62"	"indriyasuttaṃ"	"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'indriyaṃ</b>"	""	""	""	"VIBH 5.1"	"abhidhammabhājanīyaṃ"	"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātaññassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'indriyaṃ</b>."	"Vipassanā-bhūmi-pāṭho"	""	"Funeral Chants"	"64n"	""	"[sound:coming-soon.mp3]"
"1630"	"24"	""	""	""	""	""	""	""	""	""	"ITI 62"	"indriyasuttaṃ"	"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, aññ'indriyaṃ, <b>aññātāv'</b>indriyaṃ"	""	""	""	"VIBH 5.1"	"abhidhammabhājanīyaṃ"	"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātaññassāmī't'indriyaṃ, aññ'indriyaṃ,<b> aññātāv</b>'indriyaṃ."	"Vipassanā-bhūmi-pāṭho"	""	"Funeral Chants"	"64n"	""	"[sound:coming-soon.mp3]"
"1633"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1636"	"9"	""	""	""	""	""	""	""	""	""	"MN 9"	"sammādiṭṭhisuttaṃ"	"dūrato'pi kho mayaṃ, āvuso, āgaccheyyāma āyasmato sāriputtassa santike etassa bhāsitassa attham'<b>aññātuṃ</b>"	""	""	""	""	""	""	""	""	""	""	"e"	"[sound:aññātuṃ.mp3]"
"1638"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1642"	"21"	""	""	""	""	""	""	""	""	""	"SN 1.31"	"sabbhisuttaṃ"	"sabbhi'r'eva samāsetha,
sabbhi kubbetha santhavaṃ,
sataṃ saddhammam'<b>aññāya</b>,
seyyo hoti na pāpiyo'ti."	""	""	""	""	""	""	""	""	""	""	""	""
"1643"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1644"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1645"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1646"	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"e"	""
"1656"	"24"	""	""	""	""	""	""	""	""	""	"ITI 62"	"indriyasuttaṃ"	"tīṇ'imāni, bhikkhave, indriyāni. katamāni tīṇi? anaññātaññassāmī't'indriyaṃ, <b>aññ'indriyaṃ</b>, aññātāv'indriyaṃ"	""	""	""	"VIBH 5.1"	"abhidhammabhājanīyaṃ"	"saddh'indriyaṃ, viriy'indriyaṃ, sat'indriyaṃ, samādh'indriyaṃ, paññ'indriyaṃ, anaññātaññassāmī't'indriyaṃ, <b>aññ'indriyaṃ</b>, aññātāv'indriyaṃ."	"Vipassanā-bhūmi-pāṭho"	""	"Funeral Chants"	"64n"	""	"[sound:coming-soon.mp3]"
"1660"	"10"	""	""	""	""	""	""	"Raṭṭhapāla-thera-gāthā"	"From the Elder Raṭṭhapāla"	"Verses"	"AN 3.83"	"gadrabhasuttaṃ"	"tassa na tādiso chando hoti adhisīlasikkhāsamādāne seyyathā'pi <b>aññesaṃ</b> bhikkhūnaṃ"	""	""	""	""	""	""	""	""	""	"12n"	"p"	"[sound:aññe.mp3]"
"1662"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1663"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1664"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1666"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1670"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1671"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1673"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1678"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1682"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1684"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1685"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1699"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1701"	"21"	""	""	""	""	""	""	""	""	""	"AN 3.39"	"sukhumālasuttaṃ"	"ahañ'c'eva kho pana jarādhammo samāno jaraṃ anatīto paraṃ jiṇṇaṃ disvā <b>aṭṭīyeyyaṃ</b> harāyeyyaṃ jiguccheyyaṃ na m'etaṃ assa patirūpan'ti."	""	""	""	"AN 10.60"	"girimānandasuttaṃ"	"idh'ānanda, bhikkhu sabbasaṅkhāresu <b>aṭṭīyati </b>harāyati<b> </b>jigucchati. ayaṃ vuccat'ānanda, sabbasaṅkhāresu anicchāsaññā."	""	""	""	""	""	""
"1702"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1706"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1708"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1709"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1710"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1711"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1713"	"12"	"12"	""	""	"Ariy’aṭṭhaṅgika-magga"	"The Noble Eightfold Path"	"Teachings"	"Saṅgh'ābhitthuti"	"Homage to the Saṅgha"	"Homage to the Triple Gem"	"SN 22.101"	"vāsijaṭasuttaṃ"	"seyyathā'pi, bhikkhave, kukkuṭiyā aṇḍāni <b>aṭṭha</b> vā dasa vā dvādasa vā. tān'assu kukkuṭiyā na sammā adhisayitāni, na sammā pariseditāni, na sammā paribhāvitāni."	""	""	""	""	""	""	""	""	""	"04n"	""	"[sound:aṭṭha.mp3]"
"1716"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:aṭṭha.mp3]"
"1719"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1724"	"1"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:aṭṭhakathā.mp3]"
"1736"	"12"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:aṭṭhakavaggika.mp3]"
"1737"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1747"	"9"	""	""	""	""	""	""	"Ariy’aṭṭhaṅgika-magga"	"The Noble Eightfold Path"	"Teachings"	"DN 16.21"	"mahāparinibbānasuttaṃ"	"seyyath'īdaṃ, cattāro satipaṭṭhānā cattāro sammappadhānā cattāro iddhipādā pañc'indriyāni pañca balāni satta bojjh'aṅgā ariyo <b>aṭṭh'aṅgiko</b> maggo."	"Bodhipakkhiya-dhammā"	"Requisites for Awakening"	"Teachings"	""	""	""	""	""	""	"21n"	""	"[sound:aṭṭhaṅgika.mp3]"
"1754"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1762"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1774"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TH 251"	"raṭṭhapālattheragāthā"	"<b>aṭṭhapada</b>katā kesā, nettā añjanamakkhitā. 
alaṃ bālassa mohāya, no ca pāragavesino."	"Raṭṭhapāla-thera-gāthā"	"From the Elder Raṭṭhapāla"	"Verses"	"12n"	""	"[sound:coming-soon.mp3]"
"1776"	""	""	"in eight braids"	""	""	""	""	""	""	""	""	""	""	""	""	""	"TH 251"	"raṭṭhapālattheragāthā"	"<b>aṭṭhapadakatā</b> kesā, nettā añjanamakkhitā. 
alaṃ bālassa mohāya, no ca pāragavesino."	"Raṭṭhapāla-thera-gāthā"	"From the Elder Raṭṭhapāla"	"Verses"	"12n"	""	"[sound:coming-soon.mp3]"
"1786"	"12"	"12"	""	""	""	""	""	""	""	""	"SNP 13"	"ratanasuttaṃ
cūḷavaggo 1"	"ye ariyasaccāni vibhāvayanti, gambhīrapaññena sudesitāni. 
kiñ'c'āpi te honti bhusaṃ pamattā, na te bhavaṃ <b>aṭṭhamam'</b>ādiyanti."	"Ratana-sutta"	""	"Protective Recitations"	""	""	""	""	""	""	"52n"	"p"	"[sound:coming-soon.mp3]"
"1805"	"12"	""	""	""	""	""	""	""	""	""	"SN 36.22"	"aṭṭhasatasuttaṃ"	"aṭṭhārasā'pi mayā vedanā vuttā pariyāyena, chattiṃsā'pi mayā vedanā vuttā pariyāyena, <b>aṭṭhasatam</b>'pi mayā vedanā vuttā pariyāyena. "	""	""	""	""	""	""	""	""	""	""	""	""
"1821"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1828"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1842"	"12"	""	""	""	""	""	""	"Vipassanā-bhūmi-pāṭho"	""	"Funeral Chants"	"SN 36.22"	"aṭṭhasatasuttaṃ"	"<b>aṭṭhārasā</b>'pi mayā vedanā vuttā pariyāyena, chattiṃsā'pi mayā vedanā vuttā pariyāyena, aṭṭhasatam'pi mayā vedanā vuttā pariyāyena. "	""	""	""	""	""	""	""	""	""	"64n"	""	"[sound:coming-soon.mp3]"
"1849"	"4"	"4"	""	""	""	""	""	"Maṅgala-sutta"	"The Highest Blessings"	"Protective Recitations"	""	""	""	""	""	""	""	""	""	""	""	""	"51n"	""	"[sound:aṭṭhāsi.mp3]"
"1850"	""	"4"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"[sound:aṭṭhāsi.mp3]"
"1853"	"5"	"9"	""	""	"Dhamma-pahaṃsāna"	"Striving According to the Dhamma"	"Teachings"	"Dvattiṃs’ākāra-paccavekkhaṇa"	"The Thirty-Two Parts"	"Reflections"	"TH 251"	"raṭṭhapālattheragāthā"	"passa cittakataṃ rūpaṃ, maṇinā kuṇḍalena ca. 
<b>aṭṭhiṃ</b> tacena onaddhaṃ, saha vatthehi sobhati."	"Raṭṭhapāla-thera-gāthā"	"From the Elder Raṭṭhapāla"	"Verses"	""	""	""	""	""	""	"35n"	""	"[sound:aṭṭhi.mp3]"
"1854"	"18"	""	""	""	""	""	""	""	""	""	"AN 5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā akatapubbaṃ, taṃ <b>aṭṭhiṃ</b> katvā manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	""	""	""	""	""	""	""	""	""	""	""	""
"1856"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1858"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1859"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1863"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1879"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1880"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1882"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"DN 22.5"	"mahāsatipaṭṭhānasuttaṃ"	"atthi imasmiṃ kāye kesā lomā nakhā dantā taco maṃsaṃ nhāru aṭṭhi <b>aṭṭhimiñjaṃ</b> vakkaṃ hadayaṃ yakanaṃ kilomakaṃ"	"Dvattiṃs’ākāra-paccavekkhaṇa"	"The Thirty-Two Parts"	"Reflections"	"35n"	""	"[sound:coming-soon.mp3]"
"1883"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1884"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"TH 257"	"pārāpariyattheragāthā"	"sītavātaparittāṇaṃ, hirikopīnachādanaṃ.
matt'<b>aṭṭhiyaṃ</b> abhuñjiṃsu, santuṭṭhā itar'ītare."	"Pārāpariya-thera-gāthā"	"From the Elder Pārāpariya"	"Verses"	"13n"	""	"[sound:coming-soon.mp3]"
"1895"	"18"	""	""	""	""	""	""	""	""	""	"AN 5.140"	"sotasuttaṃ"	"idha, bhikkhave, rañño nāgo yam'enaṃ hatthidammasārathi kāraṇaṃ kāreti, yadi vā katapubbaṃ yadi vā akatapubbaṃ, taṃ <b>aṭṭhiṃ katvā</b> manasi katvā sabbaṃ cetasā samannāharitvā ohitasoto suṇāti."	""	""	""	""	""	""	""	""	""	""	""	""
"1904"	""	""	""	""	""	""	""	""	""	""	"SNa 35.228"	"paṭhama samuddasuttaṃ vaṇṇanā"	"yadi duppūraṇ'<b>aṭṭhena</b> yadi vā samuddan<b>'aṭṭhena</b> samuddo, cakkhum'eva samuddo."	""	""	""	"NIDD1 1"	"kāmasuttaniddeso"	"aṭṭhikaṅkal'ūpamā kāmā appassād'<b>aṭṭhenā</b>'ti passanto vikkhambhanato kāme parivajjeti"	""	""	""	""	""	""
"1905"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1913"	"18"	"11"	""	""	""	""	""	""	""	""	"VIN PAT PC 57"	"nahāna sikkhāpada"	"tatth'āyaṃ samayo, diy<b>aḍḍho</b> māso seso gimhānan'ti vassānassa paṭhamo māso – icc'ete <b>aḍḍha</b>teyyamāsā uṇhasamayo"	""	""	""	""	""	""	""	""	""	""	"p"	""
"1914"	""	"11"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1930"	"18"	""	""	""	""	""	""	""	""	""	"VIN PAT PC 57"	"nahāna sikkhāpada"	"tatth'āyaṃ samayo, diyaḍḍho māso seso gimhānan'ti vassānassa paṭhamo māso – icc'ete <b>aḍḍhateyya</b>māsā uṇhasamayo"	""	""	""	""	""	""	""	""	""	""	""	""
"1932"	"18"	""	""	""	""	""	""	""	""	""	"VIN PAT PC 57"	"nahāna sikkhāpada"	"tatth'āyaṃ samayo, diyaḍḍho māso seso gimhānan'ti vassānassa paṭhamo māso – icc'ete <b>aḍḍhateyyamāsā</b> uṇhasamayo"	""	""	""	""	""	""	""	""	""	""	""	""
"1942"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1946"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"p"	""
"1969"	"13"	""	""	""	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	"Cha sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	"DHP 265"	"dhammaṭṭhavaggo"	"yo ca sameti pāpāni,
<b>aṇuṃ</b> thūlāni sabbaso,
samitattā hi pāpānaṃ,
samaṇo'ti pavuccati."	""	""	""	""	""	""	""	""	""	"26n"	"d"	"[sound:aṇu.mp3]"
"1970"	"7"	""	""	""	""	""	""	""	""	""	"MN 104"	"sāmagāmasuttaṃ"	"passatha no tumhe taṃ vacanapathaṃ, <b>aṇuṃ</b> vā thūlaṃ vā, yaṃ tumhe n'ādhivāseyyāthā'ti?"	"Cha sāraṇīya-dhammā"	"Principles of Cordiality"	"Teachings"	""	""	""	""	""	""	"26n"	""	"[sound:aṇu.mp3]"
"1973"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SNP 8"	"mettasuttaṃ
uragavaggo 8"	"ye keci pāṇabhūt'atthi, tasā vā thāvarā vā anavasesā,
dīghā vā ye mahantā vā, majjhimā rassak'<b>āṇuka</b>thūlā."	"Karaṇīya-metta-sutta"	"The Buddha’s Words on Loving-Kindness"	"Protective Recitations"	"53n"	""	"[sound:coming-soon.mp3]"
"1977"	"8"	""	""	""	""	""	""	"Anupubba-sikkhā"	"The Gradual Training"	"Teachings"	""	""	""	""	""	""	""	""	""	""	""	""	"18n"	""	"[sound:aṇumatta.mp3]"
"1981"	"12"	""	""	""	""	""	""	""	""	""	"SN 22.101"	"vāsijaṭasuttaṃ"	"seyyathā'pi, bhikkhave, kukkuṭiyā <b>aṇḍāni </b>aṭṭha vā dasa vā dvādasa vā."	""	""	""	""	""	""	""	""	""	""	"e"	"[sound:aṇḍa.mp3]"
"1983"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1986"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"1993"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2004"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Thai"	""	"buddho susuddho karuṇāmah'<b>aṇṇavo</b>, yo'ccantasuddhabbarañāṇalocano, lokassa pāp'ūpakilesaghātako"	"Ratanattaya-paṇāma"	"Salutation to the Triple Gem"	"Homage to the Triple Gem"	"05n"	""	"[sound:coming-soon.mp3]"
"2005"	""	""	""	""	""	""	""	""	""	""	"SN 12.63"	"puttamaṃsūpamasuttaṃ"	"tam'enaṃ pubb'<b>aṇha</b>samayaṃ sattisatena haneyyuṃ. atha rājā majjh'<b>anh</b>ikasamayaṃ evaṃ vadeyya, ambho, kathaṃ so puriso'ti?"	""	""	""	""	""	""	""	""	""	""	"e"	""
"2006"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2007"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2011"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2012"	""	""	"relentless"	""	""	""	""	"Bhadd’eka-ratta"	"A single Excellent Night"	"Verses"	""	""	""	""	""	""	""	""	""	""	""	""	"16n"	""	"[sound:coming-soon.mp3]"
"2013"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"Trad"	""	"etā pi buddhajayamaṅgalaaṭṭhagāthā, yo vācano dinadine sarate'm'<b>atandī</b>, hitvān'anekavividhāni c'upaddavāni, mokkhaṃ sukhaṃ adhigameyya naro sapañño"	"Jaya-maṅgala-aṭṭha-gāthā"	""	"Protective Recitations"	"60n"	""	"[sound:coming-soon.mp3]"
"2024"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2025"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2028"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2029"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"SN 35.228"	"paṭhama samuddasuttaṃ"	"yo taṃ rūpamayaṃ vegaṃ sahati, ayaṃ vuccati, bhikkhave, <b>atari</b> cakkhusamuddaṃ saūmiṃ sāvaṭṭaṃ sagāhaṃ sarakkhasaṃ."	""	""	""	""	""	""
"2031"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2032"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2034"	""	""	""	""	""	""	""	""	""	""	""	""	"suvaco c'assa mudu, an<b>'ati'</b>mānī
so vo mam'<b>acc</b>ayena satthā"	""	""	"Prefixes"	""	""	"<b>ati</b>sītan'ti, <b>ati</b>uṇhan'ti, <b>ati</b>sāyan'ti, <b>ati</b>pāto'ti, <b>ati</b>chāto'smī'ti, <b>ati</b>dhāto'smī'ti
aṭṭīyati harāyati jigucchati attānaṃ'y'eva <b>ati</b>sitvā
<b>atī'</b>tam'p'āhaṃ addhānaṃ evam'eva rūpena khajjiṃ"	""	""	""	"99n"	""	"[sound:coming-soon.mp3]"
"2037"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2054"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"e"	""
"2055"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"PAT PK"	"dhammayuttika-pubbakicca"	"iminā pakkhena, eko uposatho sampatto, eko uposathā <b>atikkantā</b>, cha uposathā avasiṭṭhā."	"Pubbakicca"	"Preliminary duty"	"International Pātimokkha"	"80n"	"p"	"[sound:coming-soon.mp3]"
"2060"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2065"	"23"	""	""	""	""	""	""	""	""	""	"DHP 191"	"buddhavaggo"	"dukkhaṃ dukkhasamuppādaṃ, dukkhassa ca <b>atikkamaṃ</b>, ariyañ'c'aṭṭh'aṅgikaṃ maggaṃ, dukkh'ūpasamagāminaṃ."	"Khem’ākhema-saraṇa-gamana"	"Going to True and False Refuges"	"Verses"	""	""	""	""	""	""	"08n"	""	"[sound:coming-soon.mp3]"
"2068"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2070"	"20"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2076"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2079"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2082"	""	"8"	""	""	""	""	""	""	""	""	"SN 56.11"	"dhammacakkappavattanasuttaṃ"	"ayañ'ca dasasahassī lokadhātu saṅkampi sampakampi sampavedhi appamāṇo ca oḷāro obhāso loke pāturahosi <b>atikkamm</b>'eva devānaṃ dev'ānubhāvaṃ."	"Dhammacakkappavattana-sutta"	"The Discourse on  Setting in Motion The Wheel of Dhamma"	"Cardinal Suttas"	""	""	""	""	""	""	"37n"	""	"[sound:coming-soon.mp3]"
"2083"	""	"8"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"2085"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
