id	ru_meaning	ru_meaning_raw	ru_meaning_lit	ru_notes
10681	не нарушающий слова; соблюдающий обещаний; не обманывающий			
10683	не нарушение слова; соблюдение обещаний; отсутствие обмана			
10687		не распространенный; не беспорядочный; не разогнанный; не растекающийся		
10690		не отполированный; не улучшенный; не очищенный;не обработанный		
10693	не избавившись; не отказавшись			
10694		недоверие; недоверчивость; недоверчиво		
10696	нераскрытый; неразоблаченный			
10699	не спорящий; не ссорящийся			
10702	гармония; согласие; отсутствие спора; без ссоры			
10705		небесное царство; рай; сверхъестественная сфера; духовная область.		
10706		эпитет класса дев; эпитет девического существа; определение для группы дев; характеристика девять.		
10707	не раздраженный; не обеспокоенный; не расстроенный; не тревожащийся		не страдающий	
10712		несуровый; недоставляющий боли; немучительный; безжестокий		
10713	не насилие; не жестокость; не причинение вреда			
10718	намерение о не причинении вреда; мышление без жестокости			
10720	безобидное мышление; о не причинение вреда			
10730	один из великих адов		без паузы; не прерываемый	
10731	не без; не свободный (от)			
10733	не свободный от желания; не свободный от страсти; не без жажды			
10734		не свободен от ненависти; не свободен от злобы; нелишен ненависти; нелишен злобы;		
10735		нет свободы от заблуждения; не свободен от путаницы; не свободен от смятения; не свободен от путаницы;		
10736	не свободный от желания (к); не без похоти (к); не Архат			
10737	не проступок; отсутствие нарушения; не преступление		не переход границы	
10740	который не преодолел; не освободился (от); не пройденный			
10741		бессильный; неэффективный; без влияния; без силы		
10742	нечистый; грязный			
10744		бездождевой; без осадков; без дождя; без проливных дождей		
10746		не поднялся (с); не вставал (с); букв. не встал; не встал (из)		
10747		не сказано; не рассказано; не высказано; неупомянуто		
10755	не уединенный; не изолированный; не одинокий		не убранный	см. SсPN §5
10756	не успокоенный; не умиротворенный			
10757		с беспокойным умом; с неуспокоенным сердцем; с возмущенным сознанием; с нарушенным внутренним состоянием		
10758	волнение; беспокойство; расстройство			
10761	видит; считает; полагает		смотрит вниз (на)	
10762		показывает; указывает; презрительно смотрит; обращает внимание		
10764	видящий; рассматривающий; считающий; полагающий		смотрящий вниз (на)	
10765	ты сам должен видеть; считать; полагать		смотри вниз на!	
10771	полностью; совершенно		проходя (в); (комм) понимая; постигая	
10775		с абсолютной ясностью; обладающий безусловной верой; совершенно ясно; имеющий абсолютную веру		
10777	идеальная ясность; абсолютная вера; непоколебимая уверенность; эпитет Вхождения в Поток			
10780	без чувства; свободный от ощущений			
10783		знали; постигали; испытывали; понимали		
10784		Поняли; осознали; испытали		
10786		не дрожащий; не взволнованный; не обеспокоенный; не смущенный		
10788	мирный; мягкий; дружелюбный; не враждебный			
10789	доброта; дружелюбие		не ненависть	
10790	с добрым умом; с доброжелательным умом		с умом без ненависти	
10791	дружелюбный; свободный от вражды; без ненависти			
10794		не отклоняясь; не расходясь; не сбиваясь		
10795	сказал			
10796		сказал я; произнес я; изрек я		
10799	они сказали			
10819		названного; имеющего имя; называемый		
10827		приглашение на еду в дом; букв. призыв; воззвание		
10828		призывает; приглашает; созывает; зовет		
10832	день			
10833		день; сутки; период		
10834	сотворение 'я'; самоидентификация; эгоизм; идея личности			
10836	сотворение 'я', сотворение 'моё' и скрытая тенденция к само-сравнению			
10837	свободный от создания 'я', создания 'моё' и гордыни			
10839		и я; и мне; и меня; и мной		
10840	если я			
10841	если бы я именно; если бы я только			
10842		Я и даже; я также как; я вместе с; я также.		
10843	только я один; просто я			
10844	я действительно; я конечно			
10850		вне досягаемости руки; вне пределов руки; вне дальности руки; за пределами рук;		
10853	'я'			
10854		Я в стороне ; Я отдельно ; Я вне ; Я кроме		
10855	я есть			
10856		Я одинаков; Я даже; Я-то; Я сам		
10857	я тоже почтенных; я также почтенным			
10858	я тоже			
10859		Я истинно; верно я; я действительно; я в самом деле		
10868	я			
10869		я один из них; я один из тех; я один из них; я из их числа		
10871		восприятие себя и других через призму обладания и определения; тенденция к сравнению и оценке;		
10876	не пренебрегая; не упустив; не опустив			
10878	уменьшился; истощился; убавлился; исчезнул			
10879		невозможно забрать; неворуемо; недоступно для кражи; не подлежит похищению.		
10882	привез; перенес; доставил			
10883	обокрал; украл; взял			
10884	змея			
10887	труп змеи; мертвое тело змеи			
10890	нехороший; невыгодный; вредный			
10892	вред; урон; недостаток; неудача			
10893	не доброжелательный; не желающий благо		не желающий пользы	
10894		не сочувственный к благополучию; безразличный к благу; не заботящийся о благе; не интересующийся благом		
10895	неблагоприятный (для); вредный (для)		для вреда	
10901		королевская семья змей; царская династия змей; дворецкий род змей; княжеский клан змей		
10903	бесстыдный; бессовестный			
10909		бесстыдство; нахальство; бесстыдное состояние		
10910	бессовестный; не имеющий совесть			
10912		змеи и скорпионы; гадюки и скорпионы; змеи и ядовитые насекомые		
10914	безобидный; гуманный			
10917	ненасилие; безвредность			
10919		полностью функциональные факультеты; не имеющий дефектов в каком-либо смысле.		
10921	был			
10922		Был я сам себе; был я самому себе; я сам себе был; сам себе я был		
10923	день			
10927		был только; имелось только; существовало всего; наступило только		
10928	вы были			
10929	был; существовал			
10930		взрыв смеха; громкий смех; хохотание		
10931	(используется для обращения к равным) друг; милый; дорогой и т.д.			
10933	не причиняющий ущерб; не вредящий; не беспокоящий			
10934	не причиняющий вреда; не вредящий; не беспокоящий			
10935	беспричинный; без основы			
10939	беспричинный; без основания			
10942	(сторонник) доктрины беспричинности			
10943		ученик не-причинности; теория о том, что ничто не имеет причины; доктрина некаузальности; утверждение непричинности		
10944	мы были			
10945	они были			
10947		да, точно так!; конечно, это должно быть!; не могу поверить, что это не так!; ого, точно!		
10948	(выражение желания) о, может! если бы только!			
10949	(выражая презрение) ну ты что!; ты прекрасный пример!			
10950		день; сутки; светлое время суток; солнечное время;		
10951	ой! о, Боже!			
10952		верно; действительно; истинно; точно		
10953	день и ночь			
10955	постоянно энергичный; непрерывно прилагающий усилие; усердный днем и ночью			
10956	днем и ночью; постоянно; всегда			
10957		прохождение дней и ночей; истечение времени; течение дней и ночей; ход времени		
10958	тренирующийся днем и ночью; непрерывно практикующий			
10960	постоянно; днем и ночью			
10961	был; существовал; стал			
10964	я был			
10967		клешня; клешне; клешень; клешней		
10970	доля; часть; раздел			
10971		сторона; асимметричная часть; аспект; грань		
10972	плечо; лопатка			
10975		лопатка; плечевая кость; плечо; лопаточныйкостный		
10981	геморрой			
10987	усилитель; вперед; назад			
10988	желает; хочет; стремится; мечтает			
10990	желающий; хотящий; стремящийся (к)			
10991	желающий; ищущий			
11000		вытаскивает; тащит; тащит прочь; потягивает		
11001		тянет; тащит вперёд; подтягивает; притягивает.		
11006		потянув (к); проводя (к); сопровождая (к); таща (к)		
11013	манеры; поведение			
11015		кто ведет себя правильно; с хорошим поведением; с соответствующим поведением; (комм) с монашеским поведением.		
11022	способ; манера; метод		образ действия	
11023	аспект; грань; деталь; свойство; качество; атрибут			
11025		причина; доказательство; улика; основание		
11033	образ мышления; метод исследования; способ рассуждения			
11036		имеющий обоснованные причины; подкрепленный доказательствами; с причиной; укорененный; букв. обладающий методичным качеством		
11039	открытое пространство; пустота			
11040	небо; воздух			
11041	открытый воздух; открытое место			
11042	пространство			
11043		окружение; атмосфера; влечения; жажды;		
11044	касина пространства; тотальное пространство; медитация основанная на пространстве			
11046	полый; пустой; незаполненный		состояние пространства	
11047	атмосферный; относящийся к небу			
11055		в воздухе; букв. стоящий в пространстве; нависая; паря;		
11058	пространство; элемент пространства		состояние пространства	
11060	как открытое пространство; как пустое пространство			
11062	измерение бесконечного пространства; сфера бесконечного пространства			
11064	зависящий от сферы бесконечного пространства; основанный на измерении бесконечного пространства			
11067		восприятие бесконечного пространства; осознание измерения бесконечного пространства		
11068		осведомлен о измерении бесконечного пространства; воспринимающий измерение бесконечного пространства		
11069		достижение бесконечного пространства; понимание бесконечного измерения пространства		
11074		перешёл в измерение бесконечного пространства; эпитет класса девов;		
11076	с ничем; пустой; незанятый			
11077	небытие; пустота; отсутствие всего			
11079	сфера отсутствия всего; сфера небытия; измерение пустоты			
11081	зависящий от сферы отсутствия всего; небытия; основанный на измерении пустоты			
11085		восприятие измерения ничтона; осознание измерения ничтона; восприятие пустотности; осознание пустотности		
11086		осведомлен о измерении ничто; воспринимающий измерение ничто; чувствующий размер ничто; воспринимающий размер ничто.		
11087		полезно для измерения ничто; поддерживающее для основы ничто;		
11088		достижение измерения ничего; достижение сферы пустоты; достижение измерения пустоты; достижение области пустоты		
11095		перешел в измерение ничтонасть; эпитет класса девов; погрузился в измерение ничего; находится в измерении ничтонасть.		
11098		переполненный; окруженный; заставленный; забитый		
11100		полный людей; переполненный людьми; заполненный людьми; народное море		
11105	возбуждает; поднимает		разбрасывает вокруг	
11107		наполняя; наваливая; складывая; насыпая		
11109	разбрызгав; разбросав; разложив			
11119		бить; толкатель; обитатель колокольчика; божество		
11120		избиение; избивание; битьё		
11122		устойчив к удару; может быть избит; способен выдержать удар;		
11124	побуждает бить; заставляет выбивать; побуждает колотить			
11125		избитый; измученный; избитые; разбитый;		
11127		поколотые спереди и сзади; избитые в обе стороны; разбитые туда и обратно; ударенные разными способами		
11128	ударяет; пинает; тычет			
11131		постучал; постучал; постучал; постучал		
11143	приходит; прибывает			
11144	приближается; подходит			
11145	возвращается; приходит назад (в)			
11146		приходит; течет; идет		
11147	происходит; случается		приходит	
11149	подходящий; приближающийся; прибывающий			
11151		прибыл; пришел; присоединился; достиг;		
11152	может прийти; мог бы прибыть			
11154		гость; посетитель; прибывший; приезжий		
11155	приход; прибытие			
11156	пришедший; прибывший			
11157	ставший; вступивший (в состояние)			
11158	(о писании) перешедший по традиции; переданный			
11159		настоящее; имеющийся; текущий; пришедший		
11164		достигший плода; эпитет вступившего в поток; дословно: пришедший к плоду; обозначение вступившего в поток.		
11167	мы пришли; мы прибыли		мы являемся прибывшими	
11172	получивший писания; наследник традиции		пришедшие вниз писания	
11173	приход; прибытие; возвращение			
11174	приход и уход (в перерождениях); прибытие и отбытие			
11175		ты пришел; ты прибыл; ты явился		
11177		прибывший; пришедший; гость; посетитель		
11178	возвращенец; кто возвращается назад (к)			
11179	гость; новичок; новоприбывший; незнакомец		прибывший	
11180	(о разговоре) не связанный; случайный; неожиданный		прибывший	
11188	прибыв; подойдя; возвратившись			
11189	священное писание; религиозный текст; канон			
11190		возникновение; результат; исход; букв. прибытие		
11193	приход; приближение; появление; наступление			
11194		возвращение; возвращаясь; возврат; возвращая;		
11201		ожидая; в ожидании; в ожидании; ожидая		
11206	я сам пришел			
11207	пришел (к); прибыл (в)			
11208	вы сами пришли			
11212	это придет; это произойдет			
11213		придет (к); прибудет (в); приблизится (к); подойдет (к);		
11217	ждет; ожидает			
11224	подходя; приходя; приближаясь			
11225	по отношению (к); связано (с); касательно			
11228	пришел; приехал			
11229	кто возвращается; кто идет назад			
11233		домашний; касающийся жилища; принадлежащий к дому;		
11235		жесткий; грубый; строгий; суровый		
11236		устал; болит; напряжен; напрягает		
11239	преступление; проступок			
11240	преступник; нарушитель		совершивший проступок	
11241		совершает преступление; совершает правонарушение; совершает проступок; виновен		
11242	раздражение; гнев			
11246	место исполнения наказаний; площадь для казни		казнь	
11248		расположенный рядом с местом казни; близкий к месту казни; прилегающий к исполнению; около места казни		
11250		удаление досады; развеивание раздражения; букв. вывод гнева; дисциплинирование раздражения;		
11274	накопление; увеличение; сбор; рост			
11279		увеличение и уменьшение; накопление и убывание; увеличение и снижение		
11280		действует; поведение; выполняет; делает		
11283	совершённый; выполненный; который практиковал			
11284		хотящий заниматься; стремящийся к удовольствиям; желающий удовлетворяться; склонный к индульгенции		
11288	учитель; духовный наставник			
11289		наставник; учитель; преподаватель; ментор		
11290		учитель; наставник; тренер; ментор		
11292		принадлежащий учителю; школьный; учительский; принадлежащий к школе		
11293		учение; учительская доктрина; традиционное учение; традиционное наставничество.		
11294		учительский род; дом учителя; линия учителей		
11296		позиция учителя; место духовного лидера; должность наставника; место духовного руководителя.		
11297		оплата учителю; гонорар учителя; богатство учителя; вознаграждение учителю		
11298		учитель и ученик; мастер и ученик; наставник и подмастерье; учитель и ученица		
11300	учитель и учителя учителя; нынешние и бывшие учителя			
11301	жена учителя			
11307		учитель как предлог; преподаватель в качестве предлога; учитель в качестве отговорки; учитель под видом;		
11317		питающийся рисовой водой; потребляющий отстой из горшка; употребляющий остатки риса; едящий отходы из посуды.		
11319	поведение; поступок; практика			
11320		обычай; норма; социальное соглашение; вежливое поведение		
11323	воспитанный; кто ведет себя прилично		умелый в поведении	
11324	хорошими манеры и пригодные места		поведение и пастбище	
11325	тот кто обладает хорошими манерами и знает пригодные места			
11331	рассказ; информирование; объяснение			
11332	рассказывает; информирует; говорит; описывает			
11333	описывает; указывает; показывает			
11334	рассказ; информирование; объявление			
11335		сообщающий; излагающий; объясняющий; рассказывающий.		
11337		сказал; обучил; учил; сообщил		
11338		поведал; оповестил; известил; донес		
11339		объяснено; описано; указано; продемонстрировано		
11340		следует сообщить; должно быть передано; необходимо уведомить; лит. для того, чтобы сообщить		
11342	объяснять; описывать; показывать; демонстрировать			
11345	о котором проинформировал (кто-то); о котором говорил (кто-то)			
11346		обычай; привычка; практика; обыкновение		
11352	накапливающий; аккумулирующий; собирающий			
11353	накапливает; собирает; копит			
11360	породистый; хорошего рождения			
11362		колесница чистокровных (лошадей); элитная колесница (лошадей); карета высокопородных (лошадей); элитная карета (лошадей)		
11363		быстрое течение; пороги; поток		
11365		понимание; постижение; осмысление		
11368	знающий; понимающий			
11369		зная; понимая; осознавая		
11370	знает; понимает			
11371		узнает; учится; понимает; осознает		
11374		знать; понимать; разуметь; осознавать		
11376		чистокровный; хорошо выведенный; высококачественный; породистый		
11377	породистый; высокородный			
11379		размышление о чистокровной лошади; контемпляция знатной лошади; медитация дворянина; созерцание дворянина		
11380		Место подходящее для черных кобыл; позиция, подходящая для высокопородистых;		
11381		пища, подходящая для аристократов; еда, соответствующая благородным; еда, пригодная для знатных; блюда, пригодные для достойных		
11384	обладающий безупречными качествами; обладающий благородным характером		имкющий породу	
11386		рождается; происходит рождение; возникает		
11387	средства к существованию; образ жизни			
11388	Адживака; аскет; член отреченной секты; (комм) обнаженный аскет		(следующий определенным) средствам к существованию	
11389		сто аскетов адживаки; (общ) сто образов жизни адживаков; одиннадцать сот аскетов адживак; сто образов жизни адживаков		
11395		женщина Адживаки; женщина аскетка; женщина члена общины отрекшихся		
11403		аскет; член отрекающегося секты; (общ) обнаженный аскет; букв. (следующий определенному образу) средство к существованию.		
11406	зарабатывающий на жизнь			
11420	свобода от долга; состояние без долгов			
11421		приказанный; распоряженный; установленный; предписанный		
11427	приказ; команда; руководство			
11436		командует; приказывает; направляет; причиняет знание		
11438		повелев; приказал; уведомив; познав;		
11439		приказал; распорядился; указал; предписал		
11441	гвоздь; колышек			
11442		осевой штифт; втулка оси; узелок оси; втулка рычага		
11449	болезнь			
11454	солнечный свет; жар солнца			
11459	усердие; старание		должен сгореть	
11467		посвящен практике самобичевания и самоистязания; преданный практике самобичевания и пыток		
11470	усердный; активный; решительный; с непрерывным усилием		горящий	
11472		мучит; пытает; причиняет страдание; вызывает жар;		
11473	нагревает			
11477	я; сам; личность; индивидуум			
11483	больной; нездоровый			
11484	с больным телом; физически нездоров			
11485	умственно больной; психически нездоровый			
11490	становится больным; становится охрипшим			
11496		колдовство; ведовство; магия		
11498	принятие; получение			
11503	почет; уважение; почтение; честь			
11507	должен быть принят; должен быть включен; может быть встроен; должен быть применен			
11508	берущий; кто берет			
11511	взятие; хватание; удержание			
11512		еда; приемпищи; потребление; кушанье		
11513		жажда обладать; желание получить; стремление иметь		
11515	поднятие и опускание; взятие и сбрасывание			
11516	отказ от привязанности; отказ от (всего к чему) цепляется			
11518		прилипший к хватанию; увязший в хватании; замешанный на хватании		
11521	уносит		забирая уходит	
11522	беря			
11523	принимая			
11524	держа; неся; имея			
11525	признавая; учитывая; согласуясь (с); в соответствии (с)		принимая	
11528	тот кто берет; кто хватает			
11529	зеркало; отражатель; рефлектор			
11534	начало			
11535	и тому подобное; и так далее		начиная (с)	
11537	основной (для); необходимый (для)		начинающийся	
11544	хороший в начале; благой с начала; восхитительный в начале			
11546	солнце			
11547	небо		путь солнца	
11548	родственник Солнца; эпитет Будды			
11556	с самого начала			
11557	пылающий; раскаленный			
11558	пылающий; горящий; в огне			
11559	чья одежда горит; с горящей одеждой			
11561		пылающий; горящий; в огне		
11565	с пылающей головой			
11570		взорваться; порвать; расколоться; разорваться		
11575		со спелыми стручками; с разрывающимися семенами; с покрытыми оболочкой семян		
11578	основополагающий для святой жизни; неотъемлемый от духовного пути			
11580	основной для святой жизни; необходимый на духовном пути			
11585		самое начало; самом начале; начала же; совсем первые		
11586		поднятие; взятие; удержание; захват		
11587	заслуживающий порицания		кому следует указать (на ошибку)	
11588	берет; хватает; принимает			
11589	крадет; берет			
11592		кража; похищение; воровство; захват		
11595	берущий; хватающий; ворующий			
11602		украл; похитил; утащил; умыкнул		
11605	взяв; схватив			
11606		должен взять; необходимо украсть; должен украсть; следует взять		
11608	характера; качества; вида; связаный с			
11609		указывает; объясняет; раскрывает; показывает		
11610		представляет; посвящает; передаёт; дарует		
11615		предложение; представление; посвящение; дарение		
11616	относительно; касательно; об		указывая	
11617	заслуживающий порицания		кому следует указать (на ошибку)	
11624		поглощение; кормление; питание; принятие пищи		
11627	опасность (в); недостаток			
11628		недостаток; ущерб; неудовлетворительность; недостаточность		
11630	видящий опасность; осознающий негативные последствия; понимающий угрозу			
11634	распознавание опасности; восприятие недостатков			
11638	наблюдающий недостаток (чего то); созерцающий опасность (в)			
11639		в огне; горящий; загоревшийся; вспыхнувший		
11642	(вторая часть вопроса) или?; или скорее?			
11643	берет; хватает			
11644		крадет; грабит; кража		
11662	скорбь; плачь; рыдание			
11664	скорбь; плачь; рыдание			
11666	скорбь; плач; рыдание		печальное состояние	
11668	сосуд; контейнер; ведро			
11669	размещение; расположение; укладка; (комм) сильно		размещение здесь	
11673	(о взглядах) крепко держащийся; стиснувший		схватывающий то, что помещено	
11674	кладя (на); размещая (на)			
11675		поддержка; стойка; держащийся вверх; удерживая;		
11687	правление; власть; председательство			
11689	влияние; власть; определяющий фактор; руководящий принцип		управление	
11701	дыхание; вдох			
11702	литавры; тимпан			
11706		удовольствие от отсутствия долгов; счастье отсутствия долгов; радость отсутствия долгов; благополучие отсутствия долгов.		
11709	незамедлительный; без задержки; без интервала; с безотлагательным результатом			
11717	счастье; радость			
11718	имя помощника Будды; великий ученик Будды; лучший ученик в обучении, памятовании, поведении, решимости и помощи		счастливый	ему принадлежат стихи Тхерагатхы 1017-1053 (TH17.3, TH260).
11754		приводит; вернет; тянет; тащит		
11758	вдох и выдох; дыхание			
11764	внимание во время вдоха и выдоха; осознанность вместе с дыханием			
11765	посвятивший себя развитию внимания к вдоху и выдоху; занимающийся взращиванием осознанности к дыханию			
11766	устойчивость ума от внимания к вдоху и выдоху; неподвижность ума от внимательности к дыханию			
11773		ягодицы; зад; икра; поясница		
11774	выгода; польза; преимущество; благоприятный результат			
11775		для пользы; ради выгоды; во благо; на пользу		
11780	приведенный; принесенный; доставленный			
11785		ведомый; приводимый; брошенный		
11787		жалкий; скорбный; печальный		
11793		постепенно развивающийся разговор; пошаговая инструкция; систематический разговор; прогрессивное обучение		
11794		постепенность; прогрессия; последовательность		
11795		постепенно развивающийся разговор; систематичное обсуждение; пошаговая инструкция		
11796	великолепие; величие; пышность; роскошь; величественность			
11797	сила; способность; возможность			
11798		сверхъестественная сила; ментальная способность; психическая способность; экстрасенсорная мощь.		
11805	неподвижность; недвижимость; невозмутимость			
11806	неподвижный; невозмутимый; спокойный			
11810	невозмутимый; уравновешенный; непоколебимый		достигший неподвижности	
11813		способствующий неопределенному состоянию; благоприятный для неопределенности.		
11817		сосредоточенный на неизменном состоянии; нацелен на непоколебимое; устремлен на непоколебимое; обращенный к непоколебимому		
11819		перерожденный в невозмутимом состоянии; направлен к невозмутимому; ведущий к непоколебимому; стремящийся к несмущаемому.		
11822		приводит; приносит; ведет; доставляет		
11824		принеся домой; доставив; приведя; принеся		
11827		привели; взяли; вели; перенесли		
11828		вода; жидкость; жидкое вещество; влага		
11829		критикующий воду; находящий недостатки воды; осуждающий воду		
11833		отталкивающий воду; испытывающий отвращение к воде; омерзительный воде		
11835	испытывает; переносит; получает (удовольствие); страдает (от боли)			
11836	пробуждает; обнаруживает; производит; проявляет			
11837	занимается; вовлекается			
11838	(о проступке) совершил; дошел до			
11839	побуждает; оказывает влияние; вызывает; влечет за собой			
11846	пробуждающий; обнаруживающий; проявляющий			
11849		пережил; столкнулся (с); испытал; подвергся		
11850	(о проступке) совершил; дошел до			
11851	вовлеченный (в)			
11852	должен быть пробужден; следует обнаружить; можно выпустить; должен появиться на свет		может быть достигнутым	
11853	кто занимается; кто совершает			
11854		испытать; достичь; произвести; обрести		
11855	(о проступке) совершив; дойдя до			
11858		магазин; рынок; торговля; базар		
11859	название города в Бенгалии		рынок	
11860		название города в Ангуттарапе; букв. рынок; название города в Ангуттарапе; досл. рынок		
11868	как воду; из жидкости; кроме воды			существительные из mano-группы, несмотря на то, что они являются средним родом в санскрите, рассматриваются как мужской род согласно классической грамматике пали, такой как Садданити
11869		водность; жидкость; состояние воды; элемент воды		
11870		нарушение, относящееся к другому классу проступков; нарушение, входящее в другой класс прегрешений		
11871	дело о нарушении; вопрос о проступке			
11873	вхождение; заход; вход			
11874	(виная) нарушение; проступок			
11876	(виная) связанный с нарушением; связанный с проступком			
11877	(виная) виновный в нарушении; совершивший проступок; нарушающий			
11881	исповедь в проступке; акт признания нарушения			
11882		нарушений предписаний; группа проступков; категория проступков; собрание проступков		
11884	кто полон проступков; кто имеет обыкновение нарушать			
11885	опасность нарушения; боязнь проступка			
11888		преступление в качестве предлога; проступок в качестве оправдания; нарушение в качестве повода; нарушение как предлог		
11889		воспринимающий (что-то) как нарушение; воспринимающий (что-то) как преступление		
11895		совершивший проступок; впавший в неправильное поведение; нарушивший; погрязший в грехе		
11897		для экстренного случая; букв. для случая несчастья; для обеспечения несчастья; на случай беды		
11898	невзгоды; несчастье; бедствие			
11900	впавший (в); вошедший (в); встретившийся (с); вовлеченный (в)			
11901	обладающий; наполненный		пришедший	
11902		совершенный; совершил; попавший; допущенный		
11903	(о монахе) совершивший; дошедший до (проступка)			
11906		Я совершил (преступление); Я это сделал; Я виновен; Я сделал это.		
11907		хвалящий воду; одобряющий воду; прославляющий воду		
11909	побуждающий достичь; делающий			
11910	вода; жидкость			существительные из mano-группы, несмотря на то, что они являются средним родом в санскрите, рассматриваются как мужской род согласно классической грамматике пали, такой как Садданити
