id	lemma_1	meaning_1	meaning_1_corrected
41129	paṭṭhapana 1	laying down; putting forward; setting out	exposed; set forth; put forward; laid down
41423	paṭhamasuttaṭīkā	sub-commentary of the first discourse (in)	sub-commentary of the first discourse
41498	paṭhamābhisitta	first coronated; first inaugurated	first crowned; first inaugurated
41604	paṇḍicca 1	wisdom; intelligence; erudition knowledgeability	wisdom; intelligence; erudition and knowledgeability
41606	paṇḍiccā	wisdom; intelligence; erudition knowledgeability	wisdom; intelligence; erudition and knowledgeability
41715	patāresi	made cross; forced to cross	made to cross; forced to cross
41744	patiṭṭhahati 1	establishes; establish somebody in something; sets up	(in debate) asserts one's position
41745	patiṭṭhahati 2	(in debate) asserts ones position	(in debate) asserts one's position
41751	patiṭṭhahissa	would have established; would have sets up	would have established; would have set up
41979	pattheti	wishes (for); aspires (for); craves (for); sets ones heart (on)	wishes (for); aspires (for); craves (for); sets one's heart (on)
41981	patthenta	aspiring (for); setting ones heart (on)	aspiring (for); setting one's heart (on)
42292	panasapālaka	guardian of jackfruit tress	guardian of jackfruit trees
42310	panāḷī 1	part of a wheel; ?? spoke	part of a wheel; spoke
42318	panujja	dispelling; driving out; rejecting; pushing away	being driven away; being expelled; being forced away
42654	pamatta 1	careless; heedless; negligent; inattentive	to be careless; to be heedless; to be negligent; to be inattentive
42759	pamocayi	set free; liberated (something with)	set free; liberated (something)
42785	payapeti	causes to set out; makes begin the journey	causes to set out; makes begin a journey
42892	paracittavidū	who know the mind of others	who knows the mind of others
42899	parañca	and the next; and the one after	the next; the one after
42913	paradattavutta	dependent on the donations of others for one's livelihood; living on other's generosity	dependent on the donations of others for one's livelihood; living on others' generosity
42915	paradavutta	dependent on the donations of others for one's livelihood; living on other's generosity	dependent on the donations of others for one's livelihood; living on others' generosity
43046	parassapadatta	(gram) state of being active voice	(gram) state of being in active voice
43099	parānuvāda	blame by other people; criticizm by others	fear of criticism by others; danger of blame by other people
43100	parānuvādabhaya	fear of criticizm by others; danger of blame by other people	fear of criticism by others; danger of blame by other people
43237	parikkhāra 3	prerequisite; requirement; necessary constituent	moderation in requisites
43238	parikkhāraṭṭhāna	position of being a assistant	position of being an assistant
43239	parikkhāramattā	?? moderation in requisites	moderation in requisites
43240	parikkhārika	possessing the requisite items	position of being an assistant
43410	pariññātindriyaparopariyatta	having understood the superior or inferior state of the faculties (of); having known the good of bad condition of the faculties	having understood the superior or inferior state of the faculties (of); having known the good from the bad condition of the faculties
43524	paridahituṃ	to wear; to dress; to cloth oneself (in)	to wear; to dress; to clothe oneself (in)
43579	parinibbāna 1	(of mental defilement) complete quenching; total excetinguishing; complete cooling	(of mental defilement) complete quenching; total extinguishing; complete cooling
43607	parinetvā	having led around; having escorted (from to)	having led around; having escorted (from ... to)
43737	paribbajati 1	wanders around; roams about; lives ones life; lives the life of a homeless renunciant	wanders around; roams about; lives one's life; lives the life of a homeless renunciant
43799	paribhāsikā	(women) who abuses; who insults; who reviles	(women) who abuse; who insult; who revile
43886	parimaddāpeti	makes rub; causes to massage	causes to rub; causes to massage
43955	pariyādiyati 2	gets used up; becomes exhausted	is used up; becomes exhausted
44298	parivisi	(of food) served; waited on; offered (somebody with)	(of food) served; waited on; offered (to somebody)
44300	parivīmaṃsati	thoroughly investigates; complete examines	thorough investigation; complete examination
44396	parūpavāda	blame by others; others' criticizm	others' criticism; blaming other people
44397	parūpārambha	criticizm of others; blaming other people	criticism of others; blaming other people
44579	pasaṭa 2	scattered; strewn; wide spread; displaced	scattered; strewn; wide-spread; displaced
44703	pasīdati 4	settles down; subsides; calms down (on)	settles down; subsides; calms down
44940	pavāheti 1	causes to be removed; makes carry away (from); washes away	causes to be removed; makes it be carried away (from); washes away
44981	pavivittasukha	pleasure separated (from)	pleasure of being separated (from)
44997	pavuṭa	?? wind; (comm) knot	wind; (comm) knot
45011	paveṇiāgata	handed down by the tradition	handed down by tradition
45070	pahassamāna	being pleased with oneself; being elated; being thrilled; (comm) (or) laughing with the teach showing	being pleased with oneself; being elated; being thrilled; (comm) (or) laughing with the teacher's showing
45243	pācāpayanta 1	causing to torture; making torment	causing torture; inflicting torment
45273	pācenta	causing to torture; making torment	causing torture; inflicting torment
45333	pāṭihāriyapakkha	extra-ordinary observance day	extraordinary observance day
45431	pātimokkhapariyāpanna	included in the Patimokkkha; contained in the monastic precepts	included in the Patimokkha; contained in the monastic precepts
45619	pāpamakkhī	who slanderers badly; who badly denigrates other's worth	who slanders badly; who badly denigrates another's worth
45644	pāpasupina	bad dream; nightmare	of bad conduct; misbehaving
45684	pāmaṅga 1	?? chain; necklace	chain; necklace
45764	pārājikāpatti	expellable offence; offense entailing expulsion	expellable offence; offence entailing expulsion
45775	pārāyanasamāgama	?? meeting regarding the Way to the Far Shore ?? scripture regarding the Way to the Far Shore	meeting regarding the Way to the Far Shore; scripture regarding the Way to the Far Shore
45943	pāvuraṇa 3	wearing an overgarment; with a outer cloak	wearing an overgarment; with an outer cloak
46059	piṇḍapātahetu	for the sake of alms food	for the sake of alms-food
46071	piṇḍāya	for alms; to collect alms food	for alms; to collect alms-food
46072	piṇḍāya carituṃ	to walk for alms; to beg for food (in)	to walk for alms; to beg for food
46073	piṇḍāya caritvā	having walked for alms food	having walked for alms-food
46077	piṇḍikā 1	alms food	alms-food
46094	piṇḍolya	living by means of alms; subsisting on almsfood	living by means of alms; subsisting on alms-food
46405	pītisambojjhaṅga	delight as an element of awakening; joy as an factor of enlightenment	delight as an element of awakening; joy as a factor of enlightenment
46406	pītisambojjhaṅgaṭṭhānīya	serving as a basis for delight as an element of awakening; which supports joy as an factor of enlightenment	serving as a basis for delight as an element of awakening; which supports joy as a factor of enlightenment
46491	pucchāvuso	ask friend	ask a friend
46536	puññantarāyakara	who obstructs the merit making (of)	who obstructs the making of merit
46625	putta 2	(used to form diminutives) young man; descendent; son of	(used to form diminutives) young man; descendant; son of
46632	puttadāradāsakammakaraporisā	sons, wives, servants, labourers and employees	sons, wives, servants, workers and employees
46633	puttadāradāsakammakaraporisānukampita	cared for by one's sons, wives, servants worker and employees	cared for by one's sons, wives, servants, workers and employees
46635	puttapaputtakā	sons of sons; descendents	sons of sons; descendants
46737	punapavāraṇā	repeat invitation; reoccurring offer	repeat invitation; recurring offer
46949	purakkhata 3	attacked (by); assailed (by); afflicted (by); beset (by); (comm) wrapped with	attacked (by); assailed (by); afflicted (by); beset (by)
46951	purakkhata 5	headed (by); preceded (by); at the forefront; with (somthing) in front	headed (by); preceded (by); at the forefront; with (something) in front
47078	purisalakkhaṇa	auspicious marks men	auspicious marks of men
47120	puretaraṃ	before any one else; very first of all	before anyone else; very first of all
47209	pūtilatā	type of creeper; Coccolus Cordifolius	type of creeper; Cocculus cordifolius
47217	pūraṇa 1	name of a ascetic teacher; Pāraṇa Kassapa	name of an ascetic teacher; Pāraṇa Kassapa
47262	pekkhāpetvā	having showed around; having given a tour	having shown around; having given a tour
47328	pesakārī	female embroider	female embroiderer
47339	pesi 2	third stage of embryonic developement	third stage of embryonic development
47494	posāpita	caused to raise; made bring up	caused to raise; made to bring up
47506	posetuṃ	to support; to look after; to takes care (of)	to support; to look after; to take care (of)
47870	badarikārāma	name of a monastery neat to Kosambī	name of a monastery near Kosambī
48078	bahikaraṇavasena	by means of exclusion; by means of forced removal (from)	by means of exclusion; by means of forced removal
48413	bindu 5	(gram) dot over a letter representing the niggahīta letter, represented in Roman script by ṃ, ṃ or ŋ	(gram) dot over a letter representing the niggahīta letter, represented in Roman script by ṃ or ŋ
48496	bīraṇatthambaka	clump of vetiver grass; (comm) name of a cemetary	clump of vetiver grass; (comm) name of a cemetery
48663	bodhi 3	Bodhi tree; Ficus religiosia	Bodhi tree; Ficus religiosa
48776	byākataṭṭhāna	declared matter; explained detail	(gram) declared matter; explained details
48798	byākātabba 1	should be answered; should be replied (to)	should be answered; should be replied to
48856	byāpādasaṅkappa	malevolent intention; malicious wish; thought of ill-ill	malevolent intention; malicious wish; thought of ill-will
48940	brahmacārinī	celibate woman; living the hoy life; following the spiritual path	celibate woman; living the holy life; following the spiritual path
48971	brahmadeyya	irrevokable grant	irrevocable grant
49013	brahmavaccasī	with god's spleandour; having the glory of Brahma; (comm) with a body like Brahma himself	with god's splendour; having the glory of Brahma; (comm) with a body like Brahma himself
49014	brahmavacchasī	with god's spleandour; having the glory of Brahma; (comm) with a body like Brahma himself	with god's splendour; having the glory of Brahma; (comm) with a body like Brahma himself
49096	brūhanā	increasing in size; bulking up (of)	increasing in size; bulking up
49233	bhaṇāpeti	causes to speak; makes say; causes to tell	causes to speak; makes speak; causes to tell
49234	bhaṇāpetuṃ	to cause to speak; to make say; to cause to tell	to cause to speak; to make speak; to cause to tell
49471	bharata 1	name of one the seven Bharata kings	name of one of the seven Bharata kings
49526	bhavaṅgaphalasamāpatti	?? attainment of the fruit of the life-continuum	attainment of the fruit of the life-continuum
49563	bhavapaṭilābhiya	which lead to acquiring existence; related to getting (another) existence	which leads to acquiring existence; related to getting (another) existence
49769	bhāsita 4	(gram) ?? word	(gram) word
49773	bhāsitapuma	(gram) word with masculine meaning	(gram) feminine word with masculine meaning
49774	bhāsitapumitthī	(gram) ?? feminine word with masculine meaning	(gram) word
49871	bhikkhā 1	alsms; beggings; begged food	alms; beggings; begged food
49920	bhikkhunoāyuvaṇṇādivaḍḍhanakathā	discussion about increasing the life-span and beauty of a monk	discussion about increasing the life span and beauty of a monk
49982	bhindanta 1	(of an argumenent) shooting down; refuting	(of an argument) shooting down; refuting
50097	bhuñjitukāmatā	desire to eat; wish to eat	eater; who enjoys food
50171	bhūtapati	Lord of Beings; Lord of the daemons; Lord of the Underworld	Lord of Beings; Lord of the demons; Lord of the Underworld
50293	bhedayituṃ	to divide; to split; to break apart (somebody with)	to divide; to split; to break apart (someone)
50297	bhedāpeti 1	makes break; causes to split; makes rupture	makes a break; causes a split; makes a rupture
50298	bhedāpeti 2	makes demolish; makes destroy	causes demolition; causes destruction
50313	bheripaṇavasaṅkhatiṇavaninnādasadda	noisy sound of kettle drums, cymbals, conches and other drums	noisy sounds of kettle drums, cymbals, conches and other drums
50428	ma 4.2	abbreviation of abbreviation of (Paṭisambhidā) Magga	abbreviation of (Paṭisambhidā) Magga
50469	makkhali	name of a ascetic teacher; Makkhali Gosāla	name of an ascetic teacher; Makkhali Gosāla
50483	makkhetvā 1	having scented; having annointed (something with)	(gram) having scented; having anointed (something with)
50562	maggika	traveler; wayfarer; journeyer	traveller; wayfarer
50722	majjhatta 1	who one is indifferent to; which is neutral; which one is impartial to	who one is indifferent to; which is neutral; which one is impartial toward
50993	matthi 1	these are my; this is my	this is my
51069	madhuraka	intoxicated; doped; drowsy; (comm) become lazy	intoxicated; doped; drowsy; (comm) becomes lazy
51070	madhurakajāta	intoxicated; doped; drowsy; (comm) become lazy	intoxicated; doped; drowsy; (comm) becomes lazy
51128	manasikāra	attention; bringing-to-mind; observation; noticing; focussing	attention; bringing-to-mind; observation; noticing; focusing
51135	manasicchati	one's heart desires; your mind wants	one's heart desires; the mind wants
51291	manosamphassajāvedanā	feeling arisen from a mental impressions	feeling arisen from a mental impression
51337	mantāṇiputta	family name of a Sakyan arahnt monk; great disciple of the Buddha; foremost disciple in giving Dhamma talks	family name of a Sakyan arahant monk; great disciple of the Buddha; foremost disciple in giving Dhamma talks
51351	mantha 1	biscuit; (comm) sweat made with flour, sesame and rice for a journey	(comm) sweet made with flour, sesame and rice for a journey
51426	mayampetaṃ	we too this	we too; this
51479	maraṇābhibhū 1	who has conquered death; who has defeated death; who has mastered of death	who has conquered death; who has defeated death; who has mastered death
51505	maruvā	type of hemp; Sanseveria roxburghiana	type of hemp; Sansevieria roxburghiana
51617	mahamattasambhavaṃ	I self generation; I (having seen that) I am self-begotten	I self-generate; I (having seen that) am self-begotten
51741	mahādhigama	having great achievement; of enormous attainment	having great achievements; of enormous attainment
51780	mahāpaññatta	fact of being highly intelligent fact of having great understanding	the fact of being highly intelligent and having great understanding
51918	mahāli	name of a Licchavi man	having greater gain; wealthier
51977	mahāsīhanādasutta 2	Majjhima Nikāya 12 (MN12)	name of an eminent commentator frequently quoted by Buddhaghosa
52057	mahinda	great Inda; lord of the gods	great Indra; lord of the gods
52196	mātikā 1	name for an early stage of the Abhidhamma in the suttapiṭaka and vinyapiṭaka; (comm) two Pātimokkhas	name for an early stage of the Abhidhamma in the suttapiṭaka and vinaya piṭaka; (comm) two Pātimokkhas
52203	mātikādhara	expert in the Abhidhamma; (comm) who knows the two Pātimokkha; who knows the summaries of the Dhamma and Vinaya	expert in the Abhidhamma; (comm) who knows the two Pātimokkhas; who knows the summaries of the Dhamma and Vinaya
52283	mānayati	honour; reveres; hold in high esteem	honours; reveres; holds in high esteem
52355	māyaṃ vidaṃseti	performs an magic trick; displays an illusion	performs a magic trick; displays an illusion
52511	māssu	defintly don't!; you must certainly not!	definitely don't!; you must certainly not!
52600	micchādiṭṭhiparama	with wrong view as the utmost; with incorrect belief as the supreme	with wrong view as the ultimate; with incorrect belief as the supreme
52972	mudutalāhatthapāda	with soft palms of the hand and soles of feet	with the soft palms of the hand and the soles of the feet
52974	mudutalunaṅguli	soft and tender fingers	with soft and tender hands and feet; the fifth of the thirty-two marks of a great man
52975	mudutalunahatthapāda	with soft and tender hands and feet; fifth of the thirty-two marks of a great man	with soft and tender hands and feet; the fifth of the thirty-two marks of a great man
53132	mūlasamādhi	?? original meditation subject	original meditation subject
53274	medakathālikā 2	name of a acrobat; (comm) name of a male acrobat with a female name	name of an acrobat; (comm) name of a male acrobat with a female name
53414	mohayi	confused; misled; misguide	confused; misled; misguided
53626	yathāpaṭipanna	which practised; when followed	which is practised; when followed
53630	yathāparisaṃ	as far as the audience extends; (comm) as far as the limit of the solar-system	as far as the audience extends; (comm) as far as the limit of the solar system
53669	yathāyutta 2	thus yoked	according to one's faults
53660	yathābhūtañāṇadassanūpanisa	with understanding and insight into things as they really are as pre-condition	with understanding and insight into things as they really are, as a pre‑condition
53737	yadariya	which a noble one	a noble one
53818	yasalābha	gaining famous; getting well known	gaining fame; getting well known
53857	yassāhaṃ 2	of who I	of whom I
53887	yaṃnūnassāhaṃ	what if I were to for him; let me to him; I shall (explain) for him	what if I were to do it for him; let me do it for him; I shall (explain) for him
53896	yaṃsa	when he (taking up) whatever	when he (takes up) whatever
53914	yācana	asking; begging; entreating	asked to marry; requested the hand in marriage
53978	yānīdha	whichever here	(of the body) sustenance; preservation; continuance; upkeep; support of
54021	yāvajīvika	(medicine) which can stored indefinitely; which can be kept for life	(medicine) which can be stored indefinitely; which can be kept for life
54084	yugamaṭṭha	pair of fulled garments	pair of full garments
54110	yuñjantāyasmanto	the venerable must try (to) (get back); the venerable must strive (for)	the venerable must try (to get back); the venerable must strive (for)
54221	yogakkhemipariyāya	discourse about one who is who is free from bondage; teaching about one who is safe	discourse about one who is free from bondage; teaching about one who is safe
54259	yojanasatantara	with one hundreds yojanas all around; approximately two thousand kilometres distant	with one hundred yojanas all around; approximately two thousand kilometres distant
54382	rakhasā	?? psoriasis; (comm) disease in the place scratched by the nails	psoriasis; (comm) disease in the place scratched by the nails
54579	rattindivamatandita	applying effort day and night; continously active	applying effort day and night; continuously active
54602	rathaka 1	toy chariot; toys cars	toy chariot; toy cars
54839	rāgavepullatta	abundance of desire; massive amount of passion	absence of lust etc.; nonexistence of passion, hatred and delusion
54896	rājadūta	royal messanger; king's envoy	royal messenger; king's envoy
55017	rāhu 1	name of a asura lord	name of an asura lord
55408	ropetabba	?? should be understood	should be understood
55545	lajjitabba	would be ashamed (by)	should be ashamed
55604	lapati	chatters; babbles; talks nonsense (in)	chatters; babbles; talks nonsense
55616	labuja	breadfruit tree; Artocarpus Lacucha; Artocarpus altilis	breadfruit tree; Artocarpus lacucha; Artocarpus altilis
55639	labhissa	would gave got; would have gained	would have got; would have gained
55753	lābhasakkārasilokavant	who has gain, honour and fame; who has possessions, respect and popularity	who has gained, honour and fame; who has possessions, respect and popularity
56074	locaka	who plucks out; who tear out	who plucks out; who tears out
56240	saītika	having calamity; with adversity; unsafe; perilous	marked by calamity; with adversity; unsafe; perilous
56263	saupāyāsa	accompanied with difficultly; problematic; troublesome	accompanied with difficulty; with affliction; with agitation
56338	sakasaka	each one's very own; each one's personal	each one's own
56353	sakiñcana	who has baggage; with possessions; who has worldly attachment	who has baggage; who has possessions; who has worldly attachment
56361	sakiṃvijātā	women who has given birth once	women who have given birth once
56489	sakkhi 1.1	personally experienced; self witnessed	personally experienced; self-witnessed
56491	sakkhi 1.3	eye witness; witnesser; observer; knower	eyewitness; witnesser; observer; knower
56496	sakkhipuṭṭha 1	questioned as eye witness; asked in court	questioned as an eyewitness; asked in court
56609	saṅkamati 1	?? goes across; (or) act as a bridge ??	goes across; (or) acts as a bridge
56621	saṅkampeyya	could make shake; could wobble; could cause to tremble	could make it shake; could cause it to wobble; could cause it to tremble
56775	saṅkhāragata 1	related to mental activity; concerning intention; connected with volitional formation	related to mental activity; concerning intention; connected with volitional formations
56779	saṅkhāratta 1.1	fact of having volition	having volition as self
56780	saṅkhāratta 2.1	having volition as one's self	having volition as self
56827	saṅkhāresūpasantesu	when the intentional activities are cooled; when the mental activity are calmed	when the intentional activities are cooled; when the mental activities are calmed
56856	saṅkhobhetvā	having shaken; having agitated; having distrurbed	having shaken; having agitated; having disturbed
57097	sacakkavāḷa	including the world system; with the solar-system	including the world system; with the solar system
57127	saccagāmī	leading to the truth; going to the true	leading to the truth; going to the truth
57178	sacchikatasaññī	perceiving as personally experienced; thinking on has personally realised (something)	perceiving as personally experienced; thinking that one has personally realised (something)
57195	sacchikiriyāhetu	for the sake of attaining (of); for the purpose of experiencing	for the sake of attaining; for the purpose of experiencing
57257	sañcaya 2.1	name of a ascetic teacher	name of an ascetic teacher
57336	sañjaya 1	name of a ascetic teacher; Sañjaya Belaṭṭhaputta	name of an ascetic teacher; Sañjaya Belaṭṭhaputta
57373	saññatacārī	acting with in self-control; going around with self-restraint	acting with self-control; going around with self-restraint
57517	saṇṭhapetabba	should be steadied; should be stabilised; should be setted	should be steadied; should be stabilised; should be settled
57617	sati 2.1	when is; when exists	when it is; when it exists
57643	satiyā	when being present; when there is; when exists	when present; when there is; when it exists
57662	satī 1.2	when is; when exists	when it is; when it exists
57665	satuppāda	arising of minfulness; remembrance	arising of mindfulness; remembrance
57637	satibala	power that is awareness; strength of mindfulness	strength of awareness; strength of mindfulness
57646	satisampajaññapariggahita	possessed of mindful attentiveness	possessing mindful attentiveness
57673	sato	when being; when is; when are	when it is; when they are
57728	sattapaññāsavassakoṭisaṭṭhivassasatasahassāyupariyanta	with a life span of five hundred and seventy six million years	five hundred and seventy-six million years
57740	sattabhū	name of one the seven Bharata kings	name of one of the seven Bharata kings
57799	sattavassika	seven year old; lasting seven years; for seven years	seven-year-old; lasting seven years; for seven years
57823	sattāhajāta	one week old; seven days after birth	one-week-old; seven days after birth
57824	sattāhapabbajita	ordained for seven days; renounced for week	ordained for seven days; renounced for a week
57756	sattamāsika	seven month old; lasting for seven months	seven-month-old; lasting for seven months
57932	satyassa	mindfulness its; awareness (is) his	mindfulness, its; awareness (is) his
58055	saddhammappatirūpaka	fake version of the true doctrine; counterfeit of the good teaching	persuasion to accept a true doctrine; convincing to follow a righteous teaching
58149	sanemika	(of a wheel) tyred; rimmed; complete	(of a wheel) tired; rimmed; complete
58254	santāsaṃ āpajjati	is terrified (of); dreads; fears	there are friends; there are brothers
58471	sandhiccheda 1	(comm) who has broken the connection (to cycle of existence)	(comm) who has broken the connection to the cycle of existence
58515	sanniggaṇhāti	restrains oneself; controls oneself; hold oneself back	restrains oneself; controls oneself; holds oneself back
58777	sabbaabbhantarima	inner most of all	innermost of all
58778	sabbaahaṃkāramamaṃkāramānānusaya	all I making, my making and the underlying tendency to comparison	all that I make, my making and the underlying tendency to comparison
58789	sabbakāmahara	bringing all the all objects of sense desire; giving all the sensual pleasures	bringing all objects of sense desire; giving all sensual pleasures
58793	sabbakāyappaṭisaṃvedī	experiencing the whole body; sensitive to the whole physical process; (comm) experiencing the body of the in and out breath; experiencing the beginning middle and end of the breath	experiencing the whole body; sensitive to the whole body; (comm) experiencing the body of the in‑ and out‑breath; experiencing the beginning, middle and end of the breath
58918	sabbamaññitasamugghātasappāya	beneficial for eradicating all conception; supportive for exterminating all imagination	all conceptions; all imaginations; all make-believe; every idea; all illusion
58919	sabbamaññitasamugghātasāruppa	suitable for eradicating all conception; fit for exterminating all imagination	beneficial for eradicating all conceptions; fit for exterminating all imaginations
58942	sabbarāgadosamohanihitaninnītakasāva	rid of all greed hatred and delusion, with all impurities removed	rid of all greed, hatred, and delusion, with all impurities removed
58991	sabbavāriphuṭa	(Jain) pervaded with all restraints; (or) broken all restraints	(Jain) pervaded with all restraints; (or) broken by all restraints
59036	sabbena sabbaṃ sabbathā sabbaṃ	everywhere in every-way; completely and totally	in every way; completely and totally
59056	sabyāpajjacitta	with a mind full ill-will; with a heart full of hatred	with a mind full of ill-will; with a heart full of hatred
59141	samagghatara	?? more at the same price; (comm) less expensive	more at the same price; (comm) less expensive
59176	samaññāta	known as; considered as; acknowledged as; notorious as	known as; considered as; acknowledged as; notorious for
59180	samaṇakaraṇa	which make one an ascetic; which should be done by an ascetic	which makes one an ascetic; which should be done by an ascetic
59182	samaṇakasaṭa	dregs of an ascetic; waste material of an renunciant	dregs of an ascetic; waste material of a renunciant
59190	samaṇadosa	fault of an ascetic; defect of an renunciant	fault of an ascetic; defect of a renunciant
59203	samaṇappema	love for ascetics (in); affection for monks	love for ascetics; affection for monks
59222	samaṇamala	stain of an ascetic; impurity of an renunciant	stain of an ascetic; impurity of a renunciant
59427	samanvāneti	brings back; recollects; remusters; (comm) causes to keeps rolling	brings back; recollects; remusters; (comm) causes to keep rolling
59499	samavaṭṭakkhandha	with a well-rounded shoulders; (comm) with even neck and shoulders; twentieth of the thirty-two marks of a great man	with well‑rounded shoulders; (comm) with even neck and shoulders; twentieth of the thirty-two marks of a great man
59500	samavaṭṭakhandha	with a well-rounded shoulders; (comm) with even neck and shoulders; twentieth of the thirty-two marks of a great man	with well‑rounded shoulders; (comm) with even neck and shoulders; twentieth of the thirty-two marks of a great man
59574	samādahati 1	(of the mind) composes; stabilizes; collects	(of the mind) composes; stabilises; collects
59577	samādahātabba	should be composed; should be stabilized; should be collected	should be composed; should be stabilised; should be collected
59582	samādahi 1	composed the mind; stabilized the mind	composed the mind; stabilised the mind
59585	samādahitvā 1	having composed the mind; having stabilized the mind	having composed the mind; having stabilised the mind
60176	samojasa	?? with equal essence; evenly spreading (nutrition)	with equal essence; evenly spreading (nutrition)
60595	sambuddhumarahati	is capable to completely comprehend; is worthy to fully understand	is capable of completely comprehending; is worthy of fully understanding
60609	sambodhipathānusārī	following the path to awakening; (or) remembering the path to awakening	following the path to awakening;(or) remembering the path to awakening
60616	sambodheti	teaches; makes one understand; (or) causes one to wake up	teaches; makes one understand;(or) causes one to wake up
60645	sambhavituṃ	?? to live together; to be present (with)	to live together; to be present (with)
60671	sambhinna 2	having fistula	having a fistula
60701	sammaggata 2	who has prcticed correctly; perfected; epithet of the Buddha and awakened beings	who has practised correctly; perfected; epithet of the Buddha and awakened beings
60735	sammadattha	perfectly (understanding) the meaning	perfectly understanding the meaning
60937	sammohavinodanī	commentary to the Vibhaṅga, 2nd book of the Abhidhamma	commentary on the Vibhaṅga, 2nd book of the Abhidhamma
60943	sayaṅkata	self-made; self constructed; self-created; done by oneself	one's own; oneself; self
60978	sayāpeti	makes (someone) sleep; makes lie down	makes (someone) sleep; makes (someone) lie down
61031	sarapattappahāra	blow with a fletched arrows	blow with a fletched arrow
61047	sarala	pine tree; Pinus longfolia	pine tree; Pinus longifolia
61094	sarīratā	fact of having a body; fact of a having a certain type of body; fact of having a body in a certain state	fact of having a body; fact of having a certain type of body; fact of having a body in a certain state
61140	salākaggāhī	?? taking a ticket; being counted ??	taking a ticket; being counted
61206	sallahuka 2	light-weight	lightweight
61207	sallahukakaṇḍa	light-weight arrow	lightweight arrow
61446	sahassayāgī	who performs a thousand sacrifices; who makes a thousands religious offerings	who performs a thousand sacrifices; who makes a thousand religious offerings
61742	saṃsaddetabba	?? should be said similarly (to); should be pronounced the same (as)	should be said similarly (to); should be pronounced the same (as)
61801	saṃsibbita	sewn together; emmeshed; entangled; entwined	sewn together; entangled; entangled; entwined
61813	saṃsuddhagahaṇika	of good birth; of pure linage	of good birth; of pure lineage
61937	saṃvidahitasaññī	aware it was arranged	aware that it was arranged
61984	saṃvejita	stirred; alarmed; frightened; agitated; awestricken	stirred; alarmed; frightened; agitated; awestruck
62010	saṃharāpetvā 1	(of cloth) having made fold up	(of cloth) having made the cloth fold up
62194	sādhaka 3	(gram) factor which make an action possible; element; cause	(gram) factor which makes an action possible; element; cause
62205	sādhayye	well said, lady; well spoken madam	well said, lady; well spoken, madam
62209	sādhāvuso	that's good friend; it is good brothers	good friend; good brothers
62381	sāmīcikamma	respectful conduct; appropraite behaviour	respectful conduct; appropriate behaviour
62499	sārarahita	devoid of essence; substanceless; insubstantial	devoid of essence; substance-less; insubstantial
62523	sāriputtamoggalānā	Sāriputta and Moggalānā; chief disiples of the Buddha	Sāriputta and Moggalānā; chief disciples of the Buddha
62526	sāriputtamoggallānā	name of a monks; chief disciples; great disciples of the Buddha; Sāriputta and Moggallāna	name of a monk; chief disciples; great disciples of the Buddha; Sāriputta and Moggallāna
62662	sāvasesa 1	incomplete; with remainder; with some left over	who milks, leaving some left
62894	siddhi 1	accomplishment; achivement; success	accomplishment; achievement; success
62920	sinda	including the god Inda	including the god Indra
63181	sīlabbataparāmāsa	clinging to precepts and practices; adherence to rites and rituals (as a means of liberation)	obsessed by clinging to precepts and practices; consumed by adherence to rites and rituals
63419	sukkapakkha 2	positive side; positive aspect; qood quality	positive side; positive aspect; good quality
63455	sukha 1	easy (on); comfortable (for); pleasant (for); good (for); contented	(easy (on); comfortable (for); pleasant (for); good (for); contented)
63560	sukhāyati	is comfortbale with; is ok with; is happy with	is comfortable with; is ok with; is happy with
63758	suṇātu	one must listen!; it must hear!	one must listen! it must hear!
64116	supūjita	well reveared; highly honoured; deeply venerated	well revered; highly honoured; deeply venerated
64181	suppahīna	thoroughly abandoned; completely dispelled; totally eliminated; compltely free (from)	thoroughly abandoned; completely dispelled; totally eliminated; completely free (from)
64431	susaṇṭhāna	well-shape; well-formed; fine-figured	well-shaped; well-formed; fine-figured
64465	susaṃvuta	well restrained; well controlled; well guarded (in)	well restrained; well controlled; well guarded
64473	susānalakkhaṇa	qualities of a burial ground	increase the cemeteries; grow the burial grounds
64474	susānavaḍḍhana	which increase the cemeteries; which grows the burial grounds	increase the cemeteries; grow the burial grounds
64527	sussoṇī	woman with a beautiful hips	woman with beautiful hips
64886	sedaka 1	name of a town in Sumbha	name of a town in Sumba
64923	senāsanaparibhaṇḍakaraṇakāla	?? time of repairing the flooring of a dwelling	time of repairing the flooring of a dwelling
64946	seyati	is sleep; is passed out	means sleep; has passed out
65004	selissaka	?? jeer; ?? prank; ?? leapfrog	jeer; prank; leapfrog
65006	seleyyaka	?? jeer; ?? prank; ?? leapfrog	jeer; prank; leapfrog
65055	sevālapaṇakapariyonaddha	overgrown with various with aquatic plants	overgrown with various aquatic plants
65134	socāpayanta	causing to aggrieve; causing to cause sorrow; causing (others) to inflect distress	causing (others) to inflict distress
65270	sottuṃ	to sleep	safety; sanctuary; well-being; well-being; blessing
65584	vacanakkhama	who accepts advice; who tolerates other's admonition; able to endure criticizm	who accepts advice; who tolerates other's admonition; able to endure criticism
65697	vajira 2	thunder-bolt	thunderbolt
65705	vajirūpamacitta	with a mind like diamond	with a mind like a diamond
65913	vaṇṇada	giving beauty; who gives good appearance	giving beauty; who gives a good appearance
